,Timestamp,Connectivity,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
0,0,0.96,2.9166666666666665,0.27591879334473113,0.06017578125000004,1,308,0.7278333333333333
1,12,0.96,2.9895833333333335,0.2973160721359808,0.05835402980291623,2,308,0.7245
2,24,0.84,2.7142857142857144,0.31928187128615526,0.048392299687825234,1,250,0.6558333333333334
3,36,0.84,4.976190476190476,0.35489459036098164,0.042554389441917036,1,260,0.6341666666666668
4,48,0.84,5.785714285714286,0.37843662173526366,0.03200187917361102,1,278,0.6091666666666666
5,60,0.84,5.761904761904762,0.44101757418853504,0.024572351248649357,1,294,0.585
6,72,0.88,4.784090909090909,0.4207649478423919,0.022683731053447835,3,326,0.5866666666666667
7,84,0.88,7.204545454545454,0.4096109499496924,0.013129655346547165,6,342,0.5600000000000002
8,96,0.88,7.284090909090909,0.5086733867610108,0.005036982248520711,5,366,0.531166666666667
9,108,0.88,6.840909090909091,0.48960892926063243,-0.004799467062332506,5,374,0.5153333333333336
10,120,0.88,5.590909090909091,0.5073484091665911,-0.00604686318972033,3,378,0.508666666666667
11,132,0.88,5.738636363636363,0.5383447352988778,-0.019903827087051358,3,390,0.48616666666666686
12,144,0.88,6.340909090909091,0.5279152331764462,-0.016369397917609777,7,412,0.47566666666666696
13,156,0.81,6.185185185185185,0.5762361791301481,-0.015528007515334594,6,368,0.44916666666666677
14,168,0.88,5.988636363636363,0.5577389431551102,-0.014993829320856893,8,422,0.4686666666666668
15,180,0.88,5.011363636363637,0.5183964271109263,-0.015834263392857147,8,434,0.45850000000000013
16,192,0.88,4.7727272727272725,0.5359958126087956,-0.016714021471749215,6,426,0.46000000000000013
17,204,0.88,4.090909090909091,0.5279598763679119,-0.019930524558986192,7,428,0.4550000000000001
18,216,0.88,4.784090909090909,0.4845582082637873,-0.018494897959183663,10,440,0.4531666666666667
19,228,0.84,6.178571428571429,0.5006683829005696,-0.01695296984091235,9,418,0.4371666666666667
20,240,0.84,9.035714285714286,0.5058433315696994,-0.01593931487248549,10,436,0.43166666666666664
21,252,0.84,9.714285714285714,0.5653409731667891,-0.014138789413922605,10,450,0.42516666666666664
22,264,0.84,10.44047619047619,0.49959272787832165,-0.014127871429819193,11,450,0.4243333333333333
23,276,0.84,8.083333333333334,0.4466774089749768,-0.013327696689213244,10,452,0.4226666666666666
24,288,0.74,10.243243243243244,0.5659516453053294,-0.01801130295478819,8,374,0.3879999999999999
25,300,0.74,11.22972972972973,0.5667816279999539,-0.019788062283737036,7,380,0.3818333333333333
26,312,0.84,15.095238095238095,0.5440891432152534,-0.023062499999999986,11,476,0.401095238095238
27,324,0.84,13.25,0.503732678375532,-0.01896430391419351,14,468,0.407095238095238
28,336,0.84,25.19047619047619,0.5246705817365507,-0.01580070803831737,10,484,0.40109523809523817
29,348,0.84,8.154761904761905,0.4814573859718435,-0.01235843281297826,11,470,0.4105119047619047
30,360,0.84,6.940476190476191,0.4473025526484371,-0.005606334360718453,11,468,0.4146785714285714
31,372,0.84,5.976190476190476,0.44000185183614315,-0.004955361887554463,12,456,0.4189285714285713
32,384,0.84,7.845238095238095,0.4626120249317025,-0.009963864385163132,11,456,0.4132619047619048
33,396,0.84,5.261904761904762,0.4989518254871436,-0.017994567677682212,11,460,0.4034285714285714
34,408,0.77,4.805194805194805,0.455788480703844,-0.015990325181402844,10,400,0.3839999999999999
35,420,0.77,9.376623376623376,0.4867872635636308,-0.01218685433884298,6,414,0.3793333333333333
36,432,0.77,6.792207792207792,0.4221585412757057,-0.008192990441511148,9,408,0.3844999999999999
37,444,0.77,5.0,0.4585430073076234,-0.007475907029478459,9,400,0.38699999999999996
38,456,0.77,3.6493506493506493,0.4676783217348534,0.002719802476756292,8,400,0.38949999999999996
39,468,0.77,3.9740259740259742,0.45343450861308,0.011217493610288438,9,400,0.3939999999999999
40,480,0.81,4.074074074074074,0.4119500215074118,0.018959417273673267,13,434,0.4099285714285714
41,492,0.81,3.950617283950617,0.41416473288922784,0.02995360569343722,10,432,0.4127619047619047
42,504,0.81,3.765432098765432,0.4295898948949059,0.047100769375117264,7,428,0.42133333333333334
43,516,0.81,3.4814814814814814,0.4174584274892917,0.05596547067901241,9,428,0.4246666666666667
44,528,0.81,3.4444444444444446,0.39129621508161816,0.04446456415673257,9,434,0.41416666666666657
45,540,0.81,3.382716049382716,0.37486161643569055,0.05145912229895303,8,438,0.4125
46,552,0.88,3.25,0.40933468362445635,0.05765879454359721,11,516,0.42316666666666664
47,564,0.88,3.1704545454545454,0.37009670579929366,0.06402835587929244,14,528,0.4192619047619047
48,576,0.88,2.875,0.3513628507135001,0.0649415030735674,13,524,0.4217619047619047
49,588,0.78,2.6025641025641026,0.32891192141192144,0.07995927637246464,11,434,0.39776190476190465
50,600,0.78,2.0384615384615383,0.2560459910459911,0.08111447704081635,10,454,0.3950238095238094
51,612,0.71,2.183098591549296,0.31338922423429466,0.08083759435110785,8,384,0.37766666666666654
52,624,0.71,2.0422535211267605,0.26831880169908334,0.07925418298326806,10,390,0.37209523809523803
53,636,0.71,2.3943661971830985,0.28628428691808977,0.07712463970652464,8,384,0.3739999999999999
54,648,0.7,2.0142857142857142,0.301625850340136,0.08487120338331418,8,346,0.3837619047619048
55,660,0.7,1.7428571428571429,0.28582766439909296,0.09667968750000001,9,346,0.38459523809523816
56,672,0.7,1.9428571428571428,0.3126689342403628,0.1040004624812116,8,352,0.3819285714285715
57,684,0.7,2.242857142857143,0.299729809872667,0.10869806094182835,7,348,0.38859523809523816
