,Timestamp,Connectivity,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
0,0,0.9276315789473685,1.9787234042553192,0.22687783847358314,0.11555175781249996,2,438,0.7315789473684211
1,12,0.9276315789473685,2.4893617021276597,0.28434471159968194,0.1201980852427495,2,438,0.7323464912280703
2,24,0.7960526315789473,2.231404958677686,0.2609808357036738,0.11223204994797083,0,322,0.6710526315789472
3,36,0.7960526315789473,2.9173553719008263,0.2854488274064764,0.12033241745867308,0,330,0.6622807017543858
4,48,0.7960526315789473,2.950413223140496,0.27711621376684326,0.11377948792519103,0,334,0.6557017543859648
5,60,0.7960526315789473,2.9421487603305785,0.3427541494795623,0.09918780123590179,0,356,0.6282894736842103
6,72,0.8552631578947368,3.5153846153846153,0.3912300075225772,0.09498364373313872,1,428,0.6310307017543857
7,84,0.8552631578947368,3.5923076923076924,0.3944642292746521,0.09277728681844329,0,424,0.6260964912280699
8,96,0.8552631578947368,4.161538461538462,0.4216504606674638,0.07581360946745559,0,442,0.6036184210526314
9,108,0.8552631578947368,4.3307692307692305,0.4151586387012884,0.07252948568487035,1,446,0.5975877192982454
10,120,0.8552631578947368,4.8076923076923075,0.4527360893518182,0.054626480221718336,0,464,0.5751096491228068
11,132,0.8552631578947368,4.530769230769231,0.46265460135296504,0.054307951616101496,1,474,0.5674342105263155
12,144,0.8552631578947368,4.323076923076923,0.45406829296447554,0.0547397012222725,2,504,0.5497807017543858
13,156,0.8157894736842105,4.338709677419355,0.5086248444054886,0.04558013593914052,2,466,0.5301535087719297
14,168,0.8552631578947368,4.115384615384615,0.505704146340069,0.03483210226749432,5,514,0.532565789473684
15,180,0.8552631578947368,3.646153846153846,0.49036176780118795,0.03212691326530611,3,524,0.5240131578947367
16,192,0.8552631578947368,3.546153846153846,0.5048646029941525,0.03497263591464694,4,516,0.5281798245614032
17,204,0.8552631578947368,4.1461538461538465,0.5101499157883014,0.03234101185740068,3,526,0.5218201754385963
18,216,0.8552631578947368,4.530769230769231,0.4751172608754191,0.03060227997448978,5,530,0.5190789473684209
19,228,0.7960526315789473,3.9669421487603307,0.46276108512208397,0.031100919309596457,4,480,0.4941885964912281
20,240,0.7960526315789473,3.925619834710744,0.48385065276280764,0.03255197373958421,3,500,0.48541666666666683
21,252,0.7960526315789473,5.867768595041323,0.5056095609739089,0.03629137915975196,4,518,0.47780388471177954
22,264,0.7960526315789473,5.471074380165289,0.4841179174333145,0.02617040789588612,4,524,0.4701284461152884
23,276,0.7960526315789473,5.024793388429752,0.4566597271590182,0.0203364186543254,5,534,0.46080827067669183
24,288,0.756578947368421,6.695652173913044,0.4831502427084628,0.01538581345674619,5,498,0.44342105263157916
25,300,0.756578947368421,5.460869565217391,0.47750533291608843,0.02047289504036908,4,498,0.44342105263157916
26,312,0.7960526315789473,6.462809917355372,0.48770695718422624,0.018587500000000017,4,562,0.4469924812030078
27,324,0.7960526315789473,5.471074380165289,0.48756252595874094,0.008784488825256622,4,562,0.44096177944862175
28,336,0.7960526315789473,8.710743801652892,0.5375264483990668,0.004893794252394826,6,586,0.42780388471177994
29,348,0.7960526315789473,6.867768595041323,0.5530853741820682,-0.0035072951739618242,5,586,0.425054824561404
30,360,0.7960526315789473,6.2809917355371905,0.5010966499543236,-0.0008369646083537026,8,592,0.42286184210526356
31,372,0.7960526315789473,6.5041322314049586,0.5033011932801906,0.0006642576256775538,8,590,0.4231986215538851
32,384,0.7960526315789473,6.8264462809917354,0.4735848560297858,0.013046019768306947,6,560,0.44216791979949904
33,396,0.7960526315789473,4.297520661157025,0.46675764007038467,0.005587935717519237,5,562,0.43493107769423583
34,408,0.7631578947368421,3.9224137931034484,0.46303399959322633,0.0046283854399952265,6,534,0.4177631578947372
35,420,0.7631578947368421,3.6293103448275863,0.43689859820210586,0.013946280991735527,5,540,0.4158991228070179
36,432,0.7631578947368421,3.646551724137931,0.4016904226399807,0.01554567417107246,5,550,0.41030701754385995
37,444,0.7631578947368421,3.2844827586206895,0.41359571137388207,0.024004393424036246,6,544,0.4137061403508775
38,456,0.7631578947368421,3.9827586206896552,0.4178327458669904,0.025963504494425367,7,556,0.40712719298245637
39,468,0.7631578947368421,2.9913793103448274,0.4415642089767343,0.023936062314901155,7,564,0.39945175438596514
40,480,0.8223684210526315,2.952,0.4266420138925402,0.025202913631633708,10,642,0.4162280701754389
41,492,0.8223684210526315,2.656,0.4412283709273183,0.030516643394441684,10,654,0.41184210526315806
42,504,0.8223684210526315,3.432,0.4311217969451932,0.03276881215987993,9,660,0.4096491228070177
43,516,0.8223684210526315,3.624,0.42860453458936437,0.035421489197530874,11,662,0.40855263157894756
44,528,0.8223684210526315,3.44,0.4202315967124663,0.045696896534379604,9,668,0.4095394736842108
45,540,0.8223684210526315,2.96,0.3578037762237762,0.05535754065493424,9,684,0.40449561403508794
46,552,0.8552631578947368,2.476923076923077,0.3344734624350009,0.05170963283456523,9,740,0.40697055137844634
47,564,0.8552631578947368,2.1076923076923078,0.2518730628346013,0.05550858480749219,12,782,0.39607612781954904
48,576,0.8552631578947368,2.0,0.2437233493002724,0.06285940908189575,12,780,0.3993656015037596
49,588,0.7171052631578947,2.2110091743119265,0.28393405439277003,0.06445297204166343,6,590,0.35751096491228074
50,600,0.7171052631578947,2.110091743119266,0.27160253355207487,0.07485650510204082,8,594,0.3610823934837094
51,612,0.6776315789473685,2.3689320388349513,0.4007547563008728,0.0789708627546464,6,534,0.3554276315789475
