,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
3275,87,96,6,6,8,8,6,5,4
3276,87,97,1,1,1,1,1,1,1
3277,87,98,3,3,1,1,0,0,0
3278,88,89,1,1,1,1,1,1,1
3279,88,90,5,5,6,6,2,0,0
3280,88,91,1,1,1,1,1,1,1
3281,88,93,7,7,8,8,2,1,0
3282,88,94,5,5,6,6,2,0,0
3283,88,95,7,7,2,2,0,0,0
3284,88,96,7,7,29,29,17,10,3
3285,88,97,4,4,6,6,5,2,2
3286,88,98,1,1,1,1,1,1,1
3287,89,90,5,5,3,3,0,0,0
3288,89,91,1,1,1,1,1,1,1
3289,89,93,7,7,4,4,1,0,0
3290,89,94,5,5,3,3,0,0,0
3291,89,95,7,7,1,1,0,0,0
3292,89,96,7,7,12,12,5,3,0
3293,89,97,4,4,3,3,2,0,0
3294,89,98,2,2,2,2,2,1,1
3295,90,91,6,6,12,12,7,2,0
3296,90,93,3,3,4,4,3,3,0
3297,90,94,4,4,8,8,7,3,3
3298,90,95,5,5,17,17,12,7,7
3299,90,96,5,5,4,4,2,1,1
3300,90,97,1,1,1,1,1,1,1
3301,90,98,4,4,3,3,2,0,0
3302,91,93,8,8,16,16,6,1,1
3303,91,94,6,6,12,12,7,2,0
3304,91,95,8,8,4,4,0,0,0
3305,91,96,8,8,53,53,37,13,13
3306,91,97,5,5,12,12,7,2,2
3307,91,98,2,2,1,1,1,0,0
3308,93,94,5,5,1,1,0,0,0
3309,93,95,6,6,2,2,0,0,0
3310,93,96,7,7,5,5,2,1,0
3311,93,97,3,3,1,1,0,0,0
3312,93,98,6,6,4,4,3,2,0
3313,94,95,5,5,1,1,0,0,0
3314,94,96,8,8,46,46,36,12,12
3315,94,97,3,3,2,2,1,1,0
3316,94,98,4,4,3,3,2,0,0
3317,95,96,9,9,15,15,11,7,2
3318,95,97,4,4,2,2,1,0,0
3319,95,98,6,6,1,1,0,0,0
3320,96,97,5,5,1,1,0,0,0
3321,96,98,6,6,17,17,12,7,3
3322,97,98,3,3,3,3,2,2,0
