,Timestamp,Flow robustness,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
0,0,1.0,5.651428571428571,0.5348901282207947,8.368726587136597e-18,5,5514,0.5634363459669591
1,12,1.0,6.050612244897959,0.5571396146488453,-7.561890570202304e-18,7,5550,0.5609805636540336
2,24,0.9216326530612244,5.658990256864482,0.5584114740903056,1.8476344714545876e-18,4,5030,0.5291010689990283
3,36,0.9216326530612244,6.720992028343667,0.570497819280602,4.98397333036061e-18,6,5082,0.5233751214771627
4,48,0.9216326530612244,6.860938883968114,0.5369643544408073,-5.155834479683389e-19,5,5194,0.5193420796890188
5,60,0.9216326530612244,6.358724534986714,0.5357197900991377,1.1914370883236205e-17,6,5338,0.5080777453838679
6,72,0.9216326530612244,7.403011514614703,0.5588504189418975,9.360018755270542e-18,8,5346,0.5025898931000969
7,84,0.9216326530612244,8.221434898139947,0.5699960800322966,-2.2460785304625075e-18,8,5486,0.4942199546485258
8,96,0.9216326530612244,8.08325952170062,0.5627271097395835,9.761820298393472e-18,10,5952,0.4844284921427767
9,108,0.9216326530612244,8.599645704162976,0.554544603106298,2.819750136806407e-17,9,6056,0.4796063936063929
10,120,0.9216326530612244,9.571302037201063,0.5608194843865146,-2.4839620200757394e-18,10,6154,0.4751972336053963
11,132,0.9216326530612244,8.54472984942427,0.5719040037503572,2.8380076066980562e-18,9,6252,0.46919843874945866
12,144,0.9216326530612244,9.628875110717448,0.5676804222563809,1.1642244583543091e-17,10,6496,0.45676186851696976
13,156,0.846530612244898,8.514946962391514,0.586389619302412,5.723855519889718e-18,8,5738,0.4344236760971442
14,168,0.9216326530612244,7.488042515500443,0.5665726469641185,7.732750409862716e-18,12,6540,0.45304918211040573
15,180,0.9216326530612244,7.427812223206377,0.5537604418739123,2.0386838726523893e-17,13,6754,0.44263124177409763
16,192,0.9216326530612244,7.147032772364924,0.5662207765550153,-3.634658711570453e-18,13,6602,0.449432372616045
17,204,0.9216326530612244,7.456155890168291,0.5648484891328093,6.620735013116722e-18,11,6678,0.44626449287673664
18,216,0.9216326530612244,7.4951284322409215,0.5273742234805211,-1.2895289555933788e-18,13,6818,0.44192241318771786
19,228,1.0,9.819591836734693,0.5510843331133315,-1.1328806373726086e-18,13,8770,0.44122263144351787
20,240,1.0,10.561632653061224,0.5427995853477394,4.89804275569922e-18,12,9110,0.43226354098082576
21,252,1.0,10.939591836734694,0.555425555794415,-3.1865306769016028e-18,16,9218,0.42771436453369005
22,264,0.9216326530612244,9.059344552701505,0.5106266494159296,3.2671921969069907e-19,14,7580,0.41663607321050067
23,276,0.9216326530612244,7.937112488928255,0.4792050761177493,1.9435182472934724e-17,14,7628,0.41413947457104494
24,288,0.8114285714285714,14.995975855130785,0.5428729679423456,3.061276722312013e-17,11,6338,0.38694209305433613
25,300,0.8114285714285714,14.131790744466802,0.5494373607197757,5.94879229733556e-18,8,6410,0.3817403288321636
26,312,0.9216326530612244,21.972542072630645,0.5460365581499076,1.1259022560426391e-17,19,8024,0.4002623207791255
27,324,0.9216326530612244,13.821966341895482,0.52530868092293,-1.0260354966914953e-17,15,7822,0.40624929332372123
28,336,0.9216326530612244,16.778565101860053,0.5529468922646041,-6.729530725772097e-18,14,8082,0.39537721981899504
29,348,0.9216326530612244,9.856510186005314,0.5227070869754241,-3.4601386796434946e-17,14,7966,0.40081512964826127
30,360,0.9216326530612244,8.79007971656333,0.5173206543490564,4.0692642732490775e-17,13,8010,0.3986984583377121
31,372,0.9216326530612244,7.87599645704163,0.5166536037583744,-2.632142303895502e-17,15,7788,0.4026243057329474
32,384,0.9216326530612244,8.023029229406555,0.5081753284658487,-3.731373021346152e-17,12,7642,0.4077965416602852
33,396,0.9216326530612244,6.924712134632418,0.5233392187636321,1.5178830414797062e-17,13,7684,0.4038496382235859
34,408,0.846530612244898,6.636451301832208,0.5071123568602052,-4.3595144946014e-18,12,6772,0.3828309355044031
35,420,0.846530612244898,7.092574734811958,0.5177308984102867,-1.9591061864564157e-17,10,6910,0.3750255232296033
36,432,0.846530612244898,5.720347155255545,0.49583821056821276,-2.1590936822468397e-17,11,6958,0.37118454787842375
37,444,0.846530612244898,5.9980713596914175,0.5004590194039843,1.2527463283900692e-17,14,7006,0.37004038251997273
38,456,0.846530612244898,5.867888138862102,0.5098523399664544,4.693957640878419e-19,14,7114,0.3635136575442682
39,468,0.846530612244898,4.3269045323047255,0.48455549619163546,1.2132614190416103e-17,15,7118,0.36126317333460034
40,480,0.846530612244898,3.8997107039537124,0.46603594701104994,5.894745060086794e-17,14,6988,0.36114442926687657
41,492,0.846530612244898,4.2266152362584375,0.4576645833897984,2.3723205151603355e-18,12,7106,0.3552271628598142
42,504,0.846530612244898,4.010607521697204,0.4540912406325583,2.250452076942885e-18,14,7130,0.3517947041620493
43,516,0.846530612244898,4.215043394406943,0.44484763875230265,2.1241511950736413e-19,16,7160,0.3494566114157932
44,528,0.846530612244898,5.081002892960463,0.47932445818397934,-4.818676322157797e-20,15,7298,0.34473393273393127
45,540,0.846530612244898,4.490838958534233,0.44611966266968966,-3.6087313186378834e-18,16,7450,0.3367969717357461
46,552,0.9216326530612244,3.9805137289636847,0.4176732582391946,3.771709375798058e-17,17,8610,0.3465584902625706
47,564,0.9216326530612244,4.247121346324181,0.38048579194079507,2.6826747297783063e-17,19,9102,0.33455319203938566
