,Source,Dest,Number of SP,SP length,Disparity
253,63,64,4,8,21.875
254,63,68,7,4,53.57142857142857
255,63,75,4,3,50.0025
256,63,83,2,5,20.0
257,63,93,3,5,26.666666666666668
258,64,68,12,5,51.666666666666664
259,64,75,4,8,21.875
260,64,83,12,8,32.291666666666664
261,64,93,16,9,35.415
262,68,75,17,4,67.6470588235294
263,68,83,4,4,50.0
264,68,93,1,4,0.0
265,75,83,2,5,20.0
266,75,93,18,5,58.888888888888886
267,83,93,1,6,0.0
268,17,30,4,4,50.0
269,17,34,7,5,45.714285714285715
270,17,35,15,5,58.666666666666664
271,17,48,1,1,0.0
272,17,56,15,5,69.33333333333333
273,17,81,12,5,61.666666666666664
274,17,94,3,4,33.333333333333336
275,17,95,1,6,0.0
276,30,34,1,1,0.0
277,30,35,4,3,50.0025
278,30,48,1,3,0.0
279,30,56,3,2,66.66666666666667
280,30,81,1,2,0.0
281,30,94,1,3,0.0
282,30,95,2,4,25.0
283,34,35,2,3,33.335
284,34,48,2,4,25.0
285,34,56,3,2,66.66666666666667
286,34,81,1,3,0.0
287,34,94,1,4,0.0
288,34,95,2,5,20.0
289,35,48,7,4,57.142857142857146
290,35,56,2,3,33.335
291,35,81,19,5,54.73684210526316
292,35,94,2,5,20.0
293,35,95,1,6,0.0
294,48,56,3,4,41.666666666666664
295,48,81,2,4,25.0
296,48,94,7,4,67.85714285714286
297,48,95,6,6,38.88833333333333
298,56,81,3,3,44.446666666666665
299,56,94,2,4,37.5
300,56,95,2,4,25.0
301,81,94,1,3,0.0
302,81,95,1,3,0.0
303,94,95,1,5,0.0
304,5,6,5,3,66.668
305,5,33,7,3,76.19142857142857
306,5,58,3,3,44.446666666666665
307,5,62,4,3,66.6675
308,5,74,2,2,50.0
309,6,33,1,1,0.0
310,6,58,67,6,70.64597014925371
311,6,62,1,1,0.0
312,6,74,3,3,55.55666666666667
313,33,58,10,5,56.0
314,33,62,1,1,0.0
315,33,74,3,3,55.55666666666667
316,58,62,10,5,56.0
317,58,74,9,5,53.333333333333336
318,62,74,1,3,0.0
