,Source,Dest,Number of SP,SP length,Disparity
220,4,2,1,1,0.0
221,4,8,2,2,1.0
222,4,32,1,2,0.0
223,4,34,1,2,0.0
224,4,18,2,2,1.0
225,3,33,3,2,1.0
226,3,38,1,1,0.0
227,3,2,1,1,0.0
228,3,8,1,1,0.0
229,3,32,1,1,0.0
230,3,34,1,1,0.0
231,3,18,2,2,1.0
232,33,38,1,1,0.0
233,33,2,3,2,1.0
234,33,8,6,3,0.7999999999999999
235,33,32,3,3,0.6666666666666666
236,33,34,6,3,0.8666666666666666
237,33,18,1,2,0.0
238,38,2,1,1,0.0
239,38,8,2,2,1.0
240,38,32,1,2,0.0
241,38,34,1,2,0.0
242,38,18,1,1,0.0
243,2,8,1,1,0.0
244,2,32,2,2,1.0
245,2,34,1,2,0.0
246,2,18,1,1,0.0
247,8,32,1,1,0.0
248,8,34,2,2,1.0
249,8,18,1,2,0.0
250,32,34,1,1,0.0
251,32,18,3,3,0.7777777777777778
252,34,18,2,3,0.6666666666666667
253,16,15,1,1,0.0
254,16,17,1,1,0.0
255,16,42,1,1,0.0
256,16,43,1,1,0.0
257,16,37,2,2,1.0
258,16,1,1,3,0.0
259,16,45,2,2,1.0
260,15,17,2,2,1.0
261,15,42,1,1,0.0
262,15,43,1,2,0.0
263,15,37,1,1,0.0
264,15,1,1,4,0.0
265,15,45,1,1,0.0
266,17,42,1,1,0.0
267,17,43,1,1,0.0
268,17,37,1,2,0.0
269,17,1,3,3,0.888888888888889
270,17,45,1,2,0.0
271,42,43,3,2,1.0
272,42,37,1,1,0.0
273,42,1,7,4,0.7738095238095238
274,42,45,1,1,0.0
275,43,37,4,3,0.777777777777778
276,43,1,4,3,0.888888888888889
277,43,45,5,3,0.8666666666666666
278,37,1,8,5,0.6571428571428573
279,37,45,7,2,1.0
280,1,45,17,5,0.8088235294117644
281,7,9,1,1,0.0
282,7,12,1,1,0.0
283,7,23,1,1,0.0
284,7,10,2,3,0.6666666666666667
285,7,49,4,4,0.75
286,9,12,1,2,0.0
287,9,23,2,2,1.0
288,9,10,4,4,0.6666666666666666
289,9,49,7,5,0.6761904761904763
290,12,23,1,2,0.0
291,12,10,3,3,0.6666666666666666
292,12,49,1,3,0.0
293,23,10,4,3,0.7777777777777778
294,23,49,6,4,0.7
295,10,49,1,1,0.0
296,31,21,1,1,0.0
297,31,47,1,1,0.0
298,31,13,1,2,0.0
299,21,47,1,1,0.0
300,21,13,1,3,0.0
301,47,13,1,3,0.0
302,30,14,1,1,0.0
303,30,19,1,1,0.0
304,30,27,1,1,0.0
305,30,40,1,1,0.0
306,30,39,1,4,0.0
307,14,19,1,1,0.0
308,14,27,1,1,0.0
309,14,40,1,1,0.0
310,14,39,2,4,0.75
311,19,27,7,2,1.0
312,19,40,1,1,0.0
313,19,39,9,5,0.6222222222222223
314,27,40,1,1,0.0
315,27,39,1,4,0.0
316,40,39,12,5,0.6363636363636362
317,41,20,1,1,0.0
318,41,22,1,1,0.0
319,41,25,1,1,0.0
320,20,22,1,2,0.0
321,20,25,1,2,0.0
322,22,25,1,1,0.0
323,24,6,1,1,0.0
324,24,35,1,1,0.0
325,24,44,1,1,0.0
326,6,35,1,1,0.0
327,6,44,1,1,0.0
328,35,44,2,2,1.0
329,49,32,1,1,0.0
330,49,8,1,2,0.0
331,32,8,1,1,0.0
332,23,6,1,1,0.0
333,23,7,1,1,0.0
334,23,20,1,1,0.0
335,23,41,1,1,0.0
336,23,24,1,2,0.0
337,23,44,1,2,0.0
338,23,9,2,2,1.0
339,23,43,2,2,1.0
340,6,7,2,2,1.0
341,6,20,1,1,0.0
342,6,41,2,2,1.0
343,6,24,1,1,0.0
344,6,44,1,1,0.0
345,6,9,4,3,0.7777777777777778
346,6,43,1,2,0.0
347,7,20,1,1,0.0
348,7,41,1,1,0.0
349,7,24,3,3,0.7777777777777778
350,7,44,2,3,0.6666666666666667
351,7,9,1,1,0.0
352,7,43,1,1,0.0
353,20,41,1,1,0.0
354,20,24,2,2,1.0
355,20,44,1,2,0.0
356,20,9,2,2,1.0
357,20,43,1,1,0.0
358,41,24,3,3,0.7777777777777778
359,41,44,2,3,0.6666666666666667
360,41,9,1,1,0.0
361,41,43,3,2,1.0
362,24,44,1,1,0.0
363,24,9,6,4,0.7
364,24,43,2,3,0.6666666666666667
365,44,9,4,4,0.5833333333333334
366,44,43,1,3,0.0
367,9,43,1,2,0.0
368,10,1,1,1,0.0
369,10,34,1,1,0.0
370,10,35,1,1,0.0
371,10,31,6,6,0.6
372,10,21,37,6,0.7409909909909912
373,1,34,1,1,0.0
374,1,35,1,1,0.0
375,1,31,26,6,0.745641025641026
376,1,21,1,5,0.0
377,34,35,1,1,0.0
378,34,31,3,5,0.6
379,34,21,18,5,0.6980392156862737
380,35,31,3,5,0.6
381,35,21,17,5,0.6705882352941172
382,31,21,1,1,0.0
383,42,25,1,1,0.0
384,42,27,1,1,0.0
385,42,36,4,3,0.777777777777778
386,42,37,1,1,0.0
387,25,27,1,1,0.0
388,25,36,5,4,0.75
389,25,37,3,2,1.0
390,27,36,8,4,0.8303571428571429
391,27,37,1,1,0.0
392,36,37,1,3,0.0
393,19,14,1,1,0.0
394,19,15,1,1,0.0
395,19,22,1,1,0.0
396,19,30,1,1,0.0
397,19,40,1,1,0.0
398,19,0,2,3,0.6666666666666667
399,19,47,2,2,1.0
400,14,15,1,1,0.0
401,14,22,3,2,1.0
402,14,30,1,1,0.0
403,14,40,1,1,0.0
404,14,0,1,2,0.0
405,14,47,4,2,1.0
406,15,22,2,2,1.0
407,15,30,1,1,0.0
408,15,40,1,1,0.0
409,15,0,4,3,0.8333333333333334
410,15,47,3,2,1.0
411,22,30,2,2,1.0
412,22,40,2,2,1.0
413,22,0,5,4,0.6
414,22,47,4,3,0.7777777777777778
415,30,40,1,1,0.0
416,30,0,3,3,0.6666666666666666
417,30,47,3,2,1.0
418,40,0,4,3,0.6666666666666669
419,40,47,1,1,0.0
420,0,47,1,2,0.0
421,16,4,1,1,0.0
422,16,17,1,1,0.0
423,16,33,1,1,0.0
424,16,48,1,1,0.0
425,4,17,4,2,1.0
426,4,33,1,1,0.0
427,4,48,2,2,1.0
428,17,33,1,1,0.0
429,17,48,2,2,1.0
430,33,48,1,1,0.0
431,38,2,1,1,0.0
432,38,3,1,1,0.0
433,38,12,1,1,0.0
434,38,18,1,1,0.0
435,2,3,1,1,0.0
436,2,12,1,1,0.0
437,2,18,1,1,0.0
438,3,12,1,1,0.0
439,3,18,2,2,1.0
440,12,18,2,2,1.0
441,13,28,1,1,0.0
442,13,39,1,1,0.0
443,28,39,1,2,0.0
444,37,14,1,1,0.0
445,37,15,1,1,0.0
446,37,21,1,1,0.0
447,37,47,1,1,0.0
448,37,25,3,2,1.0
449,37,31,1,1,0.0
450,37,16,2,2,1.0
451,37,13,2,3,1.0
452,37,17,1,2,0.0
453,14,15,1,1,0.0
454,14,21,1,1,0.0
455,14,47,4,2,1.0
456,14,25,1,1,0.0
457,14,31,1,1,0.0
458,14,16,2,2,1.0
459,14,13,2,3,1.0
460,14,17,1,2,0.0
461,15,21,1,1,0.0
462,15,47,3,2,1.0
463,15,25,5,2,1.0
464,15,31,3,2,1.0
465,15,16,1,1,0.0
466,15,13,3,3,0.7777777777777778
467,15,17,2,2,1.0
468,21,47,1,1,0.0
469,21,25,4,2,1.0
470,21,31,1,1,0.0
471,21,16,1,2,0.0
472,21,13,1,3,0.0
473,21,17,7,3,0.746031746031746
474,47,25,12,3,0.8686868686868683
475,47,31,1,1,0.0
476,47,16,4,3,0.7777777777777778
477,47,13,1,3,0.0
478,47,17,1,3,0.0
479,25,31,1,2,0.0
480,25,16,1,2,0.0
481,25,13,1,3,0.0
482,25,17,2,2,1.0
483,31,16,6,3,0.8666666666666666
484,31,13,1,2,0.0
485,31,17,2,3,0.6666666666666667
486,16,13,2,2,1.0
487,16,17,1,1,0.0
488,13,17,1,2,0.0
489,34,1,1,1,0.0
490,34,3,1,1,0.0
491,34,6,1,1,0.0
492,34,20,1,1,0.0
493,34,35,1,1,0.0
494,34,24,2,2,1.0
495,34,43,1,2,0.0
496,34,28,6,4,0.65
497,1,3,1,1,0.0
498,1,6,2,2,1.0
499,1,20,2,2,1.0
500,1,35,1,1,0.0
501,1,24,1,2,0.0
502,1,43,4,3,0.888888888888889
503,1,28,3,4,0.5
504,3,6,1,2,0.0
505,3,20,1,2,0.0
506,3,35,2,2,1.0
507,3,24,3,3,0.7777777777777778
508,3,43,2,2,1.0
509,3,28,3,3,0.6666666666666666
510,6,20,1,1,0.0
511,6,35,1,1,0.0
512,6,24,1,1,0.0
513,6,43,1,2,0.0
514,6,28,4,4,0.5833333333333334
515,20,35,1,1,0.0
516,20,24,2,2,1.0
517,20,43,1,1,0.0
518,20,28,3,3,0.6666666666666666
519,35,24,1,1,0.0
520,35,43,1,2,0.0
521,35,28,3,4,0.5
522,24,43,2,3,0.6666666666666667
523,24,28,7,5,0.5809523809523812
524,43,28,1,2,0.0
525,8,2,1,1,0.0
526,8,32,1,1,0.0
527,8,36,20,5,0.7221052631578947
528,2,32,2,2,1.0
529,2,36,10,4,0.7666666666666667
530,32,36,10,5,0.6133333333333333
531,23,7,1,1,0.0
532,23,41,1,1,0.0
533,7,41,1,1,0.0
534,38,12,1,1,0.0
535,38,18,1,1,0.0
536,38,39,1,3,0.0
537,38,44,1,4,0.0
538,12,18,2,2,1.0
539,12,39,1,3,0.0
540,12,44,5,4,0.65
541,18,39,1,4,0.0
542,18,44,2,5,0.4
543,39,44,4,6,0.3888888888888889
544,40,19,1,1,0.0
545,40,0,4,3,0.6666666666666669
546,19,0,2,3,0.6666666666666667
547,49,10,1,1,0.0
548,4,33,1,1,0.0
549,45,9,1,1,0.0
550,45,22,1,1,0.0
551,45,27,1,1,0.0
552,45,42,1,1,0.0
553,45,48,3,3,0.7777777777777778
554,9,22,1,1,0.0
555,9,27,2,2,1.0
556,9,42,2,2,1.0
