,Source,Dest,Number of SP,SP length,Disparity
508,27,16,1,1,0.0
509,52,71,1,1,0.0
510,52,43,1,4,0.0
511,52,16,2,2,1.0
512,71,43,1,5,0.0
513,71,16,1,1,0.0
514,43,16,4,6,0.4444444444444445
515,1,15,1,1,0.0
516,1,18,1,1,0.0
517,1,20,2,2,1.0
518,1,26,1,1,0.0
519,1,79,27,8,0.48646723646723644
520,1,83,65,7,0.6550137362637404
521,15,18,1,1,0.0
522,15,20,1,1,0.0
523,15,26,1,1,0.0
524,15,79,1,8,0.0
525,15,83,9,7,0.49603174603174605
526,18,20,2,2,1.0
527,18,26,3,2,1.0
528,18,79,1,7,0.0
529,18,83,9,6,0.5787037037037037
530,20,26,2,2,1.0
531,20,79,15,9,0.3862433862433858
532,20,83,46,8,0.5942028985507246
533,26,79,1,8,0.0
534,26,83,2,7,0.2857142857142857
535,79,83,1,7,0.0
536,88,24,1,1,0.0
537,88,89,1,1,0.0
538,88,91,1,1,0.0
539,88,31,2,2,1.0
540,88,64,1,2,0.0
541,88,82,1,2,0.0
542,88,90,6,5,0.4800000000000001
543,88,22,6,6,0.39999999999999997
544,24,89,1,2,0.0
545,24,91,1,2,0.0
546,24,31,2,3,0.6666666666666667
547,24,64,1,3,0.0
548,24,82,1,3,0.0
549,24,90,3,5,0.4000000000000001
550,24,22,3,6,0.3333333333333333
551,89,91,1,1,0.0
552,89,31,1,1,0.0
553,89,64,1,2,0.0
554,89,82,1,2,0.0
555,89,90,3,5,0.4000000000000001
556,89,22,3,6,0.3333333333333333
557,91,31,1,1,0.0
558,91,64,1,1,0.0
559,91,82,1,1,0.0
560,91,90,12,6,0.5151515151515152
561,91,22,12,7,0.44155844155844143
562,31,64,1,2,0.0
563,31,82,1,2,0.0
564,31,90,3,6,0.3333333333333333
565,31,22,3,7,0.2857142857142857
566,64,82,1,1,0.0
567,64,90,12,7,0.44155844155844143
568,64,22,12,8,0.38636363636363635
569,82,90,12,7,0.44155844155844143
570,82,22,12,8,0.38636363636363635
571,90,22,1,1,0.0
572,97,9,1,1,0.0
573,97,39,1,1,0.0
574,97,66,1,1,0.0
575,97,68,1,1,0.0
576,97,80,1,1,0.0
577,97,87,1,1,0.0
578,97,90,1,1,0.0
579,97,15,9,4,0.7361111111111112
580,97,17,3,3,0.6666666666666666
581,97,81,1,2,0.0
582,97,46,1,2,0.0
583,97,20,1,4,0.0
584,97,22,1,2,0.0
585,97,27,3,2,1.0
586,97,82,12,6,0.5151515151515151
587,97,83,2,4,0.5
588,97,88,6,4,0.6
589,9,39,5,2,1.0
590,9,66,1,1,0.0
591,9,68,1,2,0.0
592,9,80,1,1,0.0
593,9,87,1,1,0.0
594,9,90,3,2,1.0
595,9,15,31,5,0.7449462365591407
596,9,17,4,4,0.7083333333333334
597,9,81,2,2,1.0
598,9,46,1,3,0.0
599,9,20,3,5,0.4000000000000001
600,9,22,11,3,0.8969696969696968
601,9,27,15,3,0.8888888888888891
602,9,82,16,7,0.5547619047619047
603,9,83,1,4,0.0
604,9,88,8,5,0.6428571428571427
605,39,66,1,1,0.0
606,39,68,1,1,0.0
607,39,80,1,1,0.0
608,39,87,1,1,0.0
609,39,90,5,2,1.0
610,39,15,3,4,0.6666666666666666
611,39,17,6,3,0.8222222222222222
612,39,81,1,2,0.0
613,39,46,1,2,0.0
614,39,20,16,5,0.6983333333333324
615,39,22,9,3,0.8425925925925928
616,39,27,2,2,1.0
617,39,82,24,6,0.6219806763285037
618,39,83,1,3,0.0
619,39,88,12,4,0.75
620,66,68,2,2,1.0
621,66,80,1,1,0.0
622,66,87,1,1,0.0
623,66,90,3,2,1.0
624,66,15,33,5,0.7492424242424256
625,66,17,11,4,0.7727272727272727
626,66,81,1,1,0.0
627,66,46,2,3,0.6666666666666667
628,66,20,3,5,0.4000000000000001
629,66,22,8,3,0.8809523809523812
630,66,27,16,3,0.8888888888888893
631,66,82,44,7,0.6339474479009356
632,66,83,1,3,0.0
633,66,88,22,5,0.7359307359307367
634,68,80,2,2,1.0
635,68,87,3,2,1.0
636,68,90,1,2,0.0
637,68,15,1,3,0.0
638,68,17,3,2,1.0
639,68,81,2,3,0.6666666666666667
640,68,46,1,1,0.0
641,68,20,5,4,0.675
642,68,22,1,3,0.0
643,68,27,12,3,0.9191919191919189
644,68,82,12,5,0.618181818181818
645,68,83,4,4,0.5833333333333334
646,68,88,6,3,0.7999999999999999
647,80,87,1,1,0.0
648,80,90,6,2,1.0
649,80,15,2,4,0.5
650,80,17,10,4,0.7611111111111111
651,80,81,2,2,1.0
652,80,46,2,3,0.6666666666666667
653,80,20,12,5,0.6484848484848484
654,80,22,1,2,0.0
655,80,27,2,2,1.0
656,80,82,40,7,0.6238095238095217
657,80,83,2,4,0.5
658,80,88,20,5,0.7221052631578947
659,87,90,6,2,1.0
660,87,15,1,4,0.0
661,87,17,1,3,0.0
662,87,81,2,2,1.0
663,87,46,3,3,0.6666666666666666
664,87,20,8,5,0.6000000000000002
665,87,22,15,3,0.8888888888888896
666,87,27,1,2,0.0
667,87,82,4,6,0.3888888888888889
668,87,83,5,4,0.6
669,87,88,2,4,0.5
670,90,15,1,3,0.0
671,90,17,3,4,0.5
672,90,81,3,3,0.6666666666666666
673,90,46,5,3,0.8666666666666668
674,90,20,4,4,0.6666666666666666
675,90,22,1,1,0.0
676,90,27,1,1,0.0
677,90,82,12,7,0.44155844155844154
678,90,83,8,5,0.4928571428571428
679,90,88,6,5,0.4800000000000001
680,15,17,3,4,0.5
681,15,81,36,6,0.6465608465608468
682,15,46,5,3,0.8
683,15,20,1,1,0.0
684,15,22,2,4,0.5
685,15,27,1,2,0.0
686,15,82,14,7,0.4646781789638929
687,15,83,9,7,0.49603174603174605
688,15,88,8,5,0.5285714285714287
689,17,81,12,5,0.6515151515151514
690,17,46,1,2,0.0
691,17,20,12,5,0.6757575757575756
692,17,22,3,5,0.4000000000000001
693,17,27,15,4,0.7857142857142857
694,17,82,3,3,0.6666666666666666
695,17,83,3,5,0.4000000000000001
696,17,88,1,1,0.0
697,81,46,2,4,0.5
698,81,20,3,6,0.3333333333333333
699,81,22,11,4,0.7818181818181819
700,81,27,19,4,0.7368421052631579
701,81,82,48,8,0.5773492907801419
702,81,83,1,4,0.0
703,81,88,24,6,0.643719806763285
704,46,20,1,3,0.0
705,46,22,9,4,0.75
706,46,27,2,2,1.0
707,46,82,4,5,0.4666666666666666
708,46,83,4,5,0.4666666666666666
709,46,88,2,3,0.6666666666666667
710,20,22,8,5,0.6428571428571429
711,20,27,3,3,0.7777777777777778
712,20,82,53,8,0.5956095791001451
713,20,83,46,8,0.5942028985507246
714,20,88,29,6,0.6740558292282433
715,22,27,2,2,1.0
716,22,82,12,8,0.38636363636363635
717,22,83,17,6,0.5245098039215684
718,22,88,6,6,0.39999999999999997
719,27,82,64,7,0.6498015873015875
720,27,83,2,5,0.4
721,27,88,34,5,0.7586452762923378
722,82,83,12,8,0.42045454545454547
723,82,88,1,2,0.0
724,83,88,6,6,0.4666666666666667
725,19,24,1,4,0.0
726,19,89,1,4,0.0
727,24,89,1,2,0.0
728,5,18,1,1,0.0
729,5,40,1,1,0.0
730,5,41,1,1,0.0
731,5,48,1,1,0.0
732,5,52,1,1,0.0
733,5,60,1,1,0.0
734,5,78,1,1,0.0
735,5,84,1,1,0.0
736,5,1,3,2,1.0
737,5,74,2,2,1.0
738,5,98,4,2,1.0
739,5,36,1,2,0.0
740,5,44,1,1,0.0
741,5,59,1,2,0.0
742,5,26,6,3,0.8222222222222222
743,5,8,2,2,1.0
744,5,31,3,4,0.5
745,5,91,13,4,0.7788461538461539
746,5,93,8,5,0.6142857142857145
747,5,0,22,6,0.5642135642135642
748,5,96,3,4,0.5833333333333334
749,18,40,2,2,1.0
750,18,41,2,2,1.0
751,18,48,1,2,0.0
752,18,52,1,1,0.0
753,18,60,3,2,1.0
754,18,78,1,2,0.0
755,18,84,1,1,0.0
756,18,1,1,1,0.0
757,18,74,1,1,0.0
758,18,98,5,3,0.7666666666666668
759,18,36,2,3,0.6666666666666667
760,18,44,1,1,0.0
761,18,59,1,3,0.0
762,18,26,3,2,1.0
763,18,8,1,2,0.0
764,18,31,3,5,0.4000000000000001
765,18,91,14,5,0.6505494505494501
766,18,93,1,4,0.0
767,18,0,23,6,0.5256916996047432
768,18,96,2,3,0.6666666666666667
769,40,41,1,1,0.0
770,40,48,1,1,0.0
771,40,52,1,2,0.0
772,40,60,2,2,1.0
773,40,78,5,2,1.0
774,40,84,1,2,0.0
775,40,1,4,3,0.7777777777777778
776,40,74,3,3,0.7777777777777778
777,40,98,1,1,0.0
778,40,36,1,2,0.0
779,40,44,1,1,0.0
780,40,59,1,2,0.0
781,40,26,9,4,0.7361111111111112
782,40,8,4,3,0.8333333333333334
783,40,31,5,4,0.675
784,40,91,1,3,0.0
785,40,93,11,6,0.6030303030303031
786,40,0,76,7,0.645213032581464
787,40,96,5,5,0.56
788,41,48,1,1,0.0
789,41,52,1,2,0.0
790,41,60,3,2,1.0
791,41,78,1,1,0.0
792,41,84,1,2,0.0
793,41,1,4,3,0.7777777777777778
794,41,74,3,3,0.7777777777777778
795,41,98,4,2,1.0
796,41,36,1,1,0.0
797,41,44,1,1,0.0
798,41,59,1,2,0.0
799,41,26,9,4,0.7361111111111112
800,41,8,5,3,0.8333333333333334
801,41,31,3,4,0.5
802,41,91,13,4,0.7788461538461539
803,41,93,26,6,0.644102564102563
804,41,0,9,6,0.4768518518518518
805,41,96,5,5,0.56
806,48,52,3,2,1.0
807,48,60,1,1,0.0
808,48,78,1,1,0.0
809,48,84,3,2,1.0
810,48,1,7,3,0.8253968253968255
811,48,74,4,3,0.777777777777778
812,48,98,1,1,0.0
813,48,36,1,2,0.0
814,48,44,3,2,1.0
815,48,59,1,1,0.0
816,48,26,12,4,0.7613636363636364
817,48,8,2,2,1.0
818,48,31,1,3,0.0
819,48,91,4,3,0.7777777777777778
820,48,93,1,5,0.0
821,48,0,18,6,0.5076252723311543
822,48,96,5,5,0.5400000000000001
823,52,60,1,1,0.0
824,52,78,2,2,1.0
825,52,84,1,1,0.0
826,52,1,1,1,0.0
827,52,74,1,1,0.0
828,52,98,7,3,0.8253968253968254
829,52,36,1,3,0.0
830,52,44,2,2,1.0
831,52,59,3,3,0.6666666666666666
832,52,26,2,2,1.0
833,52,8,3,2,1.0
834,52,31,6,5,0.4933333333333333
835,52,91,25,5,0.7466666666666678
836,52,93,3,4,0.5833333333333334
837,52,0,2,5,0.4
838,52,96,1,3,0.0
839,60,78,1,1,0.0
840,60,84,1,1,0.0
841,60,1,2,2,1.0
842,60,74,1,2,0.0
843,60,98,2,2,1.0
844,60,36,3,3,0.6666666666666666
845,60,44,1,2,0.0
846,60,59,1,2,0.0
847,60,26,3,3,0.7777777777777778
848,60,8,1,1,0.0
849,60,31,2,4,0.5
850,60,91,8,4,0.7321428571428571
851,60,93,7,5,0.6095238095238097
852,60,0,22,6,0.5642135642135642
853,60,96,1,4,0.0
854,78,84,2,2,1.0
855,78,1,5,3,0.8
856,78,74,3,3,0.7777777777777778
857,78,98,1,1,0.0
858,78,36,1,2,0.0
859,78,44,2,2,1.0
860,78,59,2,2,1.0
861,78,26,9,4,0.7291666666666666
862,78,8,1,2,0.0
863,78,31,1,3,0.0
864,78,91,4,3,0.7777777777777778
865,78,93,2,5,0.6
866,78,0,1,5,0.0
867,78,96,4,5,0.5333333333333333
868,84,1,1,1,0.0
869,84,74,3,2,1.0
870,84,98,7,3,0.8253968253968254
871,84,36,1,3,0.0
872,84,44,2,2,1.0
873,84,59,3,3,0.6666666666666666
874,84,26,1,2,0.0
875,84,8,1,1,0.0
876,84,31,6,5,0.4933333333333333
877,84,91,25,5,0.7466666666666678
878,84,93,3,4,0.5833333333333334
879,84,0,2,5,0.4
880,84,96,5,4,0.6
881,1,74,1,1,0.0
882,1,98,19,4,0.814327485380117
883,1,36,4,4,0.5833333333333334
884,1,44,1,2,0.0
885,1,59,7,4,0.6190476190476191
886,1,26,1,1,0.0
887,1,8,1,2,0.0
888,1,31,15,6,0.5238095238095238
889,1,91,64,6,0.7581018518518526
890,1,93,7,5,0.5714285714285715
891,1,0,4,6,0.4444444444444445
892,1,96,2,3,0.6666666666666667
893,74,98,12,4,0.7689393939393939
894,74,36,3,4,0.5833333333333334
895,74,44,1,2,0.0
896,74,59,4,4,0.5833333333333334
897,74,26,1,1,0.0
898,74,8,5,3,0.8
899,74,31,9,6,0.4907407407407407
900,74,91,39,6,0.7143499775078717
901,74,93,4,5,0.5333333333333333
902,74,0,2,6,0.33333333333333337
903,74,96,1,2,0.0
904,98,36,4,3,0.6666666666666669
905,98,44,1,2,0.0
906,98,59,2,2,1.0
907,98,26,36,5,0.7853968253968275
908,98,8,3,3,0.7777777777777778
909,98,31,3,3,0.7777777777777778
910,98,91,1,2,0.0
911,98,93,4,6,0.4722222222222223
912,98,0,1,6,0.0
913,98,96,17,6,0.5943627450980393
914,36,44,1,2,0.0
915,36,59,1,3,0.0
916,36,26,9,5,0.5888888888888889
917,36,8,5,4,0.625
918,36,31,3,5,0.4000000000000001
919,36,91,13,5,0.6230769230769226
920,36,93,26,7,0.5520879120879114
921,36,0,9,7,0.40873015873015883
922,36,96,5,6,0.4666666666666667
923,44,59,3,3,0.6666666666666666
924,44,26,3,3,0.6666666666666666
925,44,8,3,3,0.7777777777777778
926,44,31,11,5,0.6072727272727274
927,44,91,1,4,0.0
928,44,93,1,5,0.0
929,44,0,54,7,0.634321653189576
930,44,96,2,4,0.5
931,59,26,12,5,0.609090909090909
932,59,8,2,3,0.6666666666666667
933,59,31,1,3,0.0
934,59,91,3,3,0.6666666666666666
935,59,93,1,6,0.0
936,59,0,19,7,0.46282372598162136
937,59,96,5,6,0.45
938,26,8,1,3,0.0
939,26,31,27,7,0.5388685388685388
940,26,91,117,7,0.7469790745652555
941,26,93,1,5,0.0
942,26,0,25,7,0.5176190476190466
943,26,96,2,3,0.6666666666666667
944,8,31,3,5,0.4666666666666666
