,Timestamp,Flow robustness,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
0,0,1.0,5.49,0.5458534913796589,-0.015431588613406799,4,432,0.5831666666666668
1,12,1.0,4.51,0.5345999083160848,-0.01219699220734408,4,426,0.5873333333333335
2,24,0.92,4.1521739130434785,0.5500833917600273,-0.009155841882287038,2,390,0.5530000000000002
3,36,0.92,6.532608695652174,0.5637559025547327,-0.013486183132206769,2,394,0.5405000000000001
4,48,0.92,8.25,0.5135345996620537,-0.01714767706006959,3,398,0.5360952380952382
5,60,0.92,6.456521739130435,0.48805021627664635,-0.013699196658429919,3,404,0.5310952380952382
6,72,0.92,7.532608695652174,0.5224176876169511,-0.007640650069872158,5,400,0.5412619047619049
7,84,0.92,4.565217391304348,0.5262234204595387,-0.0007657607484963264,5,402,0.5452500000000001
8,96,0.92,4.934782608695652,0.475131074172814,0.00876894377799867,4,430,0.5428333333333335
9,108,0.92,9.141304347826088,0.5138572284728812,-0.0019228266998221645,5,444,0.5348333333333335
10,120,0.92,10.141304347826088,0.4780352558665739,0.0012339323835334388,6,452,0.5306025641025642
11,132,0.92,7.630434782608695,0.4651862976470418,0.007543999999999996,9,456,0.5314358974358977
12,144,0.92,6.4021739130434785,0.464057566190645,0.011510652824705455,9,474,0.5239358974358975
13,156,0.85,6.305882352941176,0.5394745050954641,0.003925652940233932,6,426,0.48860256410256425
14,168,0.92,4.771739130434782,0.4843088226180551,0.017173585176673372,8,470,0.5259358974358975
15,180,0.92,4.945652173913044,0.4687325598419644,0.017532696374030855,9,488,0.5131783216783218
16,192,0.92,4.673913043478261,0.48591658424855355,0.019949026442532946,7,476,0.5218449883449885
17,204,0.92,5.423913043478261,0.49316057262897434,0.021691043267672218,6,484,0.5187540792540793
18,216,0.92,5.565217391304348,0.4245120552682618,0.023259456496201765,6,486,0.5170874125874126
19,228,1.0,6.2,0.47010069868876264,0.010853810912119965,7,644,0.5027071817071819
20,240,1.0,8.18,0.535123352992763,0.005402160864345747,8,676,0.48527164502164516
21,252,1.0,7.3,0.5511185435893352,0.003914236769879716,9,688,0.47436255411255424
22,264,0.92,6.934782608695652,0.48839148924466913,0.012668664159745819,9,550,0.46919913419913434
23,276,0.92,5.586956521739131,0.45118067401101847,0.013687270940398443,10,550,0.46919913419913434
24,288,0.86,8.720930232558139,0.49682012835477146,0.004565836080342345,8,518,0.4411515151515153
25,300,0.86,10.406976744186046,0.5108580576280227,0.009489587041651832,9,528,0.4384848484848484
26,312,0.92,9.369565217391305,0.492406873342107,0.011776534763313608,9,568,0.4579848484848485
27,324,0.92,6.9021739130434785,0.4960644195925315,0.0010781428988567176,13,560,0.4508658008658009
28,336,0.92,18.27173913043478,0.519112974078461,0.005217306898978377,7,582,0.44103246753246766
29,348,0.92,6.119565217391305,0.46814826719549885,0.0038667459845330107,12,566,0.4496991341991344
30,360,0.92,4.913043478260869,0.4664332156855641,0.001225217197594123,12,576,0.438865800865801
31,372,0.92,4.989130434782608,0.46809114737025154,0.001727771787079698,11,564,0.44327489177489193
32,384,0.92,11.815217391304348,0.4710902363663286,0.0015072051759631383,10,560,0.44760822510822523
33,396,0.92,8.347826086956522,0.47955577263706717,0.014980737192836319,10,562,0.45177489177489194
34,408,0.86,8.651162790697674,0.4706340762817728,0.01805049203695077,10,538,0.42444155844155845
35,420,0.86,6.813953488372093,0.4895321639934421,0.012110113421550108,10,548,0.4130367965367966
36,432,0.86,5.616279069767442,0.44040653982078076,0.0170608701203358,10,552,0.41087012987013
37,444,0.86,4.6395348837209305,0.45917482352412736,0.0176588326446281,11,548,0.4112034632034633
38,456,0.86,4.186046511627907,0.4538754822925228,0.027647058823529434,11,552,0.4095367965367966
39,468,0.86,3.0232558139534884,0.41830081094615984,0.01868921469008566,12,552,0.4019610389610391
40,480,0.86,3.4186046511627906,0.3898891182388328,0.012961986287476142,12,544,0.4008449883449885
41,492,0.86,3.5,0.3779619553673071,0.024253322222709508,11,552,0.40227355977356
42,504,0.86,3.9767441860465116,0.4347724263627137,0.013011322132943764,11,564,0.3881783216783217
43,516,0.86,4.104651162790698,0.45717846338275897,0.02043130177240962,12,564,0.38745609945609943
44,528,0.86,3.8372093023255816,0.4831470852828582,0.016179591049382727,13,574,0.37778943278943283
45,540,0.86,4.023255813953488,0.3952029525095206,0.02203100857797436,15,582,0.3759560994560994
46,552,0.92,3.3369565217391304,0.3423582930520271,0.03386134067952249,15,646,0.39112276612276614
47,564,0.92,3.108695652173913,0.29279079862481305,0.03003906007812023,18,682,0.3717299089799091
48,576,0.92,3.0869565217391304,0.3128569272883303,0.023715041572184493,17,684,0.366729908979909
49,588,0.81,3.0246913580246915,0.274382485885317,0.025750594530321053,18,602,0.3293370518370517
50,600,0.81,2.308641975308642,0.26293242324988353,0.025936385255648054,17,622,0.3231511544011543
51,612,0.74,2.7162162162162162,0.3482127257127257,0.026502835538752306,14,536,0.30961544011543995
52,624,0.74,2.8513513513513513,0.36604748460011616,0.021900826446280955,14,548,0.3030321067821066
53,636,0.74,2.7162162162162162,0.3662786646190007,0.028140943877551006,14,520,0.3093174603174601
54,648,0.85,2.4235294117647057,0.33108428826075886,0.030930019066450227,15,698,0.3205476190476189
55,660,0.85,2.4941176470588236,0.32507851299027773,0.039341517857142815,15,724,0.3119087301587301
56,672,0.85,2.541176470588235,0.29220025687499734,0.04445301783264745,16,746,0.30575432900432886
57,684,0.85,3.164705882352941,0.3300778688631629,0.043136099654911275,16,746,0.3059487734487733
