,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,72,80,1,1,1,1,1,1,1
1,72,57,2,2,2,2,2,1,1
2,72,77,3,3,10,10,9,9,5
3,72,81,3,3,5,5,4,4,2
4,72,66,2,2,3,3,3,2,2
5,72,97,2,2,3,3,3,2,2
6,72,42,2,2,3,3,3,2,2
7,80,57,1,1,1,1,1,1,1
8,80,77,2,2,4,4,4,3,3
9,80,81,2,2,2,2,2,1,1
10,80,66,1,1,1,1,1,1,1
11,80,97,1,1,1,1,1,1,1
12,80,42,1,1,1,1,1,1,1
13,57,77,1,1,1,1,1,1,1
14,57,81,1,1,1,1,1,1,1
15,57,66,1,1,1,1,1,1,1
16,57,97,2,2,3,3,3,2,2
17,57,42,2,2,4,4,4,3,3
18,77,81,1,1,1,1,1,1,1
19,77,66,1,1,1,1,1,1,1
20,77,97,2,2,2,2,2,1,1
21,77,42,2,2,3,3,3,2,2
22,81,66,1,1,1,1,1,1,1
23,81,97,2,2,1,1,1,0,0
24,81,42,2,2,1,1,1,0,0
25,66,97,1,1,1,1,1,1,1
26,66,42,1,1,1,1,1,1,1
27,97,42,1,1,1,1,1,1,1
28,89,31,1,1,1,1,1,1,1
29,89,91,1,1,1,1,1,1,1
30,89,64,2,2,1,1,1,0,0
31,89,82,2,2,1,1,1,0,0
32,89,19,4,4,1,1,0,0,0
33,89,51,3,3,1,1,0,0,0
34,89,55,4,4,1,1,0,0,0
35,89,67,5,5,3,3,0,0,0
36,89,73,4,4,1,1,0,0,0
37,31,91,1,1,1,1,1,1,1
38,31,64,2,2,1,1,1,0,0
39,31,82,2,2,1,1,1,0,0
40,31,19,5,5,1,1,0,0,0
41,31,51,4,4,1,1,0,0,0
42,31,55,5,5,1,1,0,0,0
43,31,67,6,6,3,3,0,0,0
44,31,73,5,5,1,1,0,0,0
45,91,64,1,1,1,1,1,1,1
46,91,82,1,1,1,1,1,1,1
47,91,19,5,5,4,4,1,0,0
48,91,51,4,4,4,4,3,1,1
49,91,55,5,5,4,4,1,0,0
50,91,67,6,6,12,12,7,2,0
51,91,73,5,5,4,4,1,0,0
52,64,82,1,1,1,1,1,1,1
53,64,19,6,6,4,4,1,0,0
54,64,51,5,5,4,4,1,0,0
55,64,55,6,6,4,4,1,0,0
56,64,67,7,7,12,12,2,0,0
57,64,73,6,6,4,4,1,0,0
58,82,19,6,6,4,4,1,0,0
59,82,51,5,5,4,4,1,0,0
60,82,55,6,6,4,4,1,0,0
61,82,67,7,7,12,12,2,0,0
62,82,73,6,6,4,4,1,0,0
63,19,51,1,1,1,1,1,1,1
64,19,55,2,2,3,3,3,2,2
65,19,67,2,2,2,2,2,1,1
66,19,73,1,1,1,1,1,1,1
67,51,55,1,1,1,1,1,1,1
68,51,67,2,2,3,3,3,2,2
69,51,73,1,1,1,1,1,1,1
70,55,67,1,1,1,1,1,1,1
71,55,73,1,1,1,1,1,1,1
72,67,73,1,1,1,1,1,1,1
73,2,11,1,1,1,1,1,1,1
74,2,17,2,2,1,1,1,0,0
75,2,48,2,2,2,2,2,1,1
76,2,59,3,3,3,3,2,2,1
