,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
157,28,20,1,2,1,1,1,1,1
158,28,96,2,3,1,1,1,0,0
159,28,43,3,4,1,1,0,0,0
160,28,36,6,7,48,48,17,3,0
161,28,19,7,8,193,193,88,37,10
162,20,96,1,2,1,1,1,1,1
163,20,43,2,3,1,1,1,0,0
164,20,36,5,6,48,48,17,3,3
165,20,19,6,7,193,193,138,88,37
166,96,43,1,2,1,1,1,1,1
167,96,36,6,7,48,48,17,3,0
168,96,19,7,8,193,193,88,37,10
169,43,36,7,8,48,48,3,0,0
170,43,19,8,9,193,193,88,10,10
171,13,25,1,2,1,1,1,1,1
172,36,19,4,5,20,20,11,0,0
173,38,16,1,2,2,2,2,2,2
174,38,71,2,3,11,11,11,6,6
175,38,84,3,4,26,26,18,18,6
176,38,60,4,5,96,96,85,56,56
177,38,78,4,5,63,63,52,32,32
178,38,50,3,4,8,8,1,1,0
179,16,71,1,2,4,4,4,4,4
180,16,84,2,3,11,11,11,4,4
181,16,60,3,4,37,37,27,27,10
182,16,78,4,5,245,245,231,202,202
183,16,50,3,4,26,26,16,16,3
184,71,84,1,2,3,3,3,3,3
185,71,60,2,3,12,12,12,6,6
186,71,78,3,4,70,70,59,59,39
187,71,50,3,4,91,91,79,79,28
188,84,60,1,2,5,5,5,5,5
189,84,78,2,3,17,17,17,8,8
190,84,50,3,4,81,81,68,68,36
191,60,78,1,2,4,4,4,4,4
192,60,50,2,3,19,19,19,10,10
193,78,50,1,2,5,5,5,5,5
194,7,55,1,2,5,5,5,5,5
195,7,94,1,2,3,3,3,3,3
196,7,83,2,3,3,3,3,0,0
197,7,15,5,6,189,189,147,69,69
198,7,26,5,6,114,114,77,54,54
199,7,1,5,6,674,674,606,452,452
200,7,44,4,5,89,89,79,59,59
201,7,64,6,7,86,86,39,14,3
202,55,94,1,2,3,3,3,3,3
203,55,83,2,3,3,3,3,0,0
204,55,15,5,6,59,59,21,5,5
205,55,26,6,7,535,535,478,423,351
206,55,1,5,6,212,212,148,70,70
207,55,44,4,5,53,53,42,25,25
208,55,64,6,7,58,58,19,3,0
209,94,83,1,2,1,1,1,1,1
210,94,15,6,7,309,309,261,150,46
211,94,26,6,7,166,166,123,98,72
212,94,1,6,7,1110,1110,1032,825,377
213,94,44,5,6,199,199,163,107,107
214,94,64,7,8,206,206,51,9,0
215,83,15,7,8,309,309,150,46,6
216,83,26,7,8,166,166,98,72,42
217,83,1,7,8,1110,1110,825,377,58
218,83,44,6,7,199,199,163,107,44
219,83,64,8,9,206,206,51,0,0
220,15,26,1,2,3,3,3,3,3
221,15,1,1,2,4,4,4,4,4
222,15,44,2,3,4,4,4,0,0
223,15,64,7,8,340,340,138,52,9
224,26,1,1,2,3,3,3,3,3
225,26,44,3,4,19,19,11,11,1
226,26,64,8,9,2014,2014,1403,265,265
227,1,44,2,3,8,8,8,2,2
228,1,64,7,8,964,964,594,289,60
229,44,64,5,6,42,42,22,12,12
230,14,72,1,2,1,1,1,1,1
231,14,30,2,3,6,6,6,0,0
232,14,34,2,3,4,4,4,0,0
233,14,45,2,3,4,4,4,0,0
234,14,93,3,4,4,4,0,0,0
235,14,32,5,6,42,42,15,0,0
236,14,0,5,6,42,42,15,0,0
237,14,67,5,6,69,69,27,4,4
238,14,95,6,7,149,149,108,53,0
239,72,30,1,2,6,6,6,6,6
240,72,34,1,2,4,4,4,4,4
241,72,45,1,2,4,4,4,4,4
242,72,93,2,3,4,4,4,0,0
243,72,32,4,5,42,42,33,15,15
244,72,0,4,5,42,42,33,15,15
245,72,67,4,5,69,69,55,27,27
246,72,95,5,6,149,149,108,53,53
247,30,34,1,2,5,5,5,5,5
248,30,45,1,2,4,4,4,4,4
249,30,93,2,3,4,4,4,0,0
250,30,32,4,5,115,115,102,61,61
251,30,0,4,5,115,115,102,61,61
252,30,67,3,4,18,18,9,9,2
253,30,95,4,5,35,35,24,7,7
254,34,45,1,2,5,5,5,5,5
255,34,93,2,3,5,5,5,0,0
256,34,32,5,6,317,317,238,62,62
257,34,0,5,6,317,317,238,62,62
258,34,67,4,5,36,36,23,11,11
259,34,95,5,6,84,84,43,13,13
260,45,93,1,2,1,1,1,1,1
261,45,32,5,6,250,250,182,51,51
262,45,0,5,6,250,250,182,51,51
263,45,67,4,5,28,28,16,6,6
264,45,95,5,6,67,67,30,9,9
265,93,32,6,7,250,250,182,51,0
266,93,0,6,7,250,250,182,51,0
267,93,67,5,6,28,28,6,0,0
268,93,95,6,7,67,67,30,9,0
269,32,0,1,2,2,2,2,2,2
270,32,67,5,6,32,32,7,2,2
271,32,95,4,5,7,7,2,0,0
272,0,67,5,6,32,32,7,2,2
273,0,95,4,5,7,7,2,0,0
274,67,95,5,6,15,15,2,0,0
275,12,77,1,2,2,2,2,2,2
276,12,70,2,3,9,9,9,4,4
277,12,75,2,3,6,6,6,2,2
278,12,65,1,2,2,2,2,2,2
279,12,57,2,3,9,9,9,4,4
280,12,81,2,3,6,6,6,1,1
281,12,63,2,3,3,3,3,0,0
282,77,70,1,2,5,5,5,5,5
283,77,75,2,3,14,14,14,7,7
284,77,65,1,2,4,4,4,4,4
285,77,57,1,2,5,5,5,5,5
286,77,81,1,2,4,4,4,4,4
287,77,63,1,2,2,2,2,2,2
288,70,75,1,2,3,3,3,3,3
289,70,65,1,2,4,4,4,4,4
290,70,57,1,2,7,7,7,7,7
291,70,81,2,3,20,20,20,11,11
292,70,63,2,3,8,8,8,2,2
293,75,65,1,2,3,3,3,3,3
294,75,57,1,2,3,3,3,3,3
295,75,81,2,3,8,8,8,3,3
296,75,63,3,4,22,22,14,14,1
297,65,57,1,2,4,4,4,4,4
298,65,81,2,3,12,12,12,6,6
299,65,63,2,3,6,6,6,1,1
300,57,81,1,2,3,3,3,3,3
301,57,63,2,3,8,8,8,2,2
302,81,63,1,2,2,2,2,2,2
