,Source,Dest,Number of SP,SP length,Disparity
214,8,40,1,1,0.0
215,8,42,1,1,0.0
216,8,46,4,2,1.0
217,8,20,1,1,0.0
218,8,49,1,1,0.0
219,8,7,1,1,0.0
220,8,41,7,2,1.0
221,8,35,9,2,1.0
222,8,24,2,4,0.5
223,8,28,3,4,0.5
224,8,29,5,2,1.0
225,8,6,5,2,1.0
226,8,36,3,3,0.6666666666666666
227,12,33,1,1,0.0
228,12,34,1,1,0.0
229,12,37,1,1,0.0
230,12,40,1,1,0.0
231,12,42,1,1,0.0
232,12,46,4,2,1.0
233,12,20,1,1,0.0
234,12,49,1,1,0.0
235,12,7,1,1,0.0
236,12,41,1,1,0.0
237,12,35,1,1,0.0
238,12,24,6,4,0.5
239,12,28,3,4,0.5
240,12,29,7,2,1.0
241,12,6,7,2,1.0
242,12,36,3,3,0.6666666666666666
243,33,34,1,1,0.0
244,33,37,1,1,0.0
245,33,40,1,1,0.0
246,33,42,1,1,0.0
247,33,46,4,2,1.0
248,33,20,1,1,0.0
249,33,49,1,1,0.0
250,33,7,1,1,0.0
251,33,41,10,2,1.0
252,33,35,1,1,0.0
253,33,24,5,4,0.5
254,33,28,5,4,0.5
255,33,29,7,2,1.0
256,33,6,6,2,1.0
257,33,36,5,3,0.6666666666666669
258,34,37,1,1,0.0
259,34,40,1,1,0.0
260,34,42,12,2,1.0
261,34,46,2,2,1.0
262,34,20,1,1,0.0
263,34,49,1,1,0.0
264,34,7,1,1,0.0
265,34,41,4,2,1.0
266,34,35,6,2,1.0
267,34,24,39,5,0.5487179487179505
268,34,28,23,5,0.537549407114624
269,34,29,3,2,1.0
270,34,6,4,2,1.0
271,34,36,23,4,0.6719367588932806
272,37,40,1,1,0.0
273,37,42,1,1,0.0
274,37,46,1,1,0.0
275,37,20,9,2,1.0
276,37,49,8,2,1.0
277,37,7,10,2,1.0
278,37,41,2,2,1.0
279,37,35,3,2,1.0
280,37,24,23,5,0.5351778656126477
281,37,28,22,5,0.5402597402597398
282,37,29,4,2,1.0
283,37,6,49,3,0.9206349206349184
284,37,36,22,4,0.6753246753246753
285,40,42,1,1,0.0
286,40,46,4,2,1.0
287,40,20,1,1,0.0
288,40,49,11,2,1.0
289,40,7,1,1,0.0
290,40,41,5,2,1.0
291,40,35,6,2,1.0
292,40,24,45,5,0.5513131313131356
293,40,28,34,5,0.549732620320855
294,40,29,1,1,0.0
295,40,6,3,2,1.0
296,40,36,34,4,0.6871657754010695
297,42,46,4,2,1.0
298,42,20,1,1,0.0
299,42,49,1,1,0.0
300,42,7,1,1,0.0
