,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
0,0,1,6,7,183,183,102,39,4
1,0,2,6,7,171,171,109,34,8
2,0,5,6,7,547,547,464,347,102
3,0,6,4,5,57,57,46,29,29
4,0,7,4,5,26,26,16,5,5
5,0,8,6,7,122,122,60,33,10
6,0,9,3,4,14,14,7,7,0
7,0,11,6,7,486,486,408,265,111
8,0,12,3,4,7,7,2,2,0
9,0,14,5,6,42,42,15,0,0
10,0,15,7,8,853,853,634,330,128
11,0,16,5,6,230,230,135,31,31
12,0,17,6,7,95,95,62,41,12
13,0,18,6,7,537,537,467,345,97
14,0,19,5,6,54,54,27,15,15
15,0,20,7,8,135,135,36,16,2
16,0,22,4,5,14,14,6,1,1
17,0,23,4,5,50,50,34,4,4
18,0,24,7,8,97,97,41,12,0
19,0,26,7,8,669,669,484,261,138
20,0,27,5,6,351,351,280,52,52
21,0,28,8,9,135,135,36,2,2
22,0,30,4,5,115,115,102,61,61
23,0,31,8,9,102,102,41,0,0
24,0,32,1,2,2,2,2,2,2
25,0,33,4,5,100,100,86,57,57
26,0,34,5,6,317,317,238,62,62
27,0,35,6,7,351,351,289,187,0
28,0,36,7,8,260,260,99,41,0
29,0,38,5,6,61,61,10,1,1
30,0,39,4,5,93,93,79,47,47
31,0,40,7,8,1835,1835,1387,883,316
32,0,41,6,7,260,260,191,99,41
33,0,42,3,4,13,13,3,3,0
34,0,43,9,10,135,135,16,2,0
35,0,44,7,8,1420,1420,1133,883,472
36,0,45,5,6,250,250,182,51,51
37,0,46,6,7,441,441,370,240,118
38,0,48,6,7,393,393,298,150,31
39,0,50,5,6,136,136,55,9,9
40,0,51,4,5,25,25,13,3,3
41,0,52,5,6,79,79,23,2,2
42,0,55,5,6,58,58,27,15,15
43,0,56,3,4,6,6,0,0,0
44,0,57,2,3,4,4,4,0,0
45,0,58,7,8,98,98,41,12,0
46,0,59,7,8,488,488,380,278,76
47,0,60,6,7,512,512,433,288,144
48,0,62,3,4,10,10,1,1,0
49,0,63,4,5,26,26,17,1,1
50,0,64,9,10,394,394,156,65,12
51,0,65,2,3,4,4,4,0,0
52,0,66,3,4,18,18,9,9,0
53,0,67,5,6,32,32,7,2,2
54,0,68,5,6,241,241,137,34,34
55,0,69,3,4,8,8,0,0,0
56,0,70,2,3,4,4,4,0,0
57,0,71,4,5,58,58,42,9,9
58,0,72,4,5,42,42,33,15,15
59,0,73,5,6,61,61,28,16,16
60,0,74,6,7,106,106,43,16,2
61,0,75,1,2,2,2,2,2,2
62,0,77,3,4,17,17,9,9,0
63,0,78,5,6,50,50,23,7,7
64,0,79,5,6,7,7,0,0,0
65,0,80,3,4,15,15,8,8,0
66,0,81,3,4,9,9,3,3,0
67,0,82,9,10,394,394,156,65,12
68,0,83,6,7,32,32,7,2,0
69,0,84,5,6,79,79,23,2,2
70,0,87,3,4,16,16,5,5,0
71,0,88,7,8,193,193,103,53,12
72,0,89,7,8,98,98,41,12,0
73,0,90,4,5,71,71,54,9,9
74,0,91,8,9,390,390,243,65,65
75,0,93,6,7,250,250,182,51,0
76,0,94,5,6,32,32,7,2,2
77,0,95,4,5,7,7,2,0,0
78,0,96,8,9,135,135,36,2,2
79,0,97,4,5,114,114,102,62,62
80,0,98,6,7,95,95,62,41,12
81,1,2,4,5,103,103,88,50,50
82,1,5,2,3,15,15,15,7,7
83,1,6,3,4,39,39,29,29,13
84,1,7,5,6,674,674,606,452,452
85,1,8,2,3,7,7,7,2,2
86,1,9,4,5,143,143,125,71,71
87,1,11,3,4,42,42,29,29,10
