,Timestamp,Connectivity,Redundancy_avg,Disparity_avg,Modularity,Criticity,RCost,Efficiency
0,0,0.96,4.270833333333333,0.35132133747906935,0.04828125000000001,2,356,0.6826666666666666
1,10,0.96,4.541666666666667,0.3998433372783498,0.03729579526126339,2,362,0.6631666666666667
2,20,0.88,4.181818181818182,0.3906422307699984,0.040634245562130196,0,298,0.6416666666666667
3,30,0.84,3.7738095238095237,0.3941172852311033,0.04223442146194819,0,276,0.6208333333333335
4,40,0.84,3.3214285714285716,0.3890851382786866,0.042407999639655844,0,278,0.6150000000000001
5,50,0.84,3.4285714285714284,0.36918464959688707,0.042903122717311934,0,282,0.6116666666666668
6,60,0.84,3.3333333333333335,0.38750816136888855,0.03295535941919898,0,294,0.5883333333333334
7,70,0.88,6.2272727272727275,0.43150902907778854,0.02782807705849806,1,334,0.5870000000000002
8,80,0.88,5.1477272727272725,0.44239550088656804,0.021588911698801835,2,336,0.5753333333333334
9,90,0.88,8.113636363636363,0.46011898215197067,0.02209327162691348,2,356,0.5595
10,100,0.88,6.806818181818182,0.4592088202707544,0.022865212427137783,3,364,0.5499999999999999
11,110,0.88,8.715909090909092,0.4543384946449793,0.02425384521484375,2,366,0.5495
12,120,0.88,8.375,0.45260860075505693,0.018447656840514002,2,370,0.5395
13,130,0.88,7.238636363636363,0.48125504200104513,0.013310529446757879,4,380,0.5256666666666666
14,140,0.88,7.0227272727272725,0.47764889796328885,0.006787446212690388,4,386,0.5148333333333334
15,150,0.81,6.580246913580247,0.5113677455111961,0.002118292840170197,4,352,0.4773333333333333
16,160,0.88,5.386363636363637,0.5117776639182536,0.0030359251138471917,7,400,0.49733333333333335
17,170,0.88,4.931818181818182,0.5120161367408289,0.002350252675386439,7,400,0.49733333333333335
18,180,0.88,4.988636363636363,0.5326139558007782,-0.0031489158163265285,6,416,0.4813333333333334
19,190,0.88,4.465909090909091,0.5325720843263373,-0.013424610514673663,7,406,0.47900000000000004
20,200,0.88,4.75,0.542119016773995,-0.015613986999765064,5,404,0.4776666666666667
21,210,0.88,4.988636363636363,0.5089041901521064,-0.01360537190082645,7,418,0.4729285714285714
22,220,0.88,5.056818181818182,0.4789979994461602,-0.009752860503931303,8,416,0.4782619047619048
23,230,0.84,4.5,0.47604170397551876,-0.008140495867768601,6,396,0.46159523809523817
24,240,0.84,7.309523809523809,0.4719141965390404,-0.007322615941419084,11,416,0.45458333333333345
25,250,0.84,6.976190476190476,0.47601272828437907,0.0037011966110577386,8,424,0.45691666666666675
26,260,0.84,6.809523809523809,0.4441323177247694,-0.00036368445414269515,7,428,0.4515833333333334
27,270,0.84,7.238095238095238,0.43269840324259723,0.0027798810167658228,7,426,0.45658333333333345
28,280,0.74,6.743243243243243,0.4356255499261992,0.004839355642577429,6,340,0.42833333333333345
29,290,0.74,7.621621621621622,0.4623190712225506,0.0002133824487320571,6,346,0.42116666666666674
30,300,0.74,8.067567567567568,0.5039388766062298,-0.010644944252210683,8,356,0.4031666666666668
31,310,0.84,19.261904761904763,0.4976160369485613,-0.008799999999999999,11,464,0.4241349206349207
32,320,0.84,9.357142857142858,0.4612687433980846,-0.010210143313284327,13,448,0.4294166666666668
33,330,0.84,10.333333333333334,0.4877557918032784,-0.009212500000000007,12,460,0.42241666666666666
34,340,0.84,9.535714285714286,0.4937352418022994,-0.01267747172047721,11,472,0.41241666666666665
35,350,0.84,11.166666666666666,0.537967599044344,-0.018441995714723002,10,472,0.4112896825396825
36,360,0.84,9.535714285714286,0.5258984152265862,-0.01652672972685725,11,474,0.4087896825396825
37,370,0.84,8.916666666666666,0.5240741141688242,-0.01667286640450631,12,462,0.41101190476190474
38,380,0.84,7.690476190476191,0.51218596555128,-0.016420448506748824,12,448,0.41734523809523816
39,390,0.84,5.761904761904762,0.5148454664190621,-0.01592609851703624,8,444,0.41734523809523816
40,400,0.84,4.940476190476191,0.490651814085489,-0.00798972117202269,9,448,0.4196071428571429
41,410,0.76,5.144736842105263,0.5373804846026785,-0.014162925330812851,5,376,0.39299999999999996
42,420,0.76,4.5131578947368425,0.5323056725541309,-0.01491477272727274,6,382,0.3838333333333334
43,430,0.76,4.0394736842105265,0.4771980350428627,-0.013632263022486577,6,380,0.3846666666666667
44,440,0.72,3.8194444444444446,0.45321770686536766,-0.003229786616344889,6,360,0.37266666666666665
45,450,0.76,3.8947368421052633,0.46766774446208087,-0.0034242891462583774,8,392,0.38300000000000006
46,460,0.76,3.5789473684210527,0.45547191236769796,-0.0036652780003204643,8,400,0.375
