sat1Name,LLO-9
sat1Smaj,3416.853
sat1Ecc,0.36312355446825323
sat1Inc,89.59128811770698
sat1RAAN,237.49574318149118
sat1ArgPer,292.3727617292108
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,934.9718462369018,-1158.9863770124837,-1586.8354847835901,-457.2002633628845,-690.8308336334228,-2012.2597520217896
10.0,939.0590235692441,-1171.4805617325217,-1575.2307407311569,-465.857418094635,-704.5067972259521,-2005.541692779541
20.0,943.1008614352666,-1183.9192294129964,-1563.5510536594204,-474.4924093551636,-718.1492434539795,-1998.7282185440063
30.0,947.0971740073808,-1196.3017902385386,-1551.79698502467,-483.10482807922364,-731.7575259246826,-1991.8196608657836
40.0,951.0477800027547,-1208.6276601009567,-1539.9691035493513,-491.6942675437927,-745.3310017700195,-1984.8163606643677
50.0,954.9525027419115,-1220.8962607061464,-1528.067985119072,-500.26032342910764,-758.8690317840576,-1977.7186681747437
60.0,958.8111701999477,-1233.107019699396,-1516.094212645101,-508.8025939025879,-772.3709805755615,-1970.5269428634645
70.0,962.6236149804455,-1245.2593707539334,-1504.0483759616093,-517.3206797103882,-785.8362166290283,-1963.2415533447265
80.0,966.389674385485,-1257.3527536953227,-1491.9310716969371,-525.8141842384339,-799.2641124725342,-1955.8628773117066
90.0,970.1091904662165,-1269.3866146252778,-1479.7429031217491,-534.2827136077881,-812.6540448303223,-1948.391301437378
100.0,973.7820099730603,-1281.360405983398,-1467.4844800584715,-542.7258767395019,-826.0053946533203,-1940.8272212905883
110.0,977.4079844600217,-1293.273586687663,-1455.1564187065803,-551.1432854309082,-839.3175473327636,-1933.1710412368775
120.0,980.9869702767331,-1305.125622224042,-1442.75934154132,-559.53455443573,-852.5898927764893,-1925.4231743621826
130.0,984.5188285657207,-1316.9159847312453,-1430.2938771785548,-567.8993015365601,-865.8218255004883,-1917.584042366028
140.0,988.0034253217727,-1328.6441531155492,-1417.7606602035678,-576.2371476135254,-879.0127447967529,-1909.6540754470825
150.0,991.4406314211379,-1340.3096131435104,-1405.160331065433,-584.5477167129517,-892.1620548400879,-1901.6337122344971
160.0,994.8303225513708,-1351.9118574875017,-1392.4935359157816,-592.8306361198426,-905.269164718628,-1893.5233996276856
170.0,998.1723793311976,-1363.4503858771832,-1379.7609264835285,-601.0855364303588,-918.333488647461,-1885.3235927505493
180.0,1001.4666872583341,-1374.9247051427026,-1366.9631599080562,-609.312051612854,-931.3544460144043,-1877.0347547912597
190.0,1004.7131367492383,-1386.3343293072637,-1354.1008986137545,-617.5098190727234,-944.3314615020752,-1868.657356918335
200.0,1007.9116231317614,-1397.6787796613721,-1341.1748101538751,-625.6784797172546,-957.2639651794434,-1860.1918781509398
210.0,1011.0620466659107,-1408.957584853975,-1328.1855670497332,-633.817678024292,-970.1513926239014,-1851.6388052368163
220.0,1014.164312523849,-1420.1702809289022,-1315.133846673571,-641.9270620880127,-982.993184967041,-1842.998632545471
230.0,1017.2183308513872,-1431.3164114476072,-1302.020331050227,-650.006283695221,-995.7887890777588,-1834.271861930847
240.0,1020.2240166885614,-1442.395527509408,-1288.8457067702363,-658.0549983749389,-1008.537657546997,-1825.4590026321412
250.0,1023.1812900345253,-1453.407187831569,-1275.6106647695985,-666.0728654518127,-1021.2392488555909,-1816.560571105957
260.0,1026.090075831055,-1464.3509588238367,-1262.315900207809,-674.0595481033325,-1033.8930274505615,-1807.5770909271241
270.0,1028.9503039455374,-1475.2264146306459,-1248.9621123164716,-682.0147134170533,-1046.4984638061524,-1798.5090926513672
280.0,1031.7619091640433,-1486.0331371800075,-1235.550004249374,-689.9380324363708,-1059.055034500122,-1789.3571136856078
290.0,1034.524831210263,-1496.7707162585743,-1222.0802829008512,-697.8291802139282,-1071.5622223358155,-1780.1216981430055
300.0,1037.2390147160584,-1507.4387495498297,-1208.5536587744666,-705.687835861206,-1084.0195163879393,-1770.8033967208862
310.0,1039.9044092207428,-1518.036842661305,-1194.970845812263,-713.5136825790405,-1096.4264120788573,-1761.4027665481567
320.0,1042.5209691457933,-1528.5646091989909,-1181.3325612442727,-721.3064077301026,-1108.7824112548828,-1751.920371055603
330.0,1045.0886537967067,-1539.0216707815198,-1167.6395254449794,-729.0657028579712,-1121.0870222473145,-1742.3567798461913
340.0,1047.6074273608604,-1549.4076570989437,-1153.8924617293703,-736.7912637367249,-1133.3397599792481,-1732.7125685195922
350.0,1050.077258853121,-1559.7222059273686,-1140.092096260387,-744.4827904129029,-1145.5401459655761,-1722.988318572998
360.0,1052.498122114645,-1569.9649631659165,-1126.239157851038,-752.1399872436524,-1157.6877084045411,-1713.184617225647
370.0,1054.8699958225045,-1580.135582875763,-1112.334377794879,-759.7625629272461,-1169.781982269287,-1703.3020572738646
380.0,1057.1928634197013,-1590.2337272795087,-1098.378489765337,-767.3502305374145,-1181.8225092926025,-1693.3412369766236
390.0,1059.4667131348015,-1600.2590668098512,-1084.3722295992136,-774.9027075576782,-1193.8088380889892,-1683.3027598724366
400.0,1061.6915379343905,-1610.2112801220085,-1070.3163351701194,-782.4197159233094,-1205.7405241699219,-1673.1872346496582
410.0,1063.8673354942846,-1620.0900540835503,-1056.2115462427746,-789.9009820251465,-1217.6171299743653,-1662.995275001526
420.0,1065.9941081897757,-1629.8950838278747,-1042.0586042818593,-797.3462367630004,-1229.4382249603273,-1652.7274994583129
430.0,1068.0718630527908,-1639.6260727310705,-1027.858252331976,-804.7552155532837,-1241.2033856048583,-1642.3845312576293
440.0,1070.1006117794777,-1649.282732454176,-1013.6112348480481,-812.1276583633423,-1252.9121954956054,-1631.966998199463
450.0,1072.080370614938,-1658.8647828909593,-999.3182975560876,-819.4633097267151,-1264.5642452697755,-1621.4755324707032
460.0,1074.0111604116917,-1668.371952219411,-984.9801872806414,-826.7619187583923,-1276.1591327514648,-1610.910770515442
470.0,1075.8930065507045,-1677.8039768894641,-970.5976518017337,-834.0232391929626,-1287.6964629364013,-1600.2733528747558
480.0,1077.725938914047,-1687.1606016047067,-956.1714397022773,-841.2470293807984,-1299.175848022461,-1589.5639240341186
490.0,1079.5099918578426,-1696.4415793353865,-941.7023002501102,-848.4330523147584,-1310.5969074401855,-1578.78313230896
500.0,1081.2452041384863,-1705.6466712735669,-927.1909831862918,-855.5810756378174,-1321.9592678527831,-1567.9316296157838
510.0,1082.9316189469594,-1714.7756468717917,-912.6382386463395,-862.6908716583252,-1333.2625632324218,-1557.0100714187622
520.0,1084.569283782404,-1723.8282837645804,-898.0448169648981,-869.7622173500062,-1344.5064347991943,-1546.019116493225
530.0,1086.1582504783696,-1732.8043678190743,-883.4114685555816,-876.7948943824769,-1355.690531112671,-1534.9594268341064
540.0,1087.6985751278362,-1741.703693057757,-868.7389437736954,-883.7886891021728,-1366.8145080261231,-1523.8316674880982
550.0,1089.1903180592856,-1750.5260616751868,-854.0279927373526,-890.7433925552368,-1377.8780287475586,-1512.6365063858032
560.0,1090.6335437716339,-1759.2712839794056,-839.2793652322671,-897.6588004798889,-1388.8807637939453,-1501.3746142196655
570.0,1092.0283209030224,-1767.939178385009,-824.493810565978,-904.5347133140564,-1399.8223910217284,-1490.0466642990111
