sat1Name,LLO-26
sat1Smaj,3416.853
sat1Ecc,0.3776681284090724
sat1Inc,90.62035376116629
sat1RAAN,238.32899944415544
sat1ArgPer,293.40366006662873
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,963.4840104312937,-1137.6094408426616,-1516.308197124126,-425.48099953842166,-729.9354549102783,-1951.3603915252686
10.0,967.5974666204801,-1150.0914320123163,-1504.2536836215718,-434.12303450775147,-743.7969463348388,-1944.2318785629272
20.0,971.6609229016134,-1162.5149985018684,-1492.1224682894922,-442.74293366622925,-757.6205117492676,-1937.004229751587
30.0,975.6741794983551,-1174.8795093100491,-1479.9151762634115,-451.34025944519044,-771.4054496459961,-1929.6778221588136
40.0,979.6370421670389,-1187.1843400353491,-1467.6324408286782,-459.914576839447,-785.1510629119873,-1922.2530435409546
50.0,983.5493221702138,-1199.4288729466907,-1455.2749032557947,-468.46545348358154,-798.8566589050293,-1914.7302921981811
60.0,987.4108363436984,-1211.6124971632207,-1442.8432126446683,-476.99245977401733,-812.5215496520996,-1907.109976890564
70.0,991.2214071928357,-1223.7346087863991,-1430.338025770059,-485.4951689338684,-826.1450520477295,-1899.3925167541504
80.0,994.9808628051582,-1235.7946109987788,-1417.760006954555,-493.9731571350098,-839.7264878845215,-1891.578341178894
90.0,998.6890370251185,-1247.791914227863,-1405.1098278650181,-502.42600356292724,-853.2651841430664,-1883.6678897094725
100.0,1002.3457693609831,-1259.7259362347852,-1392.3881674057202,-510.85329052734374,-866.7604730072021,-1875.6616119384767
110.0,1005.9509050752803,-1271.5961022545805,-1379.5957115152669,-519.2546035461426,-880.2116920776367,-1867.559967376709
120.0,1009.504295221751,-1283.4018451038698,-1366.733153021052,-527.6295314178467,-893.6181845092774,-1859.363425354004
130.0,1013.0057966368862,-1295.1426053062253,-1353.8011914634678,-535.9776663322449,-906.9792991333007,-1851.072464881897
140.0,1016.4552719486004,-1306.81783117607,-1340.8005329409223,-544.2986039390564,-920.2943905639648,-1842.6875745315551
150.0,1019.8525896402582,-1318.4269789445948,-1327.731889918474,-552.5919434280396,-933.5628193817139,-1834.2092523040772
160.0,1023.1976240525753,-1329.9695128773624,-1314.595981066469,-560.8572876243592,-946.783952255249,-1825.6380055084228
170.0,1026.4902553493614,-1341.4449053290432,-1301.3935310947206,-569.0942430610656,-959.9571620025635,-1816.9743506088257
180.0,1029.7303695912237,-1352.8526368734586,-1288.1252705555687,-577.30242004776,-973.0818277893067,-1808.2188130950929
190.0,1032.917858758674,-1364.1921964162184,-1274.7919356697298,-585.481432762146,-986.1573352661133,-1799.3719273529052
200.0,1036.0526206412749,-1375.4630812044236,-1261.3942681544634,-593.6308993148804,-999.1830765533447,-1790.4342364730835
210.0,1039.1345589889763,-1386.664797007882,-1247.9330150467472,-601.7504418258667,-1012.1584505157471,-1781.406292175293
220.0,1042.1635834367012,-1397.7968581460902,-1234.4089284998113,-609.8396864929199,-1025.0828627929689,-1772.2886546020509
230.0,1045.1396094950612,-1408.8587875588316,-1220.822765612817,-617.8982636604309,-1037.9557258911134,-1763.081892173767
240.0,1048.0625585833468,-1419.8501169122173,-1207.175288244392,-625.9258078842163,-1050.7764593353272,-1753.786581451416
250.0,1050.9323580120981,-1430.7703866555987,-1193.4672628338722,-633.9219580078125,-1063.5444897460939,-1744.4033069763184
260.0,1053.7489409652585,-1441.6191460759408,-1179.6994602103719,-641.8863572044372,-1076.259250930786,-1734.932661102295
270.0,1056.5122465146044,-1452.3959533894126,-1165.8726553694435,-649.8186530609131,-1088.9201840209962,-1725.375243812561
280.0,1059.2222195853763,-1463.100375765229,-1151.9876273548655,-657.7184976158142,-1101.5267375030517,-1715.7316626052857
290.0,1061.8788109551642,-1473.731989404552,-1138.0451590003547,-665.5855474281311,-1114.0783673553467,-1706.0025322723388
