sat1Name,LLO-14
sat1Smaj,3416.853
sat1Ecc,0.35898836036789267
sat1Inc,90.20196321571615
sat1RAAN,237.88060184153923
sat1ArgPer,292.3665124640604
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,964.606176806858,-1153.8559498968532,-1592.2668657314107,-437.08741777038574,-709.6821378479004,-2025.45507321167
10.0,968.706974276896,-1166.2758995538536,-1580.7118913862948,-445.6727093849182,-723.3136613311767,-2018.7708990631104
20.0,972.761911809983,-1178.6416473401653,-1569.0831592439843,-454.2372055091858,-736.9114343261718,-2011.9925272293092
30.0,976.7708065683565,-1190.9526180001656,-1557.3812174200357,-462.78050812149047,-750.4748249969482,-2005.1202810821533
40.0,980.7334801253298,-1203.208241645476,-1545.6066210332265,-471.30222132873536,-764.003204864502,-1998.1544930038451
50.0,984.6497586507446,-1215.4079539572713,-1533.7599320452948,-479.8019514427185,-777.4959491119384,-1991.0955043411254
60.0,988.5194728425413,-1227.551196247875,-1521.841719195559,-488.27930707168576,-790.9524365844727,-1983.9436653366088
70.0,992.3424580091323,-1239.637415588597,-1509.852557852101,-496.73389918899534,-804.3720499725342,-1976.6993350448608
80.0,996.1185540431461,-1251.6660648755492,-1497.7930299295685,-505.16534119415286,-817.7541758575439,-1969.362881263733
90.0,999.8476055462561,-1263.636602993987,-1485.663723702509,-513.573249004364,-831.0982049560547,-1961.9346804351806
100.0,1003.5294617464941,-1275.548494869759,-1473.4652337532514,-521.9572411270142,-844.4035321044922,-1954.4151175842285
110.0,1007.1639765721102,-1287.401211572948,-1461.1981608079172,-530.3169387207031,-857.6695564270019,-1946.8045862121583
120.0,1010.7510087055117,-1299.1942304360894,-1448.8631115991604,-538.6519656677247,-870.8956814880371,-1939.1034882125855
130.0,1014.2904215303149,-1310.9270351137861,-1436.4606987952798,-546.9619486503601,-884.0813153076172,-1931.3122338027954
140.0,1017.7820832100599,-1322.5991157088904,-1423.9915408032848,-555.2465172195434,-897.2258705596923,-1923.431241394043
150.0,1021.2258667066533,-1334.2099688447393,-1411.4562616552203,-563.5053038520813,-910.3287646636962,-1915.4609375076293
160.0,1024.6216497233695,-1345.7590977338057,-1398.8554909031036,-571.7379440345765,-923.3894198150634,-1907.4017566757202
170.0,1027.9693148004114,-1357.2460122817083,-1386.1898634635368,-579.9440763092041,-936.4072631683349,-1899.2541413497925
180.0,1031.2687493168744,-1368.6702291779368,-1373.4600194626425,-588.1233423461914,-949.3817269439697,-1891.0185417785644
190.0,1034.5198454418269,-1380.0312719384299,-1360.6666041441877,-596.2753870124817,-962.3122484436035,-1882.695415916443
200.0,1037.722500202926,-1391.3286710126129,-1347.8102676717267,-604.3998584251403,-975.1982702331543,-1874.285229286194
210.0,1040.8766154694324,-1402.5619638348023,-1334.8916650395174,-612.4964080047607,-988.0392401885987,-1865.788454902649
220.0,1043.982097962729,-1413.7306949230629,-1321.9114558972922,-620.5646905593873,-1000.834611618042,-1857.205573135376
230.0,1047.0388592617057,-1424.8344159060896,-1308.8703044348417,-628.6043643074036,-1013.5838433227539,-1848.5370716094972
240.0,1050.0468157892738,-1435.8726856183591,-1295.7688792056317,-636.6150909576417,-1026.2863997039794,-1839.78344506073
250.0,1053.0058888433464,-1446.8450701614418,-1282.6078530132177,-644.5965357627869,-1038.9417508544923,-1830.9451952514648
260.0,1055.9160045637725,-1457.751142940407,-1269.3879027462197,-652.5483675537109,-1051.549372619629,-1822.0228308181763
270.0,1058.7770939553445,-1468.590484749147,-1256.109709244415,-660.4702588119507,-1064.1087467041016,-1813.0168671722413
280.0,1061.589092853704,-1479.3626837931158,-1242.773957139457,-668.3618857078552,-1076.6193607177734,-1803.9278263473511
290.0,1064.3519419442564,-1490.0673357654014,-1229.3813347143118,-676.2229281539917,-1089.0807082824706,-1794.7562368927001
300.0,1067.06558675849,-1500.704043891471,-1215.9325337534146,-684.0530698471069,-1101.4922891082763,-1785.5026337432862
310.0,1069.72997763225,-1511.2724189586531,-1202.4282494100437,-691.8519983215332,-1113.853609024048,-1776.16755809021
320.0,1072.345069736046,-1521.772079370532,-1188.869180025241,-699.6194049758911,-1126.1641800994873,-1766.7515572357179
330.0,1074.910823033824,-1532.2026511933807,-1175.2560270160168,-707.3549851417541,-1138.4235206756591,-1757.2551844863892
340.0,1077.4272022609089,-1542.5637681670473,-1161.5894946894996,-715.0584381027222,-1150.6311554260253,-1747.6789989776612
350.0,1079.894176958709,-1552.8550717743897,-1147.8702901237632,-722.729467136383,-1162.7866154632568,-1738.0235655899048
360.0,1082.3117213691874,-1563.076211232282,-1134.0991230161624,-730.3677795677185,-1174.8894383087159,-1728.2894547729493
370.0,1084.6798145384246,-1573.2268435620097,-1120.2767055075929,-737.9730867767335,-1186.9391680755616,-1718.4772424316407
380.0,1086.9984401848847,-1583.3066335858553,-1106.4037520704194,-745.5451042633057,-1198.935355407715,-1708.5875097808837
390.0,1089.267586712281,-1593.3152539498597,-1092.4809793251734,-753.0835516624451,-1210.8775575714112,-1698.6208431854247
400.0,1091.4872472298575,-1603.2523851560477,-1078.5091059193182,-760.5881527671814,-1222.765338531494,-1688.577834060669
410.0,1093.6574194685934,-1613.1177155763717,-1064.4888523780457,-768.0586355819702,-1234.598268951416,-1678.4590787124635
420.0,1095.7781058028684,-1622.9109414723296,-1050.420940935237,-775.4947323303222,-1246.37592628479,-1668.2651781921386
430.0,1097.8493131723167,-1632.63176698531,-1036.3060953974514,-782.8961794929504,-1258.0978947601318,-1657.996738143921
440.0,1099.8710531094823,-1642.2799041742114,-1022.1450410099001,-790.2627178268433,-1269.7637654724122,-1647.6543686981202
450.0,1101.8433416530927,-1651.8550729764156,-1007.9385043127106,-797.594092376709,-1281.373136352539,-1637.2386843032837
460.0,1103.7661993980553,-1661.357001294094,-993.6872129547849,-804.8900525245666,-1292.9256123199464,-1626.7503035888672
470.0,1105.6396513492236,-1670.785424887464,-979.3918956123425,-812.1503519821167,-1304.4208051452638,-1616.1898492202758
480.0,1107.4637269874183,-1680.1400874633914,-965.0532818042507,-819.374748828888,-1315.8583336181641,-1605.5579477691651
490.0,1109.2384602077407,-1689.4207406255332,-950.6721017428731,-826.5630055046081,-1327.2378235321046,-1594.8552295455934
500.0,1110.963889237434,-1698.6271438720512,-936.2490862389712,-833.7148888549805,-1338.5589076538085,-1584.0823284835815
510.0,1112.6400566625653,-1707.759064590759,-921.784966511992,-840.8301701164246,-1349.8212258148194,-1573.2398819732666
520.0,1114.2670093742893,-1716.816278064301,-907.2804740907043,-847.9086249465943,-1361.024424911499,-1562.3285307540893
