sat1Name,LLO-39
sat1Smaj,3416.853
sat1Ecc,0.362876621538831
sat1Inc,90.76019656660345
sat1RAAN,237.289604096847
sat1ArgPer,292.92004852118134
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,973.108008849127,-1156.9447227502283,-1566.4230507472923,-435.7652099151611,-727.7319692230225,-2004.9080590133667
10.0,976.949592694392,-1169.4366997503387,-1554.738076109232,-444.55098587036133,-741.2430759429932,-1998.0381152572631
20.0,980.7440885445106,-1181.8733084770156,-1542.979219375738,-453.3156366043091,-754.7189585113525,-1991.0732239685058
30.0,984.491322677998,-1194.2539597919329,-1531.147045029399,-462.05874728393553,-768.1589793395996,-1984.0137234725953
40.0,988.1911260974272,-1206.5780702477614,-1519.2421246879385,-470.77990531158446,-781.5625045471191,-1976.8599613952638
50.0,991.8433345237881,-1218.8450621648537,-1507.265037030139,-479.4787003936768,-794.9289040222168,-1969.6122946090697
60.0,995.4477885123284,-1231.0543637916485,-1495.216367636391,-488.1547246208191,-808.257551651001,-1962.2710891571046
70.0,999.0043333923517,-1243.2054093679324,-1483.0967089034664,-496.807572555542,-821.5478253326417,-1954.8367201690673
80.0,1002.5128193866332,-1255.2976392926118,-1470.9066598723546,-505.4368413047791,-834.7991072235108,-1947.3095717773438
90.0,1005.9731015339114,-1267.3305001647982,-1458.646826147537,-514.0421306114197,-848.0107837219239,-1939.6900370254516
100.0,1009.3850397880315,-1279.3034449325028,-1446.3178197437528,-522.6230429153443,-861.1822456817627,-1931.9785177917481
110.0,1012.7484990351362,-1291.2159330017128,-1433.9202589316853,-531.1791834487915,-874.3128885345459,-1924.1754246749879
120.0,1016.063349078502,-1303.0674302952536,-1421.4547681628978,-539.7101602935791,-887.4021123352051,-1916.2811769332886
130.0,1019.3294646663551,-1314.8574093733127,-1408.9219778828906,-548.2155844688416,-900.4493219146729,-1908.2962023468017
140.0,1022.5467255367275,-1326.58534954024,-1396.3225243997401,-556.6950699996949,-913.4539270172119,-1900.220937133789
150.0,1025.7150164274367,-1338.2507369248474,-1383.657049763135,-565.1482339859009,-926.4153423919678,-1892.0558258590697
160.0,1028.8342270238957,-1349.8530645514647,-1370.9262016323405,-573.574696685791,-939.3329878387451,-1883.8013213119507
170.0,1031.904252074783,-1361.3918324641706,-1358.1306330679408,-581.9740815696716,-952.2062884368896,-1875.457884376526
180.0,1034.9249913315653,-1372.8665477859827,-1345.2710024879314,-590.3460153961182,-965.0346745452881,-1867.025983985901
190.0,1037.8963495547605,-1384.2767247880367,-1332.3479734435318,-598.6901282768249,-977.8175819244385,-1858.5060969314575
200.0,1040.81823655745,-1395.6218850008665,-1319.3622144948752,-607.0060537452698,-990.5544518737793,-1849.89870778656
210.0,1043.690567193951,-1406.9015572770352,-1306.314399067815,-615.293428817749,-1003.2447313079834,-1841.204308784485
220.0,1046.5132613630933,-1418.115277859206,-1293.2052053049188,-623.5518940544129,-1015.8878728485107,-1832.42339969635
230.0,1049.286243971806,-1429.262590425426,-1280.035315926862,-631.7810936203003,-1028.4833348693849,-1823.556487701416
240.0,1052.0094450070203,-1440.3430462236965,-1266.805418042533,-639.9806753540039,-1041.0305816955567,-1814.6040872650146
250.0,1054.6827994840928,-1451.3562040727275,-1253.5162030282063,-648.1502908134461,-1053.5290836029053,-1805.56672000885
260.0,1057.306247423163,-1462.3016304318153,-1240.1683663844224,-656.2895953330993,-1065.9783168945312,-1796.4449145889282
270.0,1059.879733893539,-1473.1788994933515,-1226.7626075353514,-664.3982480926513,-1078.3777640533447,-1787.2392065429688
280.0,1062.4032090007001,-1483.9875932156588,-1213.2996297260015,-672.4759121513366,-1090.7269137878418,-1777.9501381988525
290.0,1064.8766278146268,-1494.7273013505026,-1199.780139833016,-680.5222545089722,-1103.0252610626221,-1768.5782584838867
300.0,1067.2999504249235,-1505.3976215386235,-1186.2048482406808,-688.5369461593627,-1115.2723072357178,-1759.1241228485108
310.0,1069.6731419124426,-1515.9981593325883,-1172.5744686475452,-696.5196621322632,-1127.4675601196288,-1749.5882930831908
320.0,1071.9961723096362,-1526.5285282355273,-1158.8897179209976,-704.4700815429687,-1139.6105340270997,-1739.9713371810913
330.0,1074.2690166303767,-1536.9883497511953,-1145.1513159770273,-712.387887626648,-1151.7007498626708,-1730.273829246521
340.0,1076.491654765558,-1547.3772533927527,-1131.3599855815016,-720.2727677993774,-1163.7377351226808,-1720.496349281311
350.0,1078.664071579583,-1557.694876780846,-1117.5164521950194,-728.1244136924744,-1175.721024078369,-1710.6394830932618
360.0,1080.7862568003698,-1567.9408656104038,-1103.621443861485,-735.9425211868286,-1187.6501577148438,-1700.703822151184
370.0,1082.8582050366929,-1578.1148736976452,-1089.6756909845626,-743.7267904472351,-1199.5246838531493,-1690.689963394165
380.0,1084.8799157153155,-1588.2165630112756,-1075.6799262418565,-751.4769259796143,-1211.3441571502685,-1680.5985091400146
390.0,1086.851393119154,-1598.2456036969377,-1061.6348843761098,-759.1926366348266,-1223.1081392211913,-1670.43006690979
400.0,1088.7726463128242,-1608.2016740950662,-1047.5413020599494,-766.8736356697083,-1234.816198638916,-1660.1852492828368
410.0,1090.643689117836,-1618.0844607511024,-1033.3999177440505,-774.5196407661438,-1246.4679109802246,-1649.864673751831
420.0,1092.4645400679797,-1627.8936584080566,-1019.2114715169469,-782.1303740501404,-1258.0628588409425,-1639.4689625778199
430.0,1094.2352224450833,-1637.6289700752475,-1004.9767049036345,-789.7055621376038,-1269.6006319732667,-1628.998742630005
440.0,1095.9557641710858,-1647.2901069735467,-990.6963607745389,-797.2449361457825,-1281.0808272094725,-1618.4546452560426
450.0,1097.6261978026778,-1656.8767885680697,-976.3711831407428,-804.7482317237854,-1292.503048553467,-1607.837306098938
460.0,1099.2465605042473,-1666.3887425812043,-962.0019170360118,-812.2151890792846,-1303.8669072113037,-1597.147364982605
470.0,1100.8168939950642,-1675.82570496497,-947.5893083684834,-819.6455529899597,-1315.1720215911864,-1586.3854657516479
480.0,1102.3372445067068,-1685.1874198907497,-933.1341037466013,-827.0390728149414,-1326.4180173339844,-1575.5522560958862
490.0,1103.8076627936935,-1694.4736398030163,-918.6370503305127,-834.3955025367737,-1337.6045274047851,-1564.6483874282837
500.0,1105.2282040098182,-1703.6841253283003,-904.0988957389707,-841.7146007537842,-1348.731191986084,-1553.6745147399902
510.0,1106.5989277459398,-1712.8186453214623,-889.5203878272666,-848.9961307029724,-1359.7976586151124,-1542.6312964172364
520.0,1107.9198979193109,-1721.8769768177938,-874.9022746031693,-856.2398602752686,-1370.803582107544,-1531.5193941192626
530.0,1109.1911827984945,-1730.8589050363169,-860.2453040441032,-863.4455620079041,-1381.7486246490478,-1520.339472618103
540.0,1110.4128549080456,-1739.7642233625477,-845.5502239938486,-870.6130131263733,-1392.6324557495118,-1509.0921996688842
550.0,1111.5849909912242,-1748.5927332847887,-830.8177819741823,-877.7419955062866,-1403.4547522583007,-1497.7782458114625
560.0,1112.7076719727154,-1757.3442444250036,-816.0487251003794,-884.8322957267761,-1414.2151983795166,-1486.3982842864991
570.0,1113.7809829228831,-1766.0185744740984,-801.2437998928561,-891.8837050323486,-1424.9134856872558,-1474.952990837097
580.0,1114.8050129850062,-1774.6155491770887,-786.4037521895244,-898.8960193595886,-1435.5493130950929,-1463.4430436019898
590.0,1115.7798553220746,-1783.1350022884014,-771.5293269766395,-905.8690393333435,-1446.1223868560792,-1451.869122932434
600.0,1116.705607105625,-1791.5767755540128,-756.6212682645028,-912.8025702590942,-1456.6324205932617,-1440.2319112701416
610.0,1117.5823694419746,-1799.9407186676283,-741.6803189651179,-919.6964221229554,-1467.0791352691651,-1428.5320930023192
620.0,1118.4102472707916,-1808.2266892100156,-726.7072207673002,-926.5504095954896,-1477.4622591247557,-1416.7703543014527
630.0,1119.1893494298288,-1816.434552658507,-711.7027139976399,-933.3643520126343,-1487.7815277862549,-1404.9473830184936
640.0,1119.9197884809453,-1824.5641822826422,-696.667537496567,-940.1380733757019,-1498.0366841278076,-1393.0638684921264
650.0,1120.601680730128,-1832.6154591459947,-681.6024285035764,-946.87140234375,-1508.2274783325195,-1381.120501449585
660.0,1121.2351461399123,-1840.5882720321456,-666.50812253971,-953.5641722221375,-1518.3536678314208,-1369.117973854065
670.0,1121.820308290732,-1848.4825174027858,-651.3853532738209,-960.2162209510803,-1528.4150173034668,-1357.0569787597656
680.0,1122.357294338361,-1856.2980993706387,-636.2348524170362,-966.8273910942078,-1538.4112986755372,-1344.9382101974488
690.0,1122.8462349163538,-1864.0349295867823,-621.0573495959685,-973.3975298156738,-1548.3422910308839,-1332.7623629989623
700.0,1123.2872641009305,-1871.6929272472978,-605.8535722762944,-979.9264888839722,-1558.2077806243897,-1320.5301327209472
710.0,1123.6805193903838,-1879.2720190025611,-590.6242455803082,-986.4141246299744,-1568.0075608825684,-1308.242215446472
720.0,1124.0261415776736,-1886.772138905606,-575.3700922640922,-992.8602979507447,-1577.741432296753,-1295.8993077163695
730.0,1124.3242747469724,-1894.1932283608344,-560.0918325513156,-999.2648742828369,-1587.4092024536133,-1283.5021063613892
740.0,1124.5750662145965,-1901.5352360498034,-544.7901840385065,-1005.6277235717773,-1597.01068598938,-1271.051308380127
750.0,1124.77866643641,-1908.7981178827833,-529.4658616196741,-1011.9487202682495,-1606.5457045288085,-1258.5476108322143
760.0,1124.9352289728497,-1915.981836913421,-514.1195773646959,-1018.2277432937622,-1616.014086654663,-1245.9917106933594
