sat1Name,LLO-1
sat1Smaj,3416.853
sat1Ecc,0.3583886377246802
sat1Inc,89.71366135116362
sat1RAAN,237.07093199758685
sat1ArgPer,293.76788081701983
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,952.2560436543248,-1206.2761969749001,-1563.4094463693789,-488.72143885803223,-736.1639777679443,-2006.3292068099975
10.0,956.0200824132899,-1218.5335995536363,-1551.587751598299,-497.3516315612793,-749.5544031982422,-1999.2580207061767
20.0,959.7389869003102,-1230.7345032846783,-1539.693860804173,-505.95868240356447,-762.9099517211914,-1992.0938087387085
30.0,963.4125904636522,-1242.878342363094,-1527.7283327930948,-514.5421926651001,-776.2300045776367,-1984.8369112243652
40.0,967.0407308394572,-1254.964556598883,-1515.6917331588163,-523.1017659797668,-789.513946548462,-1977.4876773376466
50.0,970.6232501930248,-1266.9925915360388,-1503.5846341992665,-531.6370084152221,-802.7611660766602,-1970.046465072632
60.0,974.1599951822116,-1278.9618985583654,-1491.4076147795338,-540.1475285339355,-815.9710554199219,-1962.5136411590577
70.0,977.6508169249767,-1290.8719349828111,-1479.161260221896,-548.6329374923706,-829.14301071167,-1954.8895809707642
80.0,981.0955710611006,-1302.7221641701124,-1466.846162183064,-557.0928490943909,-842.2764321136475,-1947.1746684570312
90.0,984.494117808437,-1314.5120556298825,-1454.4629185297078,-565.5268798675537,-855.3707239532471,-1939.3692960662843
100.0,987.846321895801,-1326.2410850985782,-1442.0121332333126,-573.9346491508484,-868.4252947540283,-1931.4738646469116
110.0,991.1520526724181,-1337.9087346564247,-1429.4944162158658,-582.3157791481018,-881.4395574340821,-1923.4887833633422
120.0,994.4111840807262,-1349.514492804679,-1416.9103832332407,-590.6698950080871,-894.4129293670654,-1915.4144695968628
130.0,997.6235946788397,-1361.0578545530016,-1404.2606557556228,-598.9966248855591,-907.3448324890137,-1907.2513488616944
140.0,1000.7891676665843,-1372.5383215187742,-1391.5458608277843,-607.295600013733,-920.2346934204102,-1898.9998547058105
150.0,1003.9077909129035,-1383.9554020220255,-1378.7666309223027,-615.5664547767639,-933.0819435882569,-1890.660428604126
160.0,1006.979356926816,-1395.3086111354462,-1365.9236038293216,-623.8088267631531,-945.8860192718506,-1882.233519859314
170.0,1010.0037629029052,-1406.5974707890673,-1353.0174225180513,-632.0223568382263,-958.6463617401123,-1873.7195855102539
