sat1Name,LLO-6
sat1Smaj,3416.853
sat1Ecc,0.3629675388105971
sat1Inc,89.191700490346
sat1RAAN,236.74034957204793
sat1ArgPer,293.1084962473283
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,919.5849244979893,-1190.2257603683918,-1573.3770105367248,-492.1296315383911,-698.8511900634766,-2001.8003025283813
10.0,923.4310001982658,-1202.6709682792273,-1561.6428842007915,-500.8751011047363,-712.363455581665,-1994.8767400741576
20.0,927.2325148366679,-1215.0592044647103,-1549.8345158703037,-509.59675870895387,-725.8418548278809,-1987.8583397216796
30.0,930.9892941769273,-1227.389882106629,-1537.9524726523575,-518.2941916007995,-739.2857497253418,-1980.7454424819946
40.0,934.7011684203162,-1239.662420206431,-1525.9973288394378,-526.9669895248413,-752.6945057220458,-1973.538398651123
50.0,938.3679723135351,-1251.8762437361995,-1513.9696658040623,-535.6147447929383,-766.0674919891358,-1966.237567779541
60.0,941.9895451305654,-1264.0307837255061,-1501.8700718691357,-544.2370523719787,-779.4040814971924,-1958.8433185653687
70.0,945.5657307035736,-1276.1254773761887,-1489.6991421961861,-552.8335099678039,-792.7036511383056,-1951.3560287857056
80.0,949.0963774625826,-1288.1597681816527,-1477.4574786680237,-561.4037180976868,-805.9655818634034,-1943.7760852279664
90.0,952.5813384868368,-1300.1331060280015,-1465.1456897090914,-569.947280166626,-819.1892588348388,-1936.1038835601807
100.0,956.0204714706231,-1312.0449472841967,-1452.7643902240213,-578.4638025474549,-832.374071472168,-1928.3398282852172
110.0,959.4136388028767,-1323.894754944936,-1440.3142014143198,-586.9528946723938,-845.5194136505127,-1920.4843326263428
120.0,962.7607075500807,-1335.6819986649282,-1427.7957506684418,-595.4141690711975,-858.6246837463378,-1912.5378184280396
130.0,966.0615495003207,-1347.4061549128028,-1415.2096714109439,-603.8472414779663,-871.6892848052978,-1904.5007160644532
140.0,969.3160411615906,-1359.0667070403513,-1402.5566029874963,-612.2517308921814,-884.7126246185303,-1896.3734643478394
150.0,972.524063805655,-1370.663145382352,-1389.8371904783448,-620.6272596473693,-897.6941158752442,-1888.1565103912353
160.0,975.685503430123,-1382.194967310601,-1377.0520846148795,-628.9734534721374,-910.6331761932373,-1879.8503095321655
170.0,978.8002508468057,-1393.6616773866624,-1364.2019415904983,-637.2899415817261,-923.5292283325196,-1871.4553252182006
180.0,981.8682016129271,-1405.0627873734009,-1351.2874229398528,-645.5763567199707,-936.3817001953125,-1862.9720288772583
