,Timestamp,RFlow,RCost,Efficiency,Redundancy,Disparity,Criticity
0,0,1.0,436,0.6190476190476192,4.276190476190476,0.0,6
1,30,1.0,486,0.5438095238095241,7.371428571428571,0.0,8
2,60,1.0,494,0.5406349206349209,6.923809523809524,0.0,10
3,90,1.0,560,0.4923809523809526,16.295238095238094,0.0,13
4,120,1.0,594,0.4586621315192746,17.038095238095238,0.0,17
5,150,1.0,602,0.4677210884353744,11.81904761904762,0.0,14
6,180,1.0,670,0.43096371882086193,9.219047619047618,0.0,13
7,210,1.0,764,0.4009183673469388,19.066666666666666,0.0,20
8,240,1.0,748,0.41602418745275904,7.771428571428571,0.0,21
9,270,1.0,728,0.4330612244897961,10.095238095238095,0.0,17
10,300,1.0,720,0.4306802721088437,4.885714285714286,0.0,15
11,330,1.0,764,0.39518140589569184,4.685714285714286,0.0,20
12,360,1.0,724,0.437823129251701,5.533333333333333,0.0,17
13,390,1.0,716,0.44040816326530624,6.228571428571429,0.0,18
14,420,1.0,708,0.43405895691609997,8.761904761904763,0.0,19
15,450,1.0,620,0.4506349206349208,4.857142857142857,0.0,12
16,480,1.0,630,0.49888888888888916,4.942857142857143,0.0,13
17,510,1.0,606,0.5084126984126986,4.771428571428571,0.0,13
18,540,1.0,618,0.5015873015873018,3.619047619047619,0.0,12
19,570,1.0,604,0.518730158730159,4.333333333333333,0.0,13
20,600,0.9714285714285714,542,0.5371428571428574,4.098039215686274,0.0,12
21,630,0.9714285714285714,570,0.4895238095238098,2.6372549019607843,0.0,12
22,660,0.9714285714285714,578,0.4776190476190479,2.0980392156862746,0.0,10
23,690,0.9714285714285714,560,0.500634920634921,2.6470588235294117,0.0,10
24,720,0.9714285714285714,584,0.4930158730158732,2.107843137254902,0.0,9
25,750,0.9714285714285714,586,0.4898412698412701,2.049019607843137,0.0,11
26,780,0.9714285714285714,610,0.4653968253968257,1.892156862745098,0.0,9
27,810,0.9714285714285714,594,0.4925396825396828,3.0,0.0,13
28,840,1.0,648,0.5153968253968259,1.8761904761904762,0.0,13
29,870,1.0,694,0.47920634920634936,1.8666666666666667,0.0,16
30,900,1.0,680,0.48460317460317487,1.6,0.0,17
31,930,1.0,686,0.47158730158730194,1.9333333333333333,0.0,18
32,960,1.0,634,0.4898412698412703,2.6095238095238096,0.0,18
33,990,1.0,644,0.5076190476190481,2.1714285714285713,0.0,18
34,1020,0.9523809523809523,608,0.4879365079365082,2.79,0.0,17
35,1050,0.9523809523809523,586,0.5119047619047622,3.32,0.0,14
36,1080,0.9523809523809523,570,0.5042857142857146,3.8,0.0,15
37,1110,0.9523809523809523,588,0.49079365079365117,3.87,0.0,17
38,1140,0.9523809523809523,604,0.47428571428571453,4.36,0.0,18
39,1170,1.0,656,0.4843764172335604,4.171428571428572,0.0,18
40,1200,1.0,674,0.4705668934240367,3.961904761904762,0.0,17
41,1230,1.0,658,0.48675736961451294,4.390476190476191,0.0,17
42,1260,1.0,638,0.4976417233560095,5.466666666666667,0.0,14
43,1290,1.0,644,0.46366213151927466,4.161904761904762,0.0,13
44,1320,1.0,632,0.4746258503401364,5.247619047619048,0.0,16
45,1350,1.0,628,0.49285714285714327,6.095238095238095,0.0,16
46,1380,1.0,642,0.49888888888888916,6.238095238095238,0.0,18
47,1410,1.0,644,0.4700000000000002,13.17142857142857,0.0,19
48,1440,1.0,604,0.5039909297052158,21.447619047619046,0.0,18
49,1470,1.0,582,0.49287981859410473,8.971428571428572,0.0,13
50,1500,1.0,578,0.48859410430839045,15.085714285714285,0.0,14
51,1530,1.0,548,0.5158956916099778,16.085714285714285,0.0,10
52,1560,1.0,592,0.5008163265306126,7.8,0.0,14
53,1590,1.0,590,0.5069841269841273,9.885714285714286,0.0,13
54,1620,1.0,538,0.5250793650793654,7.0095238095238095,0.0,12
55,1650,1.0,516,0.5623809523809528,10.857142857142858,0.0,10
56,1680,1.0,498,0.5774603174603178,9.99047619047619,0.0,9
57,1710,1.0,468,0.6058730158730162,5.857142857142857,0.0,6
58,1740,1.0,406,0.630952380952381,4.228571428571429,0.0,5
59,1770,1.0,408,0.6285714285714289,4.866666666666666,0.0,3
