,Timestamp,RFlow,RCost,Efficiency,Redundancy,Disparity,Criticity
0,0,1.0,662,0.7128060263653481,5.338983050847458,0.0,4
1,30,1.0,764,0.6403013182674198,6.203389830508475,0.0,8
2,60,1.0,850,0.5723163841807909,8.282485875706215,0.0,9
3,90,1.0,908,0.5350282485875707,14.203389830508474,0.0,11
4,120,1.0,1008,0.48034705407586764,14.94915254237288,0.0,12
5,150,1.0,1050,0.45823244552058123,13.033898305084746,0.0,16
6,180,1.0,1134,0.4281611514662362,7.548022598870056,0.0,16
7,210,1.0,1306,0.38652587211909256,11.72316384180791,0.0,17
8,240,1.0,1326,0.38206663079544445,7.451977401129944,0.0,20
9,270,1.0,1260,0.4236010223298359,7.548022598870056,0.0,18
10,300,1.0,1250,0.41129270917406513,5.440677966101695,0.0,20
11,330,1.0,1370,0.37321540668998315,4.536723163841808,0.0,19
12,360,1.0,1346,0.42056093623890234,3.531073446327684,0.0,15
13,390,1.0,1276,0.45125100887812736,6.0508474576271185,0.0,15
14,420,1.0,1228,0.45367904223836397,10.062146892655367,0.0,21
15,450,1.0,1052,0.4800914716168952,4.994350282485875,0.0,13
16,480,1.0,1058,0.5252354048964218,7.1525423728813555,0.0,12
17,510,1.0,988,0.5470809792843688,4.68361581920904,0.0,12
18,540,1.0,1016,0.5323917137476458,4.192090395480226,0.0,13
19,570,1.0,994,0.526930320150659,4.1525423728813555,0.0,15
20,600,0.943502824858757,878,0.5354048964218455,4.017964071856287,0.0,13
21,630,0.943502824858757,880,0.5178907721280602,2.748502994011976,0.0,12
22,660,0.943502824858757,888,0.5120527306967984,1.874251497005988,0.0,13
23,690,0.943502824858757,866,0.5202448210922788,2.2275449101796405,0.0,12
24,720,0.943502824858757,908,0.5139359698681734,2.3293413173652695,0.0,10
25,750,0.943502824858757,890,0.5349340866290019,2.4850299401197606,0.0,9
26,780,0.943502824858757,892,0.5082862523540488,2.3832335329341316,0.0,10
27,810,0.943502824858757,884,0.5148775894538604,3.143712574850299,0.0,11
28,840,1.0,1010,0.5245762711864407,2.0282485875706215,0.0,15
29,870,1.0,1106,0.5178907721280602,1.9152542372881356,0.0,16
30,900,1.0,1088,0.516949152542373,1.734463276836158,0.0,19
31,930,1.0,1032,0.52015065913371,2.248587570621469,0.0,17
32,960,1.0,968,0.5515065913370998,2.519774011299435,0.0,17
33,990,1.0,948,0.5510357815442561,2.0112994350282487,0.0,14
34,1020,0.943502824858757,860,0.5605461393596988,2.161676646706587,0.0,13
35,1050,0.943502824858757,816,0.582391713747646,2.538922155688623,0.0,10
36,1080,0.943502824858757,772,0.5800376647834276,2.7964071856287425,0.0,8
37,1110,0.943502824858757,840,0.5425612052730697,2.718562874251497,0.0,10
38,1140,0.943502824858757,922,0.5050847457627119,2.81437125748503,0.0,17
39,1170,1.0,972,0.5281544256120525,2.3728813559322033,0.0,17
40,1200,1.0,1016,0.5170567662093084,2.248587570621469,0.0,17
41,1230,1.0,1002,0.5243475921442021,2.926553672316384,0.0,16
42,1260,1.0,996,0.5160613397901532,2.92090395480226,0.0,12
43,1290,1.0,1006,0.4744821092278719,4.401129943502825,0.0,11
44,1320,1.0,970,0.49274952919020715,4.892655367231638,0.0,13
45,1350,1.0,930,0.5098870056497176,6.1525423728813555,0.0,12
46,1380,1.0,970,0.5162900188323918,5.129943502824859,0.0,15
47,1410,1.0,948,0.5203389830508474,7.101694915254237,0.0,16
48,1440,1.0,892,0.5496233521657248,6.209039548022599,0.0,10
49,1470,1.0,856,0.5409604519774008,5.508474576271187,0.0,11
50,1500,1.0,848,0.5488700564971749,5.853107344632768,0.0,10
51,1530,1.0,798,0.571845574387947,5.288135593220339,0.0,8
52,1560,1.0,818,0.5723163841807907,5.028248587570621,0.0,9
53,1590,1.0,828,0.575047080979284,5.429378531073446,0.0,10
54,1620,1.0,814,0.5732176486413771,5.5141242937853105,0.0,8
55,1650,1.0,776,0.5983992467043309,5.192090395480226,0.0,7
56,1680,1.0,752,0.6217514124293781,5.31638418079096,0.0,8
57,1710,1.0,702,0.6640301318267418,5.288135593220339,0.0,7
58,1740,1.0,606,0.726930320150659,3.468926553672316,0.0,4
59,1770,1.0,648,0.7005649717514123,3.9661016949152543,0.0,4
