,Timestamp,RFlow,RCost,Efficiency,Redundancy,Disparity,Criticity
0,0,1.0,262,0.9631147540983607,1.180327868852459,0.0,0
1,30,1.0,284,0.9207650273224044,1.4098360655737705,0.0,0
2,60,1.0,316,0.8579234972677596,1.7622950819672132,0.0,0
3,90,1.0,348,0.8114754098360655,2.2459016393442623,0.0,0
4,120,1.0,388,0.7404371584699452,2.5081967213114753,0.0,0
5,150,1.0,438,0.6673497267759562,3.5,0.0,2
6,180,1.0,494,0.6180327868852461,2.7868852459016393,0.0,6
7,210,1.0,546,0.5804644808743171,2.418032786885246,0.0,6
8,240,1.0,554,0.5998633879781422,3.0491803278688523,0.0,6
9,270,1.0,474,0.6564207650273223,2.7459016393442623,0.0,4
10,300,1.0,506,0.6471311475409836,2.622950819672131,0.0,6
11,330,1.0,536,0.6187158469945355,2.360655737704918,0.0,7
12,360,1.0,522,0.64672131147541,2.4262295081967213,0.0,7
13,390,1.0,502,0.6584699453551913,2.057377049180328,0.0,7
14,420,1.0,460,0.6885245901639343,2.5163934426229506,0.0,4
15,450,1.0,482,0.6823770491803277,2.2704918032786887,0.0,9
16,480,1.0,454,0.7028688524590164,1.7377049180327868,0.0,6
17,510,1.0,410,0.7336065573770492,1.6229508196721312,0.0,1
18,540,1.0,392,0.7663934426229508,1.5655737704918034,0.0,3
19,570,1.0,400,0.7718579234972677,1.4426229508196722,0.0,4
20,600,0.9590163934426229,358,0.7718579234972677,1.5384615384615385,0.0,3
21,630,0.9590163934426229,374,0.7595628415300546,1.5213675213675213,0.0,5
22,660,0.9590163934426229,392,0.7254098360655733,1.5128205128205128,0.0,6
23,690,0.9590163934426229,364,0.7459016393442619,1.393162393162393,0.0,4
24,720,0.9590163934426229,348,0.76775956284153,1.2222222222222223,0.0,3
25,750,0.9590163934426229,346,0.7814207650273224,1.2564102564102564,0.0,2
26,780,0.9590163934426229,358,0.773224043715847,1.3076923076923077,0.0,3
27,810,0.9590163934426229,350,0.7868852459016391,1.1196581196581197,0.0,3
28,840,1.0,388,0.7964480874316937,1.2049180327868851,0.0,4
29,870,1.0,408,0.7841530054644805,1.2295081967213115,0.0,4
30,900,1.0,412,0.7882513661202184,1.1885245901639345,0.0,4
31,930,1.0,404,0.7827868852459015,1.2295081967213115,0.0,3
32,960,1.0,398,0.7739071038251363,1.3524590163934427,0.0,3
33,990,1.0,420,0.7540983606557373,1.360655737704918,0.0,3
34,1020,0.9836065573770492,380,0.7855191256830599,1.3083333333333333,0.0,2
35,1050,0.9836065573770492,360,0.815573770491803,1.4583333333333333,0.0,1
36,1080,0.9836065573770492,366,0.8169398907103823,1.5166666666666666,0.0,1
37,1110,0.9836065573770492,386,0.7718579234972675,1.5666666666666667,0.0,3
38,1140,0.9836065573770492,430,0.7274590163934422,1.8333333333333333,0.0,6
39,1170,1.0,436,0.7240437158469941,1.5081967213114753,0.0,5
40,1200,1.0,476,0.6837431693989068,1.8934426229508197,0.0,8
41,1230,1.0,466,0.690573770491803,2.1721311475409837,0.0,5
42,1260,1.0,462,0.6714480874316938,2.0,0.0,4
43,1290,1.0,470,0.6666666666666665,2.057377049180328,0.0,7
44,1320,1.0,498,0.6437158469945355,2.3278688524590163,0.0,10
45,1350,1.0,508,0.6519125683060107,3.0245901639344264,0.0,9
46,1380,1.0,506,0.6528688524590163,2.5737704918032787,0.0,6
47,1410,1.0,516,0.6306010928961749,3.401639344262295,0.0,6
48,1440,1.0,476,0.6530054644808743,3.1721311475409837,0.0,6
49,1470,1.0,484,0.6318306010928962,2.6885245901639343,0.0,6
50,1500,1.0,514,0.6221311475409835,3.6147540983606556,0.0,5
51,1530,1.0,476,0.6386612021857923,3.6639344262295084,0.0,7
52,1560,1.0,458,0.6564207650273225,3.30327868852459,0.0,3
53,1590,1.0,438,0.6782786885245902,3.6721311475409837,0.0,2
54,1620,1.0,412,0.7124316939890709,3.0655737704918034,0.0,2
55,1650,1.0,390,0.7424863387978141,2.680327868852459,0.0,2
56,1680,1.0,358,0.7937158469945355,2.5737704918032787,0.0,0
57,1710,1.0,312,0.8688524590163933,1.8934426229508197,0.0,0
58,1740,1.0,272,0.9426229508196722,1.3278688524590163,0.0,0
59,1770,1.0,266,0.9549180327868853,1.2295081967213115,0.0,0
