,Timestamp,RFlow,RCost,Efficiency,Redundancy,Disparity,Criticity
0,0,1.0,10964,0.34976423123361794,3.4726530612244897,0.0,21
1,30,1.0,10424,0.3876425184792522,12.03591836734694,0.0,19
2,60,1.0,10074,0.4032093824542795,118.64571428571429,0.0,21
3,90,1.0,9338,0.4527453838678314,17.68326530612245,0.0,18
4,120,1.0,8824,0.4245400064787807,8.038367346938776,0.0,13
5,150,1.0,8454,0.4335367670877856,8.235102040816326,0.0,15
6,180,1.0,8200,0.4446977648202123,6.533877551020408,0.0,18
7,210,1.0,8358,0.41327696793002655,5.7975510204081635,0.0,20
8,240,1.0,8362,0.41437317784256283,4.057142857142857,0.0,17
9,270,1.0,8310,0.4320660835762856,2.876734693877551,0.0,14
10,300,1.0,8354,0.441622934888239,3.488979591836735,0.0,17
11,330,1.0,8704,0.4407716229348861,3.396734693877551,0.0,13
12,360,1.0,9040,0.40680855199222293,3.810612244897959,0.0,21
13,390,1.0,8556,0.4336773566569463,4.394285714285714,0.0,16
14,420,1.0,8434,0.42947327502429306,4.090612244897959,0.0,19
15,450,1.0,8358,0.43487690314220695,4.876734693877551,0.0,20
16,480,1.0,8706,0.4270372529964342,4.057142857142857,0.0,20
17,510,1.0,7750,0.46355976676384847,9.955102040816326,0.0,16
18,540,1.0,8224,0.45673307418205267,23.202448979591836,0.0,17
19,570,1.0,7770,0.4716171039844502,19.930612244897958,0.0,11
20,600,1.0,8268,0.4620596047942979,44.756734693877554,0.0,14
21,630,1.0,8278,0.47073696145124694,6.846530612244898,0.0,12
22,660,1.0,8570,0.45639617751862566,5.856326530612245,0.0,14
23,690,1.0,9130,0.4422798833819229,15.47265306122449,0.0,14
24,720,1.0,9040,0.4402458697764804,13.317551020408164,0.0,14
25,750,1.0,9188,0.4100058309037877,7.930612244897959,0.0,18
26,780,1.0,9218,0.4224198250728841,14.233469387755102,0.0,19
27,810,1.0,9032,0.4500155490767715,8.528163265306123,0.0,15
28,840,1.0,8880,0.42568124392613893,7.946122448979592,0.0,14
29,870,1.0,8612,0.4674975704567532,5.462857142857143,0.0,11
30,900,1.0,8750,0.45363654033041684,4.18938775510204,0.0,13
31,930,1.0,9376,0.43706705539358404,3.9314285714285715,0.0,15
32,960,1.0,9344,0.4424139941690941,2.8220408163265307,0.0,13
33,990,0.9208163265306123,7916,0.43448007774538167,1.8386524822695036,0.0,12
34,1020,0.9208163265306123,8264,0.41134499514091105,1.8847517730496455,0.0,11
35,1050,0.9208163265306123,8302,0.41344023323614915,2.4175531914893615,0.0,10
36,1080,0.9208163265306123,7422,0.4161010689990259,2.767730496453901,0.0,12
37,1110,0.8824489795918368,7010,0.39246452866860815,2.49213691026827,0.0,13
38,1140,0.8824489795918368,7340,0.38232847424683947,3.56059204440333,0.0,13
39,1170,0.8824489795918368,7836,0.37594557823129066,3.2479185938945423,0.0,11
40,1200,0.8824489795918368,7794,0.3776618075801725,2.284921369102683,0.0,11
41,1230,0.8824489795918368,7882,0.3727774538386759,1.7308048103607772,0.0,13
42,1260,0.8824489795918368,8078,0.36749271137026035,1.6827012025901942,0.0,13
43,1290,0.8824489795918368,7854,0.37027048914803845,2.0693802035152635,0.0,16
44,1320,0.8824489795918368,7920,0.3658215095562017,1.946345975948196,0.0,15
45,1350,0.8824489795918368,7928,0.3774509232264317,1.6743755781683627,0.0,15
46,1380,0.7746938775510204,6416,0.35251700680271947,1.83245521601686,0.0,11
47,1410,0.7746938775510204,6662,0.3350476190476174,1.636459430979979,0.0,11
48,1440,0.7746938775510204,6026,0.3536734693877535,2.3709167544783982,0.0,11
49,1470,0.7746938775510204,6316,0.3552789115646242,2.8493150684931505,0.0,10
50,1500,0.7746938775510204,7312,0.3182118561710382,2.6870389884088515,0.0,14
51,1530,0.7746938775510204,7208,0.3188250728862958,3.554267650158061,0.0,15
52,1560,0.8824489795918368,8340,0.3568046647230305,2.702127659574468,0.0,14
53,1590,0.8824489795918368,7926,0.363963070942661,2.3922294172062903,0.0,14
54,1620,0.8824489795918368,8482,0.3615957240038859,2.4967622571692876,0.0,15
55,1650,0.8824489795918368,8244,0.36725753158406066,3.308973172987974,0.0,14
56,1680,0.883265306122449,8592,0.3505636540330404,4.630314232902033,0.0,15
57,1710,0.9216326530612244,8854,0.3581622934888226,5.365810451727192,0.0,18
58,1740,0.9216326530612244,8834,0.35575510204081495,6.192205491585474,0.0,20
59,1770,1.0,10312,0.3779919015225125,12.433469387755101,0.0,15
