sat1Name,LLO-0-6
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,236.221
sat1ArgPer,294.43
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,959.2938362097661,-1221.1867887571511,-1543.78152179012,-498.07905531692506,-756.3780528106689,-1993.6430774154662
10.0,962.714373308304,-1233.4742191031714,-1531.8635787255614,-506.9177237968445,-769.5487172546386,-1986.3818441238404
20.0,966.0893040956836,-1245.7042334159016,-1519.8741044183382,-515.7327215843201,-782.6834473724365,-1979.027856048584
30.0,969.4184774346056,-1257.876262560687,-1507.8136640748187,-524.5236388778686,-795.7816325683593,-1971.581463546753
40.0,972.7017467009998,-1269.9897431775312,-1495.6828296671363,-533.2900682983399,-808.8426659698487,-1964.0430258865356
50.0,975.9389697234833,-1282.0441177273196,-1483.4821798271332,-542.0316049613953,-821.865944442749,-1956.4129111404418
60.0,979.1300088800097,-1294.0388346408456,-1471.2122997126405,-550.7478465576172,-834.8508687896729,-1948.6914961242676
70.0,982.2747310738447,-1305.9733484040944,-1458.8737809048018,-559.4383934402466,-847.7968438110352,-1940.8791663131715
80.0,985.3730077763347,-1317.8471196614946,-1446.46722127695,-568.1028486824035,-860.7032784423828,-1932.9763157577515
90.0,988.4247150511488,-1329.6596153192268,-1433.9932248814491,-576.7408181686401,-873.5695858612061,-1924.9833470077515
100.0,991.4297335906438,-1341.4103086592565,-1421.4524017843876,-585.3519106597901,-886.3951836395264,-1916.9006709976197
110.0,994.387948657887,-1353.098679394865,-1408.8453680073264,-593.9357378807068,-899.1794937438965,-1908.7287069854735
120.0,997.2992502276885,-1364.724213819101,-1396.1727453285632,-602.4919145736694,-911.9219427947999,-1900.467882446289
130.0,1000.1635328669425,-1376.2864048314714,-1383.4351611930488,-611.0200585823059,-924.621962020874,-1892.1186329574584
140.0,1002.9806958441059,-1387.7847520798582,-1370.6332485590708,-619.5197909164428,-937.2789874725341,-1883.6814021224975
150.0,1005.7506431112282,-1399.218762032614,-1357.767645788764,-627.9907358283997,-949.8924600830078,-1875.1566414794922
160.0,1008.4732832986277,-1410.587948037418,-1344.8389964781907,-636.4325208625794,-962.4618257598877,-1866.54481035614
170.0,1011.1485297310453,-1421.8918304307715,-1331.8479493441794,-644.8447769470215,-974.9865354919434,-1857.8463757934571
180.0,1013.7763004598887,-1433.1299366117535,-1318.795158071137,-653.2271384353637,-987.4660454711914,-1849.0618124313355
190.0,1016.3565182266352,-1444.3018010910303,-1305.6812811722798,-661.5792431755066,-999.8998171386719,-1840.1916023788451
200.0,1018.8891104784461,-1455.4069655987146,-1292.506981883766,-669.9007325897217,-1012.2873172912598,-1831.2362351455688
210.0,1021.3740094040136,-1466.4449791339025,-1279.2729279425482,-678.191251701355,-1024.6280182189942,-1822.196207458496
220.0,1023.8111518925551,-1477.4153980523545,-1265.9797915303445,-686.4504492340088,-1036.9213977355957,-1813.0720232162475
230.0,1026.2004795289815,-1488.3177860759604,-1252.6282490750011,-694.6779776268005,-1049.1669392547608,-1803.8641933059691
240.0,1028.541938633961,-1499.151714436137,-1239.2189811269284,-702.8734931259155,-1061.364131942749,-1794.573235534668
250.0,1030.8354802166812,-1509.9167618624278,-1225.752672190389,-711.0366558189392,-1073.5124707336427,-1785.1996744537353
260.0,1033.0810599846436,-1520.6125146783609,-1212.2300106039181,-719.1671296958923,-1085.6114564361571,-1775.7440412750243
270.0,1035.2786383447406,-1531.2385668363038,-1198.6516883763895,-727.2645826911926,-1097.6605958099365,-1766.206873725891
280.0,1037.428180364898,-1541.7945199743808,-1185.018401062343,-735.3286867523193,-1109.6594016113281,-1756.5887159347535
290.0,1039.5296558042687,-1552.2799834622904,-1171.3308475668914,-743.3591178627014,-1121.6073927154541,-1746.890118270874
300.0,1041.5830390640745,-1562.694574449954,-1157.5897300268666,-751.355556110382,-1133.5040941467284,-1737.1116372299193
310.0,1043.5883092034173,-1573.0379179014303,-1143.7957536824583,-759.3176857147217,-1145.3490371551513,-1727.2538353271484
320.0,1045.5454498646081,-1583.3096466242296,-1129.9496266880085,-767.2451950874329,-1157.1417592468263,-1717.3172809066773
330.0,1047.4544493553979,-1593.509401342356,-1116.052059968663,-775.1377768592835,-1168.881804336548,-1707.3025480499268
340.0,1049.3153005282552,-1603.636830679255,-1102.1037671157524,-782.9951279258728,-1180.5687226867676,-1697.2102164382934
350.0,1051.1280008489318,-1613.6915912456773,-1088.1054641609726,-790.8169494895935,-1192.2020710906982,-1687.0408711853026
360.0,1052.8925522757313,-1623.6733475870503,-1074.057869497985,-798.6029470825196,-1203.7814127807617,-1676.7951027145386
370.0,1054.6089613484894,-1633.5817722983782,-1059.9617036928494,-806.352830619812,-1215.3063176269532,-1666.4735066375733
