sat1Name,LLO-5-5
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,238.721
sat1ArgPer,293.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,989.0344528203199,-1189.7181836840068,-1549.5756576519912,-455.53940481185913,-762.4990121307374,-2001.4700425949097
10.0,993.1269659162782,-1201.7744841909127,-1537.6347278574415,-463.8273618812561,-776.0965538635254,-1994.3475010757447
20.0,997.1724648591511,-1213.7748846026784,-1525.621997330907,-472.0936603736877,-789.6578555145263,-1987.1318328094483
30.0,1001.1707672342823,-1225.718826334146,-1513.5380323860002,-480.33791596603396,-803.182286605835,-1979.823381729126
40.0,1005.1216952675368,-1237.6057563870809,-1501.383406135035,-488.55974653244016,-816.6692203826905,-1972.4225007095338
50.0,1009.0250758213092,-1249.435127471297,-1489.1586983543916,-496.75877225112913,-830.1180339202881,-1964.9295514678954
60.0,1012.8807404233189,-1261.206398081225,-1476.8644953991338,-504.9346156578064,-843.528108215332,-1957.344904510498
70.0,1016.688525338545,-1272.9190326350385,-1464.5013900468227,-513.0869017295837,-856.8988283691406,-1949.6689390411377
80.0,1020.4482715262852,-1284.5725015348721,-1452.0699814140062,-521.2152579498292,-870.229583618164,-1941.9020428848266
90.0,1024.1598247416346,-1296.1662812943632,-1439.5708747944511,-529.3193143806458,-883.5197675323486,-1934.0446123962402
100.0,1027.8230355339774,-1307.699854635223,-1427.004681552288,-537.3987037315369,-896.7687781066894,-1926.0970523834228
110.0,1031.4377592290593,-1319.1727105571665,-1414.3720190053907,-545.4530614395142,-909.9760178222656,-1918.059776008606
120.0,1035.0038560283215,-1330.5843444522177,-1401.67351025712,-553.4820257148742,-923.1408938446045,-1909.9332046890258
130.0,1038.5211909578447,-1341.9342581879175,-1388.909784119224,-561.4852376365661,-936.2628180541992,-1901.7177680282593
140.0,1041.9896339346753,-1353.2219601945,-1376.0814749200429,-569.4623411941528,-949.3412072143554,-1893.413903678894
150.0,1045.4090597559616,-1364.4469655418961,-1363.1892224161727,-577.4129833641052,-962.3754830322266,-1885.0220572738647
160.0,1048.7793481186134,-1375.6087960232553,-1350.2336716248537,-585.3368141670227,-975.3650722808837,-1876.542682296753
170.0,1052.1003836474433,-1386.7069802448996,-1337.2154727112913,-593.2334867362977,-988.309406906128,-1867.976240005493
180.0,1055.3720559147143,-1397.7410537098833,-1324.135280821043,-601.1026573753356,-1001.2079241485595,-1859.3231993026734
190.0,1058.5942593837642,-1408.7105588506074,-1310.993755960016,-608.943985622406,-1014.0600665588379,-1850.5840366134644
200.0,1061.766893505095,-1419.6150451411902,-1297.7915628603166,-616.7571342926026,-1026.8652821807862,-1841.7592358169557
210.0,1064.8898626810249,-1430.4540691711986,-1284.5293708013212,-624.5417695617675,-1039.6230246276855,-1832.8492880859376
220.0,1067.9630762602505,-1441.2271946642334,-1271.2078535000753,-632.2975609893799,-1052.3327531280518,-1823.8546917877197
230.0,1070.98644855273,-1451.933992590823,-1257.8276889641138,-640.0241816101075,-1064.9939326477052,-1814.7759523773193
240.0,1073.9598988217901,-1462.5740411955717,-1244.3895593209422,-647.7213079528808,-1077.6060339660644,-1805.613582244873
250.0,1076.8833513333993,-1473.1469260826636,-1230.894150692579,-655.3886201057434,-1090.1685337982178,-1796.3681006317138
260.0,1079.7567352581602,-1483.6522402441162,-1217.3421530461817,-663.0258017768859,-1102.6809147949218,-1787.0400334701537
270.0,1082.5799847724404,-1494.089584147682,-1203.7342600248103,-670.6325403289795,-1115.142665725708,-1777.6299132766724
280.0,1085.353038959559,-1504.4585657254058,-1190.0711688511701,-678.2085268211365,-1127.5532814331054,-1768.1382790298462
290.0,1088.0758418848873,-1514.7588004920233,-1176.3535801167288,-685.7534560699463,-1139.9122630310058,-1758.5656760253905
300.0,1090.748342529576,-1524.9899115512949,-1162.5821976539087,-693.2670266914367,-1152.219117904663,-1748.9126557388306
310.0,1093.3704947922347,-1535.1515296257069,-1148.7577284134588,-700.7489411315918,-1164.4733597717286,-1739.179775718689
320.0,1095.9422574926177,-1545.2432931213727,-1134.880882281664,-708.1989057159424,-1176.6745087890624,-1729.367599433899
330.0,1098.4635943658984,-1555.2648481598746,-1120.9523719434512,-715.6166306877136,-1188.8220916137695,-1719.4766961517334
340.0,1100.9344739750502,-1565.2158485719724,-1106.972912739326,-723.0018302459716,-1200.9156413879396,-1709.507640777588
350.0,1103.3548698126172,-1575.0959560029441,-1092.9432224902268,-730.3542225837707,-1212.9546979370118,-1699.4610137481689
360.0,1105.7247601944493,-1584.9048398679552,-1078.8640213792855,-737.6735299110412,-1224.9388077087403,-1689.3374008789062
370.0,1108.044128244861,-1594.6421773982624,-1064.7360317806726,-744.9594785041809,-1236.8675238494873,-1679.1373932113647
380.0,1110.3129619173449,-1604.3076536873584,-1050.5599781254118,-752.2117987327575,-1248.7404062957764,-1668.861586906433
390.0,1112.5312539480806,-1613.9009616858061,-1036.3365867200273,-759.4302250823974,-1260.5570218048097,-1658.5105830612183
400.0,1114.6990018284955,-1623.4218022088912,-1022.0665856555565,-766.614496181488,-1272.3169439697265,-1648.0849876174927
410.0,1116.8162077760633,-1632.8698839742885,-1007.750704601208,-773.7643548469543,-1284.0197532958985,-1637.5854111709596
420.0,1118.8828787358473,-1642.2449236014718,-993.3896746881971,-780.879548084259,-1295.665037246704,-1627.012468864441
430.0,1120.8990262979808,-1651.5466456035977,-978.9842283665993,-787.959827129364,-1307.2523902282715,-1616.3667802276611
