sat1Name,LLO-0-3
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,236.221
sat1ArgPer,292.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,947.544345202207,-1180.384468731702,-1582.2943607626419,-468.82778620147707,-712.7842446594238,-2016.6661478042602
10.0,951.1650978262448,-1192.9230014601192,-1570.7015333456852,-477.76797507476806,-726.1091439208984,-2009.8226067733765
20.0,954.7407700145316,-1205.4060223603676,-1559.0353611262226,-486.68585441207887,-739.4001372833252,-2002.8852163848876
30.0,958.2712011144765,-1217.832950374341,-1547.2963943488417,-495.5810095100403,-752.6566067047119,-1995.8543076248168
40.0,961.756234929822,-1230.2032100198417,-1535.4851902140742,-504.45302794647216,-765.8779376525879,-1988.7302205047608
50.0,965.1957197006182,-1242.516231484035,-1523.6023127557185,-513.3014996719361,-779.0635191802978,-1981.5133039627076
60.0,968.589508134824,-1254.7714507324429,-1511.6483327221042,-522.1260170898438,-792.2127440490723,-1974.2039157867432
70.0,971.9374574416761,-1266.9683095985756,-1499.6238274776804,-530.9261751174927,-805.3250088348389,-1966.8024225540162
80.0,975.2394293602101,-1279.1062559316645,-1487.5293808580614,-539.7015712890625,-818.3997140808106,-1959.3091995391846
90.0,978.4952901940029,-1291.184743666898,-1475.3655830775087,-548.4518058128357,-831.4362643890381,-1951.7246306533814
100.0,981.7049107876944,-1303.2032329293925,-1463.1330305864146,-557.1764816589356,-844.4340685119629,-1944.049108329773
110.0,984.8681665844683,-1315.1611901331457,-1450.8323259470715,-565.875204624176,-857.3925394897461,-1936.2830334472656
120.0,987.984937659473,-1327.0580880999337,-1438.4640776949352,-574.5475834159851,-870.3110947875977,-1928.4268152389527
130.0,991.0551086969296,-1338.893406123844,-1426.0289002563502,-583.1932297172547,-883.1891563415527,-1920.4808712234496
140.0,994.0785690118475,-1350.666630071207,-1413.5274137606127,-591.8117582626343,-896.0261506958008,-1912.4456270599364
150.0,997.0552125953791,-1362.3772524741335,-1400.9602439286896,-600.4027868995666,-908.8215091247558,-1904.3215164794922
160.0,999.9849380821578,-1374.024772618663,-1388.328021963489,-608.9659366760254,-921.5746676940918,-1896.1089811935424
170.0,1002.867648795467,-1385.6086966168232,-1375.6313843696184,-617.5008318862915,-934.2850673980713,-1887.8084707565308
180.0,1005.7032527377132,-1397.128537500663,-1362.8709728591525,-626.007100151062,-946.9521542358399,-1879.4204424972534
190.0,1008.4916626055327,-1408.5838152893093,-1350.047434182786,-634.4843724746704,-959.5753793182373,-1870.9453613815308
200.0,1011.2327957975934,-1419.9740570820118,-1337.161419988869,-642.9322833175659,-972.1541989746094,-1862.3836999053956
210.0,1013.926574390794,-1431.2987971094385,-1324.2135867201375,-651.350470653534,-984.688074798584,-1853.73593800354
220.0,1016.5729251786038,-1442.5575768091048,-1311.2045954263403,-659.7385760192872,-997.1764737854004,-1845.002562904358
230.0,1019.171779672691,-1453.7499449171974,-1298.1351116430349,-668.0962445945739,-1009.6188684234619,-1836.184069038391
240.0,1021.7230740519599,-1464.8754575009607,-1285.005805259116,-676.4231252479553,-1022.0147367248535,-1827.2809579086304
250.0,1024.2267492135545,-1475.9336780355754,-1271.8173503433898,-684.7188705940247,-1034.3635623626708,-1818.2937379608154
260.0,1026.682750738972,-1486.9241774631048,-1258.5704250073518,-692.9831370468139,-1046.6648347320556,-1809.2229244613648
270.0,1029.091028893585,-1497.8465342413956,-1245.2657112961872,-701.2155848731994,-1058.9180490112306,-1800.0690394058227
280.0,1031.451538645095,-1508.7003344204168,-1231.9038949659762,-709.4158782501221,-1071.1227062988282,-1790.8326113357543
290.0,1033.7642396116958,-1519.485171666972,-1218.4856654122189,-717.5836853103638,-1083.2783136138917,-1781.514175262451
300.0,1036.0290960564414,-1530.2006473116871,-1205.0117154788368,-725.718678188324,-1095.3843839874266,-1772.1142724990846
310.0,1038.2460769197446,-1540.8463704203996,-1191.4827413317985,-733.8205330696106,-1107.440436569214,-1762.6334505691527
320.0,1040.4151557576836,-1551.4219578138302,-1177.8994422843366,-741.8889302368163,-1119.4459966583252,-1753.0722630310058
330.0,1042.5363107655178,-1561.9270341225213,-1164.2625206694966,-749.9235541114807,-1131.4005957946777,-1743.4312693786621
340.0,1044.6095246856335,-1572.3612317819343,-1150.5726816899414,-757.9240932960511,-1143.3037717437744,-1733.7110348739625
350.0,1046.6347849140836,-1582.7241911410745,-1136.8306332569068,-765.8902406120301,-1155.1550686950684,-1723.9121304550172
360.0,1048.6120833630105,-1593.0155604250037,-1123.037085856147,-773.821693145752,-1166.954037185669,-1714.03513256073
370.0,1050.5414165031941,-1603.2349957854035,-1109.1927523810411,-781.7181522712707,-1178.700234222412,-1704.0806230010987
380.0,1052.4227853132822,-1613.382161338063,-1095.2983479998811,-789.5793237075806,-1190.393223312378,-1694.0491888275146
390.0,1054.256195284177,-1623.4567291678466,-1081.3545900126462,-797.4049175224304,-1202.0325745239259,-1683.941422203064
400.0,1056.0416563728709,-1633.4583793538668,-1067.362197663204,-805.19464818573,-1213.6178645324708,-1673.7579202194213
410.0,1057.7791829665973,-1643.3867999878814,-1053.321892055276,-812.9482346000672,-1225.1486766357423,-1663.4992848129273
420.0,1059.4687938860986,-1653.2416871903715,-1039.2343959409366,-820.6654001159668,-1236.624600845337,-1653.1661225738526
430.0,1061.1105123355399,-1663.0227451101293,-1025.1004336141964,-828.3458725624084,-1248.0452338867187,-1642.759044631958
440.0,1062.7043658639968,-1672.7296859338119,-1010.9207307647513,-835.9893842773438,-1259.4101792297363,-1632.2786665115357
450.0,1064.250386375688,-1682.3622299154813,-996.6960143016505,-843.5956721267701,-1270.7190471801757,-1621.7256079788208
460.0,1065.7486100211697,-1691.920105338788,-982.4270122420248,-851.1644775314331,-1281.9714548187255,-1611.1004928970337
470.0,1067.1990772612967,-1701.403048548519,-968.1144535587827,-858.6955464668274,-1293.167026123047,-1600.4039491119386
480.0,1068.6018327515028,-1710.8108039398091,-953.7590680149118,-866.1886295127869,-1304.3053919372558,-1589.6366082611084
490.0,1069.9569253397394,-1720.1431239420679,-939.3615860604209,-873.6434818420411,-1315.3861900024415,-1578.7991056747437
500.0,1071.26440802183,-1729.3997690248095,-924.9227386648504,-881.0598632545472,-1326.4090649871825,-1567.8920802078246
510.0,1072.5243379066912,-1738.5805076690178,-910.4432571705099,-888.4375381736755,-1337.3736685028075,-1556.9161740875245
520.0,1073.7367762030312,-1747.6851163927297,-895.923873182794,-895.7762756729126,-1348.27965914917,-1545.872032814026
530.0,1074.9017881244054,-1756.7133796846313,-881.3653184114289,-903.0758494720459,-1359.126702468872,-1534.7603049697875
540.0,1076.0194428706798,-1765.665090002689,-866.7683245456989,-910.3360379524231,-1369.9144709777831,-1523.5816420974731
550.0,1077.0898136176415,-1774.5400477909916,-852.1336231039242,-917.5566241722107,-1380.6426442260743,-1512.3366985626221
560.0,1078.1129774533147,-1783.3380614081286,-837.4619453243962,-924.7373958473206,-1391.3109087524415,-1501.0261314163208
570.0,1079.0890152889463,-1792.0589471108608,-822.7540220083654,-931.8781453819275,-1401.9189580688476,-1489.6506002197266
580.0,1080.0180118850697,-1800.7025290462568,-808.0105834055042,-938.9786698493957,-1412.4664927215576,-1478.2107669448853
590.0,1080.900055797839,-1809.2686392298635,-793.2323590725625,-946.0387710075379,-1422.9532202911378,-1466.7072958221436
600.0,1081.7352392540722,-1817.7571174484194,-778.4200777733779,-953.0582552833557,-1433.3788552856445,-1455.140853187561
610.0,1082.5236582229622,-1826.1678113189862,-763.5744673076396,-960.0369337844849,-1443.7431192932129,-1443.5121073608398
620.0,1083.2654122693775,-1834.5005761785928,-748.6962544295873,-966.9746222839356,-1454.0457408447267,-1431.8217285003661
630.0,1083.9606045533005,-1842.7552750755262,-733.7861647106893,-973.8711412200928,-1464.2864554595947,-1420.0703884735108
640.0,1084.6093417680395,-1850.9317787256089,-718.8449224045853,-980.726315689087,-1474.4650056304931,-1408.2587607040405
650.0,1085.2117341258217,-1859.0299654837736,-703.8732503428739,-987.5399754295349,-1484.581140838623,-1396.3875200653076
660.0,1085.7678952313454,-1867.0497212681807,-688.8718698147237,-994.3119548301697,-1494.6346174621583,-1384.4573427124024
670.0,1086.2779421104976,-1874.9909395343352,-673.8415004725802,-1001.0420928955078,-1504.6251988220215,-1372.46890599823
680.0,1086.7419951116153,-1882.8535212293016,-658.7828601674257,-1007.7302332496643,-1514.5526551513672,-1360.4228882827758
690.0,1087.160177883355,-1890.6373747369453,-643.6966648902325,-1014.3762241210937,-1524.4167635650635,-1348.3199688568116
