sat1Name,LLO-3-1
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,237.721
sat1ArgPer,291.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,957.9704116135083,-1142.9564073956628,-1603.3547846648567,-431.1026781845093,-694.9715684356689,-2031.2479474868774
10.0,962.0930549276297,-1155.4683568905261,-1591.902467953004,-439.75269771194456,-708.6253336181641,-2024.6854913787843
20.0,966.1701088813779,-1167.92657018984,-1580.375816461977,-448.3821828422546,-722.2460092926026,-2018.0284918899536
30.0,970.2013893780123,-1180.3304672436248,-1568.7753739796049,-456.9907322006226,-735.8329619903565,-2011.277266960144
40.0,974.186716811702,-1192.6794733932172,-1557.1016913716367,-465.5779465179443,-749.3855616455078,-2004.4321436386108
50.0,978.12591606041,-1204.97301948091,-1545.3553264261086,-474.143428730011,-762.9031817016602,-1997.4934579620362
60.0,982.0188165648194,-1217.2105419527002,-1533.5368437447748,-482.68678402709963,-776.3851992645264,-1990.461554901123
70.0,985.8652523114674,-1229.3914829485518,-1521.646814661583,-491.2076199417114,-789.8309951629639,-1983.3367882995606
80.0,989.6650619153613,-1241.515290464988,-1509.6858170677212,-499.7055464363098,-803.2399541625977,-1976.1195207748412
90.0,993.4180885837504,-1253.5814183729851,-1497.6544353471133,-508.1801759529114,-816.6114649658203,-1968.8101236495972
100.0,997.124180219388,-1265.5893266135838,-1485.5532602107446,-516.6311235122681,-829.9449204559326,-1961.4089768753051
110.0,1000.7831893827151,-1277.5384812249565,-1473.3828886051092,-525.0580067672729,-843.2397177124024,-1953.9164689407348
120.0,1004.3949733346114,-1289.4283544621028,-1461.143923553632,-533.4604460830689,-856.4952581634521,-1946.3329967651366
130.0,1007.9593940577345,-1301.2584248972937,-1448.836974050964,-541.8380646095276,-869.7109476928711,-1938.6589656295776
140.0,1011.4763182813676,-1313.0281775056683,-1436.4626549434133,-550.1904883422851,-882.8861967468262,-1930.8947890930176
150.0,1014.945617487458,-1324.7371037510447,-1424.0215867667487,-558.5173461990356,-896.0204204406738,-1923.0408888626098
160.0,1018.3671679507876,-1336.3847016963553,-1411.5143956148363,-566.8182700881958,-909.1130386962891,-1915.097694709778
170.0,1021.7408507104369,-1347.9704760455747,-1398.9417130492377,-575.0928949661255,-922.163476272583,-1907.0656443862915
180.0,1025.0665516268323,-1359.4939382629293,-1386.3041758939821,-583.3408589057923,-935.1711629486084,-1898.945183479309
190.0,1028.3441613584341,-1370.9546066230253,-1373.602426166243,-591.5618031578064,-948.1355335540771,-1890.7367653503418
