sat1Name,LLO-5-3
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,238.721
sat1ArgPer,292.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,979.7977254320402,-1163.1224264379332,-1575.4192656564237,-437.2903494224548,-732.5558317108155,-2016.666141921997
10.0,984.0280381332075,-1175.3426839201659,-1563.6949936412973,-445.64080529022215,-746.2580141296387,-2009.8226007843018
20.0,988.2117527714781,-1187.5082828704108,-1551.8977040026814,-453.97045180892945,-759.9253497619629,-2002.885210281372
30.0,992.3486804249924,-1199.6186569425056,-1540.027953073625,-462.2789016304016,-773.557203125,-1995.8543014144898
40.0,996.4386367020604,-1211.6732452254473,-1528.0863041252535,-470.56576953125,-787.1529422454834,-1988.730214187622
50.0,1000.481441826696,-1223.6714923973655,-1516.0733272187867,-478.8306725006104,-800.7119388580322,-1981.5132975311278
60.0,1004.476920703468,-1235.612848850918,-1503.9895990964035,-487.07322981643676,-814.2335685577392,-1974.2039092483521
70.0,1008.4249028542223,-1247.4967707182825,-1491.835703081323,-495.29306310272216,-827.7172108001708,-1966.8024159088134
80.0,1012.3252225426236,-1259.3227200739689,-1479.612228920414,-503.4897964286804,-841.1622491607666,-1959.3091927871703
90.0,1016.1777187682229,-1271.0901649574782,-1467.3197727082977,-511.6630563468933,-854.5680713653564,-1951.7246237945556
100.0,1019.9822352451617,-1282.7985795012044,-1454.9589367386095,-519.812472000122,-867.9340693969726,-1944.0491013641358
110.0,1023.7386205073756,-1294.4474440268862,-1442.5303293558313,-527.9376751594543,-881.2596396789551,-1936.2830263671874
120.0,1027.4467278997936,-1306.0362451532003,-1430.0345648748357,-536.0383003196716,-894.5441831512451,-1928.4268080596923
130.0,1031.1064155797926,-1317.5644758463804,-1417.472263411129,-544.113984741211,-907.7871053619385,-1920.480863937378
140.0,1034.7175465527748,-1329.0316355529917,-1404.8440507630262,-552.1643685455322,-920.9878166046143,-1912.4456196670533
150.0,1038.2799886979299,-1340.4372302493755,-1392.1505582843608,-560.1890947494506,-934.1457320098878,-1904.3215089874268
160.0,1041.7936147726296,-1351.780772560853,-1379.392422730173,-568.1878093605042,-947.2602716674804,-1896.1089735946655
170.0,1045.258302441803,-1363.0617818118826,-1366.5702861364646,-576.1601614112853,-960.3308607177735,-1887.8084630508422
180.0,1048.6739342569258,-1374.279784116859,-1353.6847956976849,-584.1058030433654,-973.3569294281006,-1879.4204346847534
190.0,1052.0403977115893,-1385.434312467521,-1340.7366035875614,-592.0243895606994,-986.3379133453369,-1870.9453534622191
200.0,1055.3575852297577,-1396.5249067830894,-1327.7263668432001,-599.9155794754029,-999.2732533569335,-1862.383691886902
210.0,1058.625394164459,-1407.5511140102492,-1314.6547472097002,-607.7790345954895,-1012.1623957977295,-1853.7359298782349
220.0,1061.8437268308244,-1418.5124881654567,-1301.5224110201527,-615.6144200477601,-1025.004792541504,-1845.0025546798706
230.0,1065.012490474902,-1429.4085904142353,-1288.3300290307357,-623.4214043655395,-1037.7999010772705,-1836.1840607147217
240.0,1068.1315972906687,-1440.23898912375,-1275.078276293576,-631.1996595153809,-1050.5471846008302,-1827.2809494857788
250.0,1071.20096445197,-1451.0032599318247,-1261.7678319749627,-638.9488609580993,-1063.2461121368408,-1818.2937294311523
260.0,1074.2205140683593,-1461.7009858186366,-1248.3993792518247,-646.6686877174377,-1075.8961585845948,-1809.2229158325194
270.0,1077.190173175863,-1472.331757103986,-1234.9736051599891,-654.3588223953248,-1088.496804763794,-1800.069030670166
280.0,1080.109873806633,-1482.895171592324,-1221.4912004038897,-662.018951259613,-1101.047537612915,-1790.8326025009155
290.0,1082.9795528904242,-1493.3908345273965,-1207.9528592597208,-669.6487642555237,-1113.5478501281739,-1781.51416632843
