sat1Name,LLO-2-0
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,237.221
sat1ArgPer,291.43
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,947.3116999542282,-1132.4477574688324,-1617.0856019415523,-427.5178456459045,-676.2661513061523,-2038.3070937728883
10.0,951.3780262093792,-1145.103263784019,-1605.7714669695217,-436.3169676475525,-689.8917942504883,-2031.885935180664
20.0,955.3992557825245,-1157.7055149174228,-1594.3823495894505,-445.0957156867981,-703.4852224578857,-2025.3698969726563
30.0,959.3752071410195,-1170.253924088434,-1582.9187872275468,-453.8536814002991,-717.0458036804199,-2018.759290550232
40.0,963.3057031454974,-1182.7479098525023,-1571.3813244343926,-462.5904585342407,-730.5729089508056,-2012.0544364242553
50.0,967.1905711402392,-1195.186896231641,-1559.7705127573645,-471.3056430091858,-744.065912765503,-2005.2556641540527
60.0,971.0296429317546,-1207.5703127907168,-1548.0869106310633,-479.9988330001831,-757.524193145752,-1998.3633122558595
70.0,974.8227548818566,-1219.8975947866497,-1536.3310832776233,-488.66962901687623,-770.9471318206787,-1991.3777281723023
80.0,978.5697478784283,-1232.168183248456,-1524.5036025561449,-497.31763397979734,-784.3341143035889,-1984.2992681427002
90.0,982.2704674029602,-1244.381525090675,-1512.6050468734807,-505.94245329666137,-797.6845300292969,-1977.128297164917
100.0,985.9247635324512,-1256.5370732150939,-1500.6360010503251,-514.543694934845,-810.9977724609375,-1969.8651888961792
110.0,989.5324909765192,-1268.634286615293,-1488.5970562024793,-523.1209695014953,-824.2732392120362,-1962.5103255767822
120.0,993.0935090704035,-1280.6726304483036,-1476.4888096187337,-531.6738903083801,-837.5103321228028,-1955.0640979309082
130.0,996.6076818525061,-1292.6515761782352,-1464.3118646259172,-540.2020734519958,-850.7084574432373,-1947.5269050979614
140.0,1000.0748780387647,-1304.5706016298482,-1452.06683044447,-548.7051378746032,-863.8670258941651,-1939.8991545028687
150.0,1003.4949710429418,-1316.4291910853296,-1439.75432210963,-557.1827054405212,-876.985452758789,-1932.1812618103027
160.0,1006.8678390036941,-1328.2268353984414,-1427.3749602776018,-565.6344010162353,-890.0631580352783,-1924.3736507797241
170.0,1010.1933648066113,-1339.9630320407591,-1414.9293711252337,-574.0598525047302,-903.0995665130615,-1916.4767531890868
180.0,1013.471436062877,-1351.6372852142015,-1402.4181862142314,-582.4586909484864,-916.0941078643799,-1908.4910087280273
190.0,1016.7019451799964,-1363.249105930578,-1389.842042333466,-590.8305505676269,-929.046216796875,-1900.4168648910522
200.0,1019.8847892814358,-1374.7980120596915,-1377.2015813985684,-599.1750688400268,-941.9553330535889,-1892.2547768707275
210.0,1023.0198703125219,-1386.2835284549305,-1364.4974502706489,-607.491886554718,-954.8209016265869,-1884.0052074508667
220.0,1026.1070949711127,-1397.7051869723443,-1351.7303006352201,-615.7806478691101,-967.642372756958,-1875.668626876831
230.0,1029.1463747561618,-1409.0625265781282,-1338.9007888778872,-624.041000377655,-980.4192020721435,-1867.245512779236
240.0,1032.1376259428114,-1420.3550934134598,-1326.0095758859748,-632.2725951728821,-993.1508506774902,-1858.7363499984742
250.0,1035.080769596743,-1431.582440824392,-1313.0573269810025,-640.4750868797303,-1005.8367852020264,-1850.141630531311
260.0,1037.975731568091,-1442.7441294719251,-1300.0447117023746,-648.6481337394714,-1018.476477935791,-1841.4618533554078
270.0,1040.8224425119909,-1453.8397273631838,-1286.9724037200954,-656.7913976364135,-1031.0694068908692,-1832.6975243606566
280.0,1043.620837834427,-1464.8688099055419,-1273.8410806336083,-664.9045441741944,-1043.6150558624267,-1823.8491561584472
290.0,1046.3708577139184,-1475.830959963403,-1260.6514238926304,-672.9872427101135,-1056.112914505005,-1814.9172680282593
300.0,1049.0724471208162,-1486.725767928752,-1247.4041185673875,-681.0391664085388,-1068.5624784698487,-1805.9023857269287
310.0,1051.72555577664,-1497.552831739568,-1234.0998532842736,-689.0599922828675,-1080.9632494049072,-1796.805041419983
320.0,1054.3301381274966,-1508.3117569336914,-1220.739320006406,-697.0494012527466,-1093.3147350463867,-1787.6257734832764
330.0,1056.8861533790403,-1519.0021567071449,-1207.3232139344584,-705.0070781822204,-1105.6164493103026,-1778.3651264343262
340.0,1059.3935654571133,-1529.6236519371282,-1193.8522333403293,-712.9327119178772,-1117.867912338257,-1769.0236507720947
350.0,1061.8523429691263,-1540.17587121842,-1180.3270794145892,-720.8259953422546,-1130.068650543213,-1759.6019028320313
360.0,1064.262459241726,-1550.65845090312,-1166.748456112539,-728.6866253929138,-1142.2181967163085,-1750.1004446640015
370.0,1066.6238922513048,-1561.0710351231885,-1153.1170700401867,-736.5143031196594,-1154.3160900268554,-1740.5198439102173
380.0,1068.9366246336604,-1571.413275837012,-1139.4336302576696,-744.3087337188721,-1166.3618761291505,-1730.8606736373902
390.0,1071.2006436626798,-1581.6848328278181,-1125.6988481545593,-752.0696265449524,-1178.3551071929933,-1721.1235122146606
400.0,1073.4159412123768,-1591.885373748517,-1111.9134373041256,-759.796695175171,-1190.295341949463,-1711.3089431762696
410.0,1075.5825137433758,-1602.0145741303675,-1098.078113332815,-767.489657421112,-1202.1821457366943,-1701.4175550994873
420.0,1077.7003622696493,-1612.0721173988838,-1084.1935937129294,-775.1482353630066,-1214.015090560913,-1691.44994140625
430.0,1079.7694923467882,-1622.0576948981088,-1070.2605976868858,-782.772155380249,-1225.793755126953,-1681.4067002944946
440.0,1081.7899140292504,-1631.9710058740163,-1056.279846079056,-790.3611481628418,-1237.5177248687744,-1671.2884345474242
450.0,1083.7616418480166,-1641.8117575251758,-1042.252061158554,-797.914948764801,-1249.186592010498,-1661.095751411438
460.0,1085.6846947777462,-1651.5796649709546,-1028.1779664925477,-805.433296596527,-1260.799955581665,-1650.8292624435426
470.0,1087.5590962279152,-1661.2744512875379,-1014.0582868092919,-812.9159354667663,-1272.3574214782716,-1640.4895833892822
480.0,1089.3848739425378,-1670.8958474624817,-999.8937478602015,-820.3626135940551,-1283.8586024169922,-1630.0773340148926
490.0,1091.1620600751157,-1680.443592451958,-985.6850762486208,-827.773083618164,-1295.3031180877686,-1619.5931379852295
500.0,1092.8906910336077,-1689.917433123578,-971.4329993146097,-835.1471026382446,-1306.690595046997,-1609.037622695923
