sat1Name,LLO-5-4
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,238.721
sat1ArgPer,293.43
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,984.4535741092362,-1176.4651012500096,-1562.5569590337693,-446.4318758735657,-747.5558865661621,-2009.144594329834
10.0,988.6151454626819,-1188.6038424475346,-1550.7239075603181,-454.7513991241455,-761.2062684020996,-2002.1612870941162
20.0,992.7299089289321,-1200.6873022329394,-1538.8184441584276,-463.0496876068115,-774.8211054534912,-1995.0844882507324
30.0,996.7976788277044,-1212.714918103849,-1526.8411301600581,-471.3263554611206,-788.3997647094726,-1987.9145352630615
40.0,1000.8182740766147,-1224.686133097498,-1514.7925337875863,-479.58101900482177,-801.9416167907715,-1980.651774597168
50.0,1004.7915182033859,-1236.6003958849715,-1502.6732299787382,-487.8132968101501,-815.4460360717774,-1973.2965615844726
60.0,1008.7172394283444,-1248.4571608902863,-1490.4838003059822,-496.0228097648621,-828.9124008331299,-1965.8492603988648
70.0,1012.5952706280415,-1260.2558883624488,-1478.2248328316232,-504.2091811561584,-842.3400933227539,-1958.310243927002
80.0,1016.4254493994514,-1271.9960445157544,-1465.8969220268732,-512.3720367469788,-855.7284999084472,-1950.6798937454223
90.0,1020.2076181401349,-1283.677101621502,-1453.5006686009663,-520.5110048294067,-869.0770112457276,-1942.9586000061036
100.0,1023.9416239429303,-1295.2985380626399,-1441.0366794064155,-528.6257163124085,-882.3850222625732,-1935.1467613296509
110.0,1027.6273187717245,-1306.8598385101538,-1428.5055672976039,-536.7158047904968,-895.651932434082,-1927.2447847671508
120.0,1031.2645593577613,-1318.3604939301451,-1415.907951007158,-544.7809066047669,-908.8771457519531,-1919.2530856552123
130.0,1034.8532073140218,-1329.8000017326115,-1403.2444550137852,-552.8206609077454,-922.0600709381104,-1911.172087562561
140.0,1038.3931290698035,-1341.1778658143799,-1390.515709422112,-560.8347097358703,-935.2001214599609,-1903.0022221679687
150.0,1041.884195987129,-1352.4935967087163,-1377.722349789284,-568.8226980819702,-948.2967157592774,-1894.7439291687012
160.0,1045.3262842660013,-1363.7467115866064,-1364.8650170568424,-576.78427394104,-961.3492772064209,-1886.397656188965
170.0,1048.7192750577153,-1374.9367344060283,-1351.9443573291167,-584.7190883865356,-974.3572343444824,-1877.963858642578
180.0,1052.0630544189278,-1386.0631959524574,-1338.961021795774,-592.6267956237793,-987.320020904541,-1869.4429996566773
190.0,1055.357513327863,-1397.1256339204904,-1325.9156665838843,-600.5070530586243,-1000.2370759124756,-1860.8355499572754
200.0,1058.6025477071007,-1408.1235929932163,-1312.8089525903847,-608.3595213508606,-1013.1078438110352,-1852.141987739563
210.0,1061.7980584406878,-1419.0566249189255,-1299.6415453754628,-616.1838644714355,-1025.9317745513915,-1843.3627985916137
220.0,1064.943951352727,-1429.9242885536703,-1286.4141149701643,-623.9797497558594,-1038.7083236694336,-1834.4984753189087
230.0,1068.040137210187,-1440.7261499410001,-1273.1273357824034,-631.7468479728699,-1051.4369523620605,-1825.5495178756714
240.0,1071.0865317547234,-1451.4617823775077,-1259.781886436957,-639.48483335495,-1064.117127609253,-1816.5164332427978
250.0,1074.0830556881579,-1462.1307664710516,-1246.3784496037558,-647.1933836746216,-1076.7483222503663,-1807.3997352752685
260.0,1077.0296346556092,-1472.732690184127,-1232.9177118752443,-654.8721802749634,-1089.330015045166,-1798.199944595337
270.0,1079.9261992598383,-1483.2671488954416,-1219.4003636245122,-662.520908126831,-1101.861690765381,-1788.9175884780884
280.0,1082.7726850511544,-1493.7337454641647,-1205.827098828078,-670.1392558898925,-1114.3428402862548,-1779.5532006988526
290.0,1085.5690325351209,-1504.1320902549508,-1192.1986149576817,-677.7269159278869,-1126.772960647583,-1770.1073214416504
300.0,1088.3151871239686,-1514.4618011895986,-1178.5156127862585,-685.2835843811035,-1139.151555114746,-1760.580497116089
310.0,1091.0110991815375,-1524.7225038038082,-1164.7787962690165,-692.8089611968994,-1151.4781332855225,-1750.9732802734375
320.0,1093.656723961199,-1534.9138312631464,-1150.9888724027544,-700.3027501716614,-1163.7522111053468,-1741.28622946167
330.0,1096.2520216346509,-1545.0354244241262,-1137.1465510373391,-707.764658996582,-1175.9733109893798,-1731.519909072876
340.0,1098.7969572443953,-1555.0869318444668,-1123.2525447564228,-715.1943992881775,-1188.1409618377686,-1721.6748892211915
350.0,1101.2915007096688,-1565.068009833533,-1109.307568714731,-722.591686630249,-1200.2546991271972,-1711.7517456054688
360.0,1103.7356267891025,-1574.9783224681132,-1095.3123404987036,-729.95624061203,-1212.3140649414063,-1701.7510593719483
370.0,1106.1293150891904,-1584.8175416177182,-1081.2675799771357,-737.2877848472596,-1224.3186080474854,-1691.6734169845581
380.0,1108.47255001806,-1594.5853469796714,-1067.1740091345198,-744.5860470275879,-1236.2678839416503,-1681.5194100646972
390.0,1110.7653207621445,-1604.2814260807788,-1053.0323519462693,-751.8507589378357,-1248.1614548797606,-1671.289635269165
400.0,1113.0076213050156,-1613.9054743157196,-1038.8433341822301,-759.0816564865112,-1259.9988899841308,-1660.9846941223145
410.0,1115.199450327386,-1623.4571949353265,-1024.6076833515756,-766.2784797439575,-1271.779765182495,-1650.6051929321288
420.0,1117.3408112674426,-1632.9362990880231,-1010.3261284412233,-773.4409729499816,-1283.5036633758546,-1640.1517425765992
