sat1Name,LLO-3-5
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,237.721
sat1ArgPer,293.93
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,975.6796735166182,-1197.0761214188547,-1552.3727511363802,-468.7774681892395,-754.4326134338379,-2001.4700450820924
10.0,979.5315822158268,-1209.2618712479393,-1540.4827956826043,-477.3014727859497,-767.8834394378662,-1994.3475036010743
20.0,983.3371047040333,-1221.39135856224,-1528.5209065172394,-485.8031896247864,-781.298408859253,-1987.131835380554
30.0,987.0960697558813,-1233.4640188130634,-1516.4876475765655,-494.28222343444827,-794.6768980407714,-1979.8233843460082
40.0,990.8083106967003,-1245.479293078452,-1504.3835896171518,-502.7381812210083,-808.0182869873047,-1972.422503364563
50.0,994.4736654458823,-1257.436628178062,-1492.2093100913805,-511.1706723442078,-821.3219595031738,-1964.929554168701
60.0,998.091976507208,-1269.3354767518645,-1479.9653930250918,-519.57930859375,-834.5873032684326,-1957.34490725708
70.0,1001.6630910499748,-1281.1752974010262,-1467.6524288826336,-527.9637042694092,-847.8137100219726,-1949.6689418258668
80.0,1005.1868608571041,-1292.9555547521375,-1455.271014510158,-536.3234762535095,-861.0005755767822,-1941.902045715332
90.0,1008.6631424721774,-1304.6757196067538,-1442.8217528954945,-544.6582440795898,-874.1473000946045,-1934.0446152648926
100.0,1012.0917970784675,-1316.3352689800067,-1430.3052531814476,-552.9676300125122,-887.2532880096436,-1926.0970552978515
110.0,1015.4726906506132,-1327.9336862545686,-1417.7221304058323,-561.2512591133118,-900.3179483184814,-1918.0597789611816
120.0,1018.8056938747374,-1339.4704612052979,-1405.0730054894345,-569.508759300232,-913.3406945343017,-1909.9332076950072
130.0,1022.090682251309,-1350.9450901694283,-1392.3585049871149,-577.7397614402771,-926.320944946289,-1901.7177710723877
140.0,1025.3275360203183,-1362.35707606386,-1379.5792610759352,-585.9438994026184,-939.2581225738526,-1893.4139067687988
