sat1Name,LLO-3-2
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,237.721
sat1ArgPer,292.43
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,962.5080137382984,-1156.6194895764409,-1590.7900251391868,-440.57242057800295,-709.9190574645996,-2024.0341149139404
10.0,966.5634314981065,-1169.0513030550678,-1579.2269695438379,-449.19191859817505,-723.5236380615235,-2017.330861076355
20.0,970.573055436066,-1181.4287424975928,-1567.590171045977,-457.79044145202636,-737.0944334716797,-2010.5334072723388
30.0,974.5367046707285,-1193.7512316749976,-1555.8801785462094,-466.3675892448425,-750.6308126220703,-2003.6420779953003
40.0,978.4542027895244,-1206.0181997885218,-1544.0975479469985,-474.92296423339843,-764.1321478729249,-1996.65720677948
50.0,982.32537791663,-1218.22908160412,-1532.2428420235296,-483.4561709060669,-777.5978151855469,-1989.5791361312865
60.0,986.1500627253153,-1230.3833175491097,-1520.3166302896402,-491.96681606292725,-791.0271942291259,-1982.4082174301147
70.0,989.92809450169,-1242.480353839415,-1508.3194889297597,-500.4545088920593,-804.4196685180664,-1975.1448109130858
80.0,993.6593151209818,-1254.5196425450974,-1496.2520006416141,-508.9188610305786,-817.7746254882812,-1967.7892855377197
90.0,997.3435711285432,-1266.5006417247243,-1484.1147545210333,-517.3594866523742,-831.0914566650391,-1960.3420189285278
100.0,1000.9807136964952,-1278.4228155093315,-1471.9083459723029,-525.7760025482178,-844.3695577087402,-1952.8033973007202
110.0,1004.5705987494171,-1290.2856342240873,-1459.6333765140944,-534.168028175354,-857.6083286437988,-1945.173815345764
120.0,1008.1130868805301,-1302.0885744452137,-1447.2904537198947,-542.535185749054,-870.8071738433838,-1937.4536761627198
130.0,1011.6080434320853,-1313.8311191224673,-1434.8801910623004,-550.8771003036499,-883.9655022125244,-1929.643391166687
140.0,1015.0553384945647,-1325.5127576572165,-1422.4032077709019,-559.1933997612,-897.0827272796631,-1921.7433799743653
150.0,1018.4548469599948,-1337.132986009768,-1409.8601287150213,-567.4837150001526,-910.1582673339843,-1913.7540703353882
160.0,1021.8064484546117,-1348.6913067515504,-1397.2515842565012,-575.7476799316406,-923.1915454559327,-1905.6758979873657
170.0,1025.1100274531861,-1360.1872291775405,-1384.578210143756,-583.9849315414428,-936.1819897003173,-1897.509306617737
180.0,1028.3654731943286,-1371.6202693696787,-1371.8406473430055,-592.1951099853516,-949.129033126831,-1889.2547476959228
190.0,1031.5726798013782,-1382.9899503034947,-1359.0395418984674,-600.3778586235046,-962.0321139984131,-1880.912680404663
200.0,1034.7315461562894,-1394.2958018675633,-1346.1755448211977,-608.5328241004944,-974.8906757354737,-1872.4835715026854
210.0,1037.841976017106,-1405.537360992512,-1333.2493119360968,-616.6596563949585,-987.7041671295166,-1863.967895248413
220.0,1040.9038779876291,-1416.714171697731,-1320.2615037163275,-624.7580088806152,-1000.4720424041748,-1855.3661332473755
230.0,1043.9171655110306,-1427.8257851693638,-1307.2127851680928,-632.8275383987427,-1013.193761291504,-1846.6787743606567
240.0,1046.8817568552422,-1438.8717597881432,-1294.1038256870067,-640.8679052810669,-1025.8687890930175,-1837.9063145751952
250.0,1049.797575162401,-1449.8516612458611,-1280.9352988922362,-648.8787734413147,-1038.4965968322754,-1829.0492568893433
260.0,1052.664548419696,-1460.7650625762324,-1267.707882502706,-656.8598104019165,-1051.0766613006592,-1820.1081111984254
270.0,1055.4826094335672,-1471.6115442000641,-1254.4222581714484,-664.8106873588562,-1063.6084651184083,-1811.0833941421508
280.0,1058.2516958705235,-1482.3906939996282,-1241.0791113465125,-672.7310792236328,-1076.0914968566894,-1801.9756290054322
290.0,1060.9717502190788,-1493.10210736847,-1227.6791311394068,-680.6206646842957,-1088.525251083374,-1792.7853455963134
300.0,1063.642719796604,-1503.7453872438982,-1214.2230101415548,-688.4791262321472,-1100.9092284545898,-1783.5130800857544
310.0,1066.2645567067177,-1514.3201441544136,-1200.7114443125015,-696.3061502304078,-1113.2429357452393,-1774.159374900818
320.0,1068.8372178867726,-1524.8259962896727,-1187.1451328140915,-704.1014269447327,-1125.5258859863281,-1764.7247786026
330.0,1071.3606650680442,-1535.2625695061479,-1173.5247778500357,-711.8646505775451,-1137.7575984954833,-1755.209845726013
340.0,1073.8348647201099,-1545.6294973770325,-1159.8510845400085,-719.5955193367005,-1149.9375989074706,-1745.6151366577149
350.0,1076.2597880990006,-1555.9264212282344,-1146.124760746029,-727.2937354431152,-1162.0654192962647,-1735.9412174987792
360.0,1078.6354111848752,-1566.152990157419,-1132.346516965564,-734.9590051841736,-1174.1405981750488,-1726.1886599502564
370.0,1080.9617147142083,-1576.3088610949164,-1118.5170661161917,-742.5910389518738,-1186.1626806335448,-1716.3580411376954
380.0,1083.2386840757597,-1586.3936987778225,-1104.637123452457,-750.189551273346,-1198.1312182769775,-1706.449943496704
390.0,1085.4663093706931,-1596.4071758201226,-1090.7074063801308,-757.7542608413696,-1210.045769378662,-1696.4649546356202
400.0,1087.6445853515318,-1606.3489726980677,-1076.7286343075757,-765.2848905410766,-1221.9058988800048,-1686.4036671752929
410.0,1089.773511404878,-1616.2187777970428,-1062.701528515734,-772.7811674957276,-1233.711178451538,-1676.2666786346435
420.0,1091.853091518131,-1626.0162874016667,-1048.626811998184,-780.2428230781555,-1245.4611865234374,-1666.0545912704467
430.0,1093.8833342606931,-1635.741205714085,-1034.5052093231657,-787.6695929412842,-1257.1555083312987,-1655.7680119476317
440.0,1095.8642527406942,-1645.3932448602227,-1020.3374464732293,-795.0612170486451,-1268.7937359466553,-1645.407551979065
450.0,1097.7958646075754,-1654.9721249114425,-1006.1242507229248,-802.4174396896362,-1280.3754683380128,-1634.973827018738
460.0,1099.6781919891341,-1664.477573873557,-991.8663504561365,-809.7380095062256,-1291.9003113861083,-1624.4674568710327
470.0,1101.5112614675154,-1673.9093276781837,-977.5644750613104,-817.0226795043945,-1303.36787789917,-1613.8890653839112
480.0,1103.2951040578364,-1683.2671302083575,-963.2193547665104,-824.2712070846558,-1314.7777876739501,-1603.2392802963257
490.0,1105.0297551459707,-1692.5507332715108,-948.8317205180733,-831.4833540534974,-1326.1296674804687,-1592.518733100891
500.0,1106.7152544837124,-1701.759896589191,-934.4023037951551,-838.6588866233826,-1337.4231511230469,-1581.7280588684082
510.0,1108.3516461368822,-1710.8943878132454,-919.9318365242364,-845.7975754547119,-1348.6578794403076,-1570.867896156311
520.0,1109.9389784559612,-1719.9539824902254,-905.4210508985697,-852.899195640564,-1359.8335003356933,-1559.9388868255614
530.0,1111.4773039985637,-1728.9384640432418,-890.870679276431,-859.9635267333985,-1370.9496687469482,-1548.941675918579
540.0,1112.9666795691483,-1737.8476237828227,-876.2814539924045,-866.9903527412415,-1382.0060467529297,-1537.8769114990234
550.0,1114.4071660750953,-1746.6812608559876,-861.6541072847124,-873.9794621543884,-1393.0023034667968,-1526.7452445297242
560.0,1115.798828597327,-1755.439182252252,-846.9893711222396,-880.9306479225158,-1403.938115158081,-1515.5473287353516
570.0,1117.1417362267891,-1764.1212027415938,-832.2879770753733,-887.8437074851989,-1414.813165145874,-1504.2838204193115
580.0,1118.4359621193792,-1772.7271448846716,-817.5506562039367,-894.7184427528381,-1425.627143890381,-1492.9553783798217
590.0,1119.6815834045758,-1781.2568389960416,-802.7781388991106,-901.5546601295471,-1436.3797489624023,-1481.5626637268067
600.0,1120.8786811586954,-1789.710123103525,-787.9711547780614,-908.3521704940796,-1447.070685043335,-1470.1063397674561
610.0,1122.0273403311612,-1798.086842904381,-773.1304325615976,-915.1107891998291,-1457.6996638946532,-1458.587071861267
620.0,1123.1276497280776,-1806.3868517659869,-758.256699922501,-921.8303360862732,-1468.2664044036865,-1447.0055272750853
630.0,1124.1797019518926,-1814.6100106583542,-743.3506833905606,-928.5106354599,-1478.7706325378417,-1435.3623750610352
640.0,1125.1835933276661,-1822.7561881031822,-728.4131082233316,-935.1515160865783,-1489.2120813140868,-1423.6582859039306
650.0,1126.1394239323174,-1830.8252602032596,-713.4446982652262,-941.7528112030029,-1499.590490890503,-1411.893932006836
660.0,1127.0472974205406,-1838.8171104884295,-698.4461758699589,-948.3143584823608,-1509.9056083831788,-1400.069986930847
670.0,1127.9073211007355,-1846.7316299629022,-683.4182617564475,-954.836000038147,-1520.15718800354,-1388.1871254959105
680.0,1128.7196058183642,-1854.5687170362955,-668.3616748970214,-961.3175824165344,-1530.3449909820556,-1376.2460236282348
690.0,1129.484265879996,-1862.328277424924,-653.2771324130235,-967.7589565734863,-1540.4687854919434,-1364.247358215332
700.0,1130.2014190680131,-1870.0102241798397,-638.1653494682294,-974.1599778709411,-1550.528346725464,-1352.1918070220947
710.0,1130.8711865657629,-1877.6144775772636,-623.0270391505011,-980.5205060462952,-1560.523456817627,-1340.0800485305786
720.0,1131.4936928544287,-1885.1409650798134,-607.8629123551765,-986.840405216217,-1570.453904800415,-1327.912761795044
730.0,1132.069065737439,-1892.589621296335,-592.6736777306168,-993.1195438423157,-1580.319486618042,-1315.6906263885498
740.0,1132.5974362165796,-1899.9603878923645,-577.4600415100139,-999.3577947235108,-1590.120005050659,-1303.414322189331
750.0,1133.0789385044952,-1907.2532135717245,-562.2227074511119,-1005.5550349617005,-1599.855269744873,-1291.0845293273926
760.0,1133.513709919389,-1914.468053997241,-546.9623767369808,-1011.7111459693908,-1609.5250971221924,-1278.7019280395507
770.0,1133.9018908440914,-1921.6048717019698,-531.6797478761854,-1017.8260134048462,-1619.1293103485107,-1266.2671985473633
780.0,1134.2436246858624,-1928.6636360892226,-516.3755165765349,-1023.8995271987915,-1628.6677393493653,-1253.7810209274292
790.0,1134.5390578043807,-1935.6443233091911,-501.05037572377944,-1029.9315814857482,-1638.140220703125,-1241.2440750427247
800.0,1134.7883394694124,-1942.5469162295394,-485.7050152135378,-1035.922074607849,-1647.54659765625,-1228.6570403671265
810.0,1134.9916217912669,-1949.3714043475597,-470.3401219376351,-1041.8709090766906,-1656.8867200317384,-1216.020595932007
820.0,1135.1490596715432,-1956.1177837380944,-454.9563796223253,-1047.7779915542603,-1666.160444229126,-1203.3354201507568
830.0,1135.2608107623794,-1962.7860569837528,-439.55446881710026,-1053.643232814789,-1675.3676331634522,-1190.6021907806396
840.0,1135.3270354044262,-1969.3762331045828,-424.13506675159766,-1059.4665477256774,-1684.5081562347411,-1177.8215847549438
850.0,1135.3478965237434,-1975.8883274579102,-408.6988473265263,-1065.2478552093505,-1693.5818892059326,-1164.9942781219484
860.0,1135.3235596653553,-1982.3223617252274,-393.2464809580565,-1070.9870782241821,-1702.5887142791748,-1152.1209459075928
870.0,1135.2541928723654,-1988.6783637937078,-377.77863454643904,-1076.6841437225341,-1711.5285199584962,-1139.2022620239259
880.0,1135.1399666472712,-1994.9563677089507,-362.29597141752487,-1082.3389826316834,-1720.401201019287,-1126.23889919281
890.0,1134.9810538899317,-2001.1564135716935,-346.7991512201523,-1087.9515298042297,-1729.2066584472657,-1113.2315288085938
900.0,1134.7776298449157,-2007.2785474864015,-331.2888298734047,-1093.521724002838,-1737.9447993927001,-1100.1808208618163
910.0,1134.5298720990904,-2013.3228215000265,-315.76565949016555,-1099.0495078468323,-1746.61553717041,-1087.0874438552858
920.0,1134.2379604037951,-2019.2892934747501,-300.2302883272923,-1104.5348278007507,-1755.2187910766602,-1073.9520646743774
930.0,1133.9020767565082,-2025.1780270792995,-284.68336070952495,-1109.9776341209413,-1763.7544864807128,-1060.7753485412597
940.0,1133.5224052569777,-2030.9890916564916,-269.1255169881893,-1115.3778808326722,-1772.2225546569823,-1047.5579589004517
950.0,1133.0991320853327,-2036.7225621668676,-253.55739345064387,-1120.7355256767273,-1780.6229327850342,-1034.300557319641
960.0,1132.6324454276673,-2042.378519102926,-237.97962231909855,-1126.0505300903321,-1788.9555638427735,-1021.0038034439087
970.0,1132.1225354673554,-2047.957048446933,-222.3928316128523,-1131.3228591690063,-1797.220396636963,-1007.6683548583984
980.0,1131.5695942807642,-2053.458241533455,-206.79764519233163,-1136.5524816093446,-1805.417385635376,-994.2948670654297
990.0,1130.9738158018865,-2058.882195013766,-191.1946826393793,-1141.7393697013854,-1813.546490966797,-980.8839933547973
1000.0,1130.335395772003,-2064.2290107522695,-175.58455923849635,-1146.883499256134,-1821.6076783447265,-967.4363847503662
1010.0,1129.6545316986894,-2069.4987957737226,-159.96788593107766,-1151.9848495941162,-1829.6009190216064,-953.9526899414062
1020.0,1128.931422788049,-2074.6916621589994,-144.34526924689837,-1157.0434034919738,-1837.5261897125245,-940.4335551757813
1030.0,1128.166269869995,-2079.80772696723,-128.71731129734906,-1162.059147151947,-1845.383472503662,-926.8796242141724
1040.0,1127.3592753971384,-2084.847112171694,-113.08460973301402,-1167.032070148468,-1853.172754837036,-913.2915382766723
1050.0,1126.5106433657768,-2089.8099445685334,-97.447757660578,-1171.962165397644,-1860.8940294342042,-899.6699359207154
1060.0,1125.6205792604899,-2094.6963556960045,-81.80734366442763,-1176.84942911911,-1868.547294204712,-886.0154530258179
1070.0,1124.6892900110322,-2099.50648175846,-66.16395172068546,-1181.6938607826232,-1876.1325522155762,-872.3287226867676
1080.0,1123.7169839375167,-2104.240463532762,-50.518161217421294,-1186.495463077545,-1883.6498115844727,-858.6103751907349
1090.0,1122.70387070876,-2108.8984463248935,-34.87054688362067,-1191.2542418785094,-1891.0990854644776,-844.8610379333496
1100.0,1121.6501612837708,-2113.4805798413377,-19.22167876780685,-1195.9702061805724,-1898.480391937256,-831.0813353500366
