sat1Name,LLO-0-4
sat1Smaj,3416.853
sat1Ecc,0.359146
sat1Inc,90.188
sat1RAAN,236.221
sat1ArgPer,293.43
sat1TrAnom,0
Time[EpSec],xF[km],yF[km],zF[km],xI[km],yI[km],zI[km]
0.0,951.5334045732142,-1194.0765208806984,-1569.5759511754059,-478.6149051361084,-727.3712750549316,-2009.1446003341675
10.0,955.0876876764371,-1206.5322992518916,-1557.8738579560631,-487.52193132400515,-740.6457723236084,-2002.1612932052612
20.0,958.5967115821552,-1218.9319267569053,-1546.0990189411916,-496.40619251251223,-753.8856848754883,-1995.084494468689
30.0,962.0603188294256,-1231.2748262828102,-1534.25198939312,-505.2672755966187,-767.0903971405029,-1987.914541595459
40.0,965.4783563927265,-1243.5604263462264,-1522.3333314749777,-514.1047698097229,-780.259297088623,-1980.6517810363769
50.0,968.8506756787993,-1255.7881611706648,-1510.3436141425968,-522.9182667922973,-793.3917763061523,-1973.2965681381227
60.0,972.1771326237224,-1267.9574708395023,-1498.2834129766945,-531.7073606758117,-806.4872302093506,-1965.8492670516969
70.0,975.4575876607846,-1280.0678013684078,-1486.1533101272485,-540.4716481628418,-819.5450580749512,-1958.3102506866455
80.0,978.6919057650271,-1292.1186048271861,-1473.9538941691826,-549.2107285995484,-832.564663192749,-1950.6799006195067
90.0,981.8799564572663,-1304.1093394210143,-1461.6857599599284,-557.9242040596008,-845.5454529571533,-1942.9586069793702
100.0,985.0216138867243,-1316.0394696389594,-1449.3495085329216,-566.6116794128418,-858.4868390502929,-1935.146768409729
110.0,988.1167567501576,-1327.9084662808511,-1436.9457469960437,-575.2727624015808,-871.3882374267578,-1927.2447919540405
120.0,991.1652684007865,-1339.7158066039808,-1424.4750883442034,-583.907063709259,-884.2490685424805,-1919.2530929489135
130.0,994.1670368257068,-1351.4609744193256,-1411.9381513777296,-592.5141970520019,-897.0687574157715,-1911.1720949630737
140.0,997.1219546547602,-1363.143460148517,-1399.3355605536874,-601.0937792243958,-909.8467337188721,-1903.002229675293
150.0,1000.0299191645901,-1374.7627609138806,-1386.6679458646722,-609.6454301795959,-922.5824318695069,-1894.743936782837
160.0,1002.8908323358826,-1386.318380663414,-1373.9359426816318,-618.1687731018067,-935.2752911987304,-1886.3976639022826
170.0,1005.7046008033747,-1397.8098301987577,-1361.1401916410732,-626.663434463501,-947.9247559661865,-1877.9638664550782
180.0,1008.4711359334143,-1409.2366273262764,-1348.28133848306,-635.1290441093445,-960.5302755584717,-1869.4430075759888
190.0,1011.1903537532287,-1420.5982968540252,-1335.3600339362765,-643.5652352981567,-973.0913044738769,-1860.8355579833985
200.0,1013.8621750068525,-1431.894370714199,-1322.3769335537906,-651.9716447753906,-985.6073024902344,-1852.1419958724975
210.0,1016.4865251393303,-1443.1243880282564,-1309.3326976038102,-660.3479128379822,-998.0777347259522,-1843.3628068237306
220.0,1019.0633342884977,-1454.2878951715816,-1296.2279908923865,-668.6936833992005,-1010.5020717315674,-1834.4984836502076
230.0,1021.5925373352559,-1465.384445846053,-1283.0634826385124,-677.0086040267944,-1022.8797896118164,-1825.5495263137818
240.0,1024.0740738175673,-1476.4136011309122,-1269.8398463326394,-685.2923260231019,-1035.2103700408936,-1816.5164417800904
250.0,1026.5078880229012,-1487.3749295631192,-1256.5577595731775,-693.5445044631958,-1047.493300430298,-1807.3997439117431
260.0,1028.8939288811825,-1498.268007169193,-1243.2179039439318,-701.7647982635498,-1059.7280739135742,-1798.1999533309936
270.0,1031.2321500599467,-1509.092417563106,-1229.8209648446232,-709.9528702278137,-1071.914189529419,-1788.9175973129272
280.0,1033.5225098723815,-1519.8477519338853,-1216.3676313677436,-718.1083870849609,-1084.0511521911621,-1779.553209640503
290.0,1035.764971308959,-1530.533609164579,-1202.858596118743,-726.2310195732117,-1096.1384728393555,-1770.1073304748536
300.0,1037.9595020269633,-1541.1495958242967,-1189.2945551056778,-734.3204424400329,-1108.17566847229,-1760.5805062484742
310.0,1040.106074329671,-1551.6953262545408,-1175.6762075613558,-742.3763345336914,-1120.162262237549,-1750.9732895126342
320.0,1042.204665130682,-1562.170422574542,-1162.0042558043756,-750.3983788223267,-1132.0977834625244,-1741.2862388000487
330.0,1044.2552559823366,-1572.5745147385503,-1148.2794050846999,-758.3862624359131,-1143.9817677612305,-1731.5199185028075
340.0,1046.2578330420918,-1582.9072405768156,-1134.5023634523436,-766.3396767158508,-1155.8137570800782,-1721.6748987503051
350.0,1048.2123870118994,-1593.1682458130585,-1120.6738415754587,-774.2583172645569,-1167.5932997283935,-1711.7517552261352
360.0,1050.1189131766791,-1603.3571840882068,-1106.794552647708,-782.1418839492798,-1179.319950454712,-1701.7510690994263
370.0,1051.9774113538235,-1613.4737170142512,-1092.8652121530872,-789.9900809783935,-1190.9932705230713,-1691.6734268035889
380.0,1053.7878858825136,-1623.5175141756986,-1078.8865378106636,-797.8026169052124,-1202.6128277282714,-1681.5194199829102
390.0,1055.5503455655632,-1633.4882531477235,-1064.8592493586448,-805.5792046775817,-1214.1781964416505,-1671.2896452789307
400.0,1057.2648036877722,-1643.385619531694,-1050.784068433064,-813.3195616645813,-1225.688957687378,-1660.9847042312622
410.0,1058.9312779890247,-1653.209306968495,-1036.6617184158683,-821.0234096794128,-1237.1446991882324,-1650.6052031326294
420.0,1060.5497905927969,-1662.9590171365514,-1022.4929242860399,-828.6904750175476,-1248.5450153656006,-1640.1517528686522
430.0,1062.1203679858402,-1672.6344597515065,-1008.2784124948191,-836.3204884719848,-1259.889507369995,-1629.6249687957763
