Timestamp,VC AD,VC ACC,VC ABC
0,0.2520759051120394,0.16318541539111406,0.44673781650499944
12,0.2559680134008092,0.16480375890577595,0.42331520207056844
24,0.25902952866967566,0.17416821291372933,0.48466616628091924
36,0.2619992123022346,0.17168587340901886,0.5281464239932829
48,0.26065522172364564,0.1862098001071271,0.5289557782724309
60,0.2605027961618315,0.19516471599306345,0.5109694194021188
72,0.25863088312777044,0.1920767251425387,0.4589384904077594
84,0.25847835957273435,0.16902866511029527,0.4920194191665781
96,0.25204424828901806,0.20080645480813172,0.4538040518387733
108,0.24915377735828947,0.19616648490235106,0.4403411093817789
120,0.24514243495037133,0.1884978736177325,0.4227830402921671
132,0.24261049434022397,0.19302939740751734,0.44677415325310504
144,0.24530531797143962,0.19667377251947907,0.465415007621342
156,0.24522100547682418,0.18250232678169287,0.5331125157745273
168,0.23995774715975512,0.18605814303016918,0.48307118720110404
180,0.23868933013955987,0.1991359336275239,0.45494539904960046
192,0.23284346447544674,0.17898328472251507,0.4442267166332529
204,0.22961713640670514,0.18439389259763436,0.41134432047923664
216,0.22878603506816628,0.1849407379182782,0.4271449293127542
228,0.22594874746450816,0.1619081400799858,0.4906500688890193
240,0.22340791051546235,0.15991431744532483,0.45042515542251305
252,0.2222347872503751,0.1679501095304288,0.4661008190972588
264,0.2172047178444642,0.1935204842605305,0.4763881456303535
276,0.2162566009899602,0.19556664338608234,0.47108381135273497
288,0.21514037560731833,0.19360607039953334,0.44360469221649557
300,0.2147227461941167,0.1996052210360468,0.42953213720517786
312,0.21560720263740019,0.19560590352026955,0.411693999944498
324,0.2145108478555168,0.1805724305446115,0.4530500617556511
336,0.21541378021191376,0.18180559063050492,0.49165134107843417
348,0.2156711809875749,0.20187654595078364,0.4761521857515703
360,0.21648219132559118,0.200963205423962,0.46157754869199125
372,0.21930850606496863,0.20172628271831197,0.44795048361786155
384,0.22078154530587182,0.21007911410420832,0.4954977028560438
396,0.22806078298580668,0.21012316880416154,0.5050781872972112
408,0.23094124348455944,0.21055912685419254,0.525280653054435
