sat_id,x,y,z
0,-2202.426392537533,3002.7278437504497,2716.061826504767
1,-2065.627696368528,3138.612087406425,2649.212987989205
2,-2144.531293105325,3083.183842311957,2667.738099225177
3,-2132.168341564881,3089.5587457900383,2663.544805543305
4,-2127.308940029553,3094.9747524748136,2628.184404535824
5,-2138.69237503138,2984.842074365309,2742.0679556276723
6,-2020.9629993021665,3133.875926660996,2715.181643142207
7,-2066.991787278756,3098.7079718199684,2703.0338243340675
8,-2090.2406215304427,3118.560458758102,2680.3624928808986
9,-2066.8878318050624,3072.967900964716,2750.8834042276058
10,-2076.210582689712,3114.8147109541696,2717.889517299822
11,-2125.505238011418,3054.2596289142475,2654.3491795998843
12,-2078.0926366859394,3103.757405945081,2689.4717618737764
13,-2171.538574645883,3039.0382974505933,2703.2542698912557
14,-2112.52750700676,3042.152476080245,2727.103222246519
15,-2115.839523796451,3068.441637615068,2646.193033654837
16,-2118.8787879266392,3080.525482824476,2643.8550613412635
17,-2069.526006183401,3091.5936025030715,2720.464637697085
18,-2102.793253240738,3076.0981278950776,2759.5481405837813
19,-2079.888481844696,3072.801454835654,2680.802928324397
20,-2137.6450135131518,3069.828286363059,2690.0360345570293
21,-2031.214382231024,3085.2095410087286,2713.8529729997254
22,-2096.1548413034056,3077.4916501974726,2670.103549042184
23,-2100.96779000499,3100.6507262223818,2649.179894279975
24,-2092.081244826827,3075.435103849725,2782.5680848592965
25,-2156.224061203849,3021.4489654907825,2736.6513699160137
26,-2191.1337381178287,3094.7815401599823,2712.412724824102
27,-2077.630431390532,3064.263099832598,2732.9702106004
28,-2124.2622822909084,3044.807057150156,2774.723187511726
29,-2110.7148330077134,2992.981276321864,2733.704034560986
30,-2121.1734916431105,3057.6569931870367,2660.660992762698
31,-2164.30281563102,3009.5037178288853,2720.64889079435
32,-2108.2307672911443,3123.792141781297,2628.7899915225507
33,-2106.67721872492,3078.518335509428,2693.2444731904748
34,-2102.026477474944,3112.3108559755537,2658.63362795826
35,-2114.006338489039,3094.088348383821,2702.974322253257
36,-2124.9172638827595,3040.8357728897195,2763.206081714338
37,-2128.7484789937457,3046.19954826431,2675.883211509281
38,-2107.433891426246,3087.0195230070917,2711.5210443655324
39,-2133.6436266702926,3069.2615444740595,2702.2327872686983
40,-2089.1721970482954,3058.5326343397564,2695.203793878226
41,-2099.856051630349,3071.963577101468,2717.999175337157
42,-2115.9086628962737,3056.1740253129974,2705.9404634561856
43,-2109.726762564022,3087.0582141440914,2665.655883483641
44,-2111.497396528799,3073.6488750393705,2750.245674144613
45,-2061.749941387225,3077.620309635116,2713.8496299743465
46,-2097.466290765331,3064.1335105339604,2682.890028542142
47,-2126.4716068191697,3037.382285096789,2689.5548668442584
48,-2091.286686831266,3082.0270789821598,2680.5918689115665
49,-2120.732913104719,3118.421284339321,2667.5615179589554
